scale,governance,N,M,D1_csi,D1_frag_onset,D1_stab_var,D2_max_gini,D2_transition_depth,D3_norm_gap,D3_fiedler_bim,D3_entropy,D4_h1_bars,D4_h1_persistence,D4_h0_entropy
tiny,well,14,16,0.631578947368421,0.16237767391887217,0.268881490373391,0.35714285714285715,-1,0.018910923335985864,0.40357157975787206,3.374662439537465,3,3.0,3.7004397181410744
tiny,baseline,18,32,0.7368421052631579,0.6951927961775606,0.20829235167358537,0.5512820512820513,1,0.12396748620333066,0.38128798067437414,3.8756696636342336,15,15.0,4.087462841250315
tiny,poor,29,50,0.5789473684210527,0.16237767391887217,0.15239047274024298,0.6294010889292196,0,0.00990775743063248,0.2989832199603101,4.419448445575719,22,22.0,4.807354922057564
small,well,28,44,0.42105263157894735,1.438449888287663,0.16823859705437144,0.5600840336134454,0,0.007689524131037699,0.6301784688655333,4.474561793458229,17,17.0,4.754887502163429
small,baseline,32,54,0.8421052631578947,0.42813323987193935,0.13183263556089864,0.6114665354330708,0,0.026265943672421185,0.8706947867245785,4.654461888365226,23,23.0,4.9541963103868305
small,poor,43,74,0.47368421052631576,0.16237767391887217,0.10801229878375676,0.6604651162790698,0,0.009188643480632523,0.3799041945166142,5.0103525323154985,32,32.0,5.3923174227786985
medium,well,65,100,0.6842105263157895,0.6951927961775606,0.08492913372832216,0.6220489188231124,0,0.006880105907464892,0.7357605787315036,5.64847434089404,36,41.0,5.999999999999908
medium,baseline,65,112,0.5263157894736842,0.33598182862837817,0.0792434096548332,0.6565858798735511,0,0.02621562847643961,0.8871510218261884,5.655480065441401,48,49.0,5.999999999999908
medium,poor,76,132,0.42105263157894735,0.16237767391887217,0.07114861477728125,0.6765384003816187,0,0.007597048371432638,0.2038601980007555,5.8428881254499,57,57.0,6.228818690495772
large,well,114,180,0.6842105263157895,0.5455594781168519,0.05605588023662471,0.6958663782744533,0,0.004041526233243432,0.5998210308195685,6.4534995765277365,67,77.0,6.8201789624150235
large,baseline,117,204,0.3684210526315789,0.33598182862837817,0.05322027184709788,0.6835921037104469,0,0.021321929815321935,0.8911778685893817,6.515956319036196,88,95.0,6.8579809951274076
large,poor,128,225,0.3684210526315789,0.16237767391887217,0.05087337890390638,0.6957401916058394,0,0.0066704887487975114,0.7159562672318835,6.621544933203946,98,102.0,6.988684686771986
