scale,governance,N,csi_mean,csi_std,csi_min,csi_max,seed_nvi_mean,seed_nvi_std,n_seeds,csi_values
tiny,well,14,0.5305263157894737,0.12536484152386868,0.3157894736842105,0.631578947368421,0.1160573909293481,0.13638360145987707,25,"[0.631578947368421, 0.42105263157894735, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.3684210526315789, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.3684210526315789, 0.631578947368421, 0.631578947368421, 0.42105263157894735, 0.3684210526315789, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.631578947368421, 0.42105263157894735, 0.3684210526315789, 0.3157894736842105, 0.3684210526315789, 0.631578947368421, 0.3684210526315789, 0.631578947368421]"
tiny,baseline,18,0.6736842105263158,0.0557000276013598,0.5263157894736842,0.7894736842105263,0.4405696661226989,0.1532332802952504,25,"[0.6842105263157895, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.631578947368421, 0.6842105263157895, 0.631578947368421, 0.631578947368421, 0.5789473684210527, 0.5263157894736842, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.631578947368421, 0.7368421052631579, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579]"
tiny,poor,29,0.5873684210526315,0.05703670393323818,0.42105263157894735,0.6842105263157895,0.22624953582561816,0.10034223295741317,25,"[0.631578947368421, 0.631578947368421, 0.631578947368421, 0.5263157894736842, 0.5789473684210527, 0.5789473684210527, 0.42105263157894735, 0.5789473684210527, 0.631578947368421, 0.5789473684210527, 0.631578947368421, 0.5789473684210527, 0.5789473684210527, 0.5263157894736842, 0.5263157894736842, 0.5263157894736842, 0.631578947368421, 0.5789473684210527, 0.5263157894736842, 0.6842105263157895, 0.6842105263157895, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.5789473684210527]"
small,well,28,0.6778947368421052,0.09452608135007852,0.42105263157894735,0.7894736842105263,0.06534148189572815,0.04663586574107855,25,"[0.7368421052631579, 0.7894736842105263, 0.6842105263157895, 0.631578947368421, 0.631578947368421, 0.6842105263157895, 0.5263157894736842, 0.7368421052631579, 0.631578947368421, 0.7368421052631579, 0.6842105263157895, 0.7368421052631579, 0.7894736842105263, 0.631578947368421, 0.7368421052631579, 0.7894736842105263, 0.42105263157894735, 0.7368421052631579, 0.5263157894736842, 0.7894736842105263, 0.7368421052631579, 0.5263157894736842, 0.6842105263157895, 0.7368421052631579, 0.631578947368421]"
small,baseline,32,0.6547368421052632,0.10105263157894737,0.47368421052631576,0.8421052631578947,0.19261697540910697,0.08104037473277148,25,"[0.631578947368421, 0.7368421052631579, 0.47368421052631576, 0.7368421052631579, 0.631578947368421, 0.6842105263157895, 0.7368421052631579, 0.5789473684210527, 0.6842105263157895, 0.6842105263157895, 0.631578947368421, 0.7368421052631579, 0.8421052631578947, 0.6842105263157895, 0.7368421052631579, 0.5789473684210527, 0.7894736842105263, 0.47368421052631576, 0.631578947368421, 0.5263157894736842, 0.631578947368421, 0.5263157894736842, 0.5263157894736842, 0.631578947368421, 0.8421052631578947]"
small,poor,43,0.5894736842105263,0.09761703679469162,0.42105263157894735,0.7894736842105263,0.20114914438349887,0.09893434025332869,25,"[0.5263157894736842, 0.5789473684210527, 0.42105263157894735, 0.5263157894736842, 0.5789473684210527, 0.631578947368421, 0.47368421052631576, 0.5789473684210527, 0.7894736842105263, 0.47368421052631576, 0.631578947368421, 0.631578947368421, 0.5789473684210527, 0.47368421052631576, 0.5263157894736842, 0.631578947368421, 0.631578947368421, 0.7368421052631579, 0.631578947368421, 0.5263157894736842, 0.7894736842105263, 0.6842105263157895, 0.631578947368421, 0.631578947368421, 0.42105263157894735]"
medium,well,65,0.6652631578947369,0.10300740903347426,0.47368421052631576,0.8947368421052632,0.09451420946074703,0.04318562874531395,25,"[0.7368421052631579, 0.5789473684210527, 0.631578947368421, 0.7894736842105263, 0.47368421052631576, 0.8947368421052632, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.47368421052631576, 0.631578947368421, 0.5789473684210527, 0.5789473684210527, 0.6842105263157895, 0.8421052631578947, 0.6842105263157895, 0.631578947368421, 0.7894736842105263, 0.5789473684210527, 0.6842105263157895, 0.5263157894736842, 0.631578947368421, 0.7368421052631579, 0.631578947368421, 0.7368421052631579]"
medium,baseline,65,0.4926315789473684,0.07573097157307349,0.3684210526315789,0.6842105263157895,0.394669086575566,0.07577941720029477,25,"[0.3684210526315789, 0.47368421052631576, 0.631578947368421, 0.5789473684210527, 0.47368421052631576, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.5263157894736842, 0.47368421052631576, 0.42105263157894735, 0.42105263157894735, 0.5263157894736842, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5789473684210527, 0.47368421052631576, 0.3684210526315789, 0.6842105263157895, 0.42105263157894735, 0.47368421052631576, 0.5789473684210527, 0.5263157894736842, 0.5263157894736842]"
medium,poor,76,0.5852631578947368,0.08331098499961843,0.42105263157894735,0.7368421052631579,0.3638008810990334,0.06495604009313827,25,"[0.631578947368421, 0.5789473684210527, 0.47368421052631576, 0.5789473684210527, 0.631578947368421, 0.5789473684210527, 0.7368421052631579, 0.6842105263157895, 0.47368421052631576, 0.5789473684210527, 0.5263157894736842, 0.7368421052631579, 0.631578947368421, 0.5263157894736842, 0.5263157894736842, 0.47368421052631576, 0.6842105263157895, 0.42105263157894735, 0.5263157894736842, 0.5263157894736842, 0.631578947368421, 0.631578947368421, 0.5263157894736842, 0.6842105263157895, 0.631578947368421]"
large,well,114,0.6884210526315789,0.11032061058167497,0.42105263157894735,0.8947368421052632,0.12113216570468424,0.041627251299915694,25,"[0.8947368421052632, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.631578947368421, 0.6842105263157895, 0.6842105263157895, 0.7894736842105263, 0.6842105263157895, 0.5263157894736842, 0.631578947368421, 0.6842105263157895, 0.7368421052631579, 0.5789473684210527, 0.6842105263157895, 0.6842105263157895, 0.8947368421052632, 0.6842105263157895, 0.631578947368421, 0.42105263157894735, 0.5789473684210527, 0.5789473684210527, 0.8947368421052632, 0.6842105263157895, 0.7894736842105263]"
large,baseline,117,0.3894736842105263,0.0713929471907923,0.3157894736842105,0.5789473684210527,0.41556733610615104,0.051346941233456365,25,"[0.3684210526315789, 0.3157894736842105, 0.42105263157894735, 0.3157894736842105, 0.42105263157894735, 0.47368421052631576, 0.3684210526315789, 0.47368421052631576, 0.47368421052631576, 0.3157894736842105, 0.3684210526315789, 0.3157894736842105, 0.3157894736842105, 0.47368421052631576, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.5789473684210527, 0.3157894736842105, 0.42105263157894735, 0.42105263157894735, 0.3684210526315789, 0.42105263157894735, 0.3157894736842105, 0.47368421052631576]"
large,poor,128,0.3810526315789473,0.08715891176625032,0.2631578947368421,0.6842105263157895,0.3870742051356941,0.052944060459156915,25,"[0.3684210526315789, 0.3684210526315789, 0.3684210526315789, 0.47368421052631576, 0.42105263157894735, 0.3684210526315789, 0.3157894736842105, 0.42105263157894735, 0.3684210526315789, 0.6842105263157895, 0.3684210526315789, 0.2631578947368421, 0.3157894736842105, 0.47368421052631576, 0.47368421052631576, 0.42105263157894735, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.2631578947368421, 0.42105263157894735, 0.42105263157894735, 0.3684210526315789, 0.3157894736842105]"
