org,domain,doc_rate,test_rate,N,M,D1_csi,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm
cal-itp,intermediate/gtfs,0.95,0.7,20,7,0.8947368421052632,0.7055555555555556,0.585786437626905,0.1715728752538099,0.0833333333334206,0.0
cal-itp,intermediate/gtfs_quality,0.2,0.0,55,51,0.8421052631578947,0.9689839572192512,0.2787355591831893,0.0060591264170064,0.9590214520288164,0.0181818181818181
cal-itp,intermediate/ntd_assets,0.0,0.0,5,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,intermediate/ntd_funding_and_expenses,0.0,0.0,28,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,intermediate/ntd_validation,1.0,0.0,8,3,0.8947368421052632,0.8125,0.5857864376269045,0.1715728752538098,0.0833333333333874,0.0
cal-itp,intermediate/payments,0.64,0.0,25,28,0.7894736842105263,0.56,0.2262542395312911,0.0309796867004585,0.4098114218889527,0.28
cal-itp,intermediate/transit_database,0.9,0.0,20,11,0.7368421052631579,0.6916666666666667,0.2127577742995458,0.0342342743976569,0.4049162170305059,0.05
cal-itp,mart/gtfs,0.8727272727272727,0.0,55,63,0.7894736842105263,0.7971139971139971,0.1225547043745641,0.0047102569618058,0.7668599523102619,0.2545454545454545
cal-itp,mart/gtfs_audit,1.0,0.0,6,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,mart/gtfs_quality,1.0,0.0,18,9,0.7894736842105263,0.8333333333333334,0.3819660112501053,0.0538006991041996,0.4109982771546619,0.0
cal-itp,mart/gtfs_rollup,0.5,0.0,6,2,0.8947368421052632,0.8333333333333334,0.9999999999999996,0.3333333333333332,0.0,0.0
cal-itp,mart/gtfs_schedule_latest,0.9583333333333334,0.0,24,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,mart/ntd,1.0,0.0,5,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,mart/ntd_annual_reporting,1.0,0.0,36,35,0.8421052631578947,0.9722222222222222,0.9999999999999808,0.0277777777777772,0.3350163545540576,0.0
cal-itp,mart/ntd_assets,1.0,0.0,5,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,mart/ntd_funding_and_expenses,0.9655172413793104,0.0,29,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,mart/ntd_validation,1.0,0.0,5,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,mart/payments,0.4347826086956521,0.0,23,21,0.7368421052631579,0.7784679089026915,0.3065535766426166,0.0306107782440588,0.6949118779039724,0.3043478260869565
cal-itp,mart/transit_database,0.875,0.0,40,20,0.8421052631578947,0.8630952380952381,0.5780941400961588,0.0674687073301597,0.3761152646092378,0.2
cal-itp,staging/gtfs,1.0,0.0,32,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,staging/gtfs_quality,0.9090909090909092,0.0,11,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,staging/ntd_annual_reporting,0.15,0.0,40,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,staging/ntd_assets,0.0,0.0,5,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,staging/ntd_funding_and_expenses,0.0,0.0,29,0,,0.0,0.0,0.0,0.0,0.0
cal-itp,staging/payments,0.5,0.0,30,6,0.8421052631578947,0.9333333333333332,1.0,0.2,0.1597692702226765,0.0
cal-itp,staging/transit_database,0.8125,0.0,32,12,0.8421052631578947,0.8240131578947368,0.1699813928719351,0.0357820505423111,0.3952903447638261,0.0
mattermost,events/hourly,0.9230769230769232,0.0,13,1,0.9473684210526316,0.9230769230769232,2.0,1.0,0.0,0.0
mattermost,hightouch/blapi,0.1333333333333333,0.0,15,3,0.8421052631578947,0.9333333333333332,1.0,0.25,0.0914895401592993,0.0
mattermost,hightouch/operations,0.0,0.0,11,0,,0.0,0.0,0.0,0.0,0.0
mattermost,mattermost/hourly,0.7692307692307693,0.0769230769230769,13,9,0.8421052631578947,0.6584615384615384,0.2201288555535446,0.0363156982345912,0.4093475313309676,0.0
mattermost,mattermost/nightly,1.0,0.0,7,1,0.9473684210526316,0.8571428571428571,2.0,1.0,0.0,0.0
mattermost,staging/server,0.9148936170212766,0.0,47,45,0.8421052631578947,0.0425531914893617,0.99999999999998,0.0217391304347821,0.3662326956729118,0.0
