project_id,repo_url,status,snapshots,date_start,date_end,span_days,span_years,nodes_first,nodes_last,nodes_min,nodes_max,edges_first,edges_last,edges_min,edges_max,node_growth_multiple,edge_growth_multiple,nodes_first_viable,date_first_viable,node_growth_from_first_viable,tier,net_contraction_from_peak_pct,median_giant_component_frac,median_edges_per_node,median_snapshot_gap_days,max_snapshot_gap_days,drift_events,n_dbt_projects_at_head,model_paths,head_sha,stars,license,strata,edge_recall_strict,pct_edges_recovered,pct_nodes_touched_by_recovered,edges_dropped_as_commented_out,median_doc_rate,median_test_rate,error,composition,composition_rule,has_integration_tests,consumes_packages
tconbeer__gitlab-analytics-sqlfmt,https://github.com/tconbeer/gitlab-analytics-sqlfmt.git,success,56,2018-10-07,2025-10-17,2567,7.03,3,2167,3,2168,1,2176,1,2176,722.33,2176.0,46,2018-12-14,47.11,extended,0.05,0.482,1.0079,30,468,27,0,transform/snowflake-dbt/models,f859b7942620548ea7ccfc7eaa25d3e5620c307b,1,NOASSERTION,S3_code,0.9412,5.88,6.34,264,0.71865,0.526734,,estate,"no package, docs or demo signal",False,True
mattermost__mattermost-data-warehouse,https://github.com/mattermost/mattermost-data-warehouse.git,success,55,2020-01-13,2025-01-17,1831,5.01,16,235,16,301,14,369,14,510,14.69,26.36,16,2020-01-13,14.69,core,21.93,0.8286,1.5702,29,125,20,0,transform/snowflake-dbt/models,61af2424d790a8f83267f2b9ee12589fd32bcfa9,86,,S1_curated;S3_code,1.0,0.0,0.0,259,0.534296,0.088398,,estate,"no package, docs or demo signal",False,True
cal-itp__data-infra,https://github.com/cal-itp/data-infra.git,success,53,2022-04-26,2026-07-27,1553,4.25,74,620,74,643,105,854,105,890,8.38,8.13,74,2022-04-26,8.38,core,3.58,0.884,1.4024,29,42,26,0,warehouse/models,60000cd94917a6fe10b9339e2c606fc1b2f1fcdd,70,AGPL-3.0,S1_curated;S3_code,0.7973,20.27,34.87,3,0.721854,0.502674,,estate,"no package, docs or demo signal",False,True
fivetran__dbt_zendesk,https://github.com/fivetran/dbt_zendesk.git,success,53,2020-08-20,2026-06-22,2132,5.84,27,98,27,98,34,156,34,156,3.63,4.59,27,2020-08-20,3.63,core,0.0,1.0,1.6792,34,121,16,0,models,d4a8aa378862c51f0c6136eb16f87bef8c34e908,31,Apache-2.0,S2_topic_dbt;S3_code,0.9984,0.16,0.55,2,0.133333,0.066667,,package,ships an integration_tests project,True,True
mitodl__ol-data-platform,https://github.com/mitodl/ol-data-platform.git,success,51,2022-07-08,2026-08-04,1488,4.07,8,662,8,662,0,1132,0,1132,82.75,,11,2022-08-04,60.18,core,0.0,0.6588,1.3017,30,42,40,0,src/ol_dbt/models,a20a7286540afa8e99f0dde8174a91304a8a88eb,48,BSD-3-Clause,S3_code,0.997,0.3,0.49,0,0.609244,0.777989,,estate,"no package, docs or demo signal",False,True
patkearns10__dbt_workspace,https://github.com/patkearns10/dbt_workspace.git,success,50,2021-02-06,2026-06-22,1961,5.37,6,527,6,530,1,866,1,867,87.83,866.0,10,2021-03-17,52.7,core,0.57,0.6314,1.6389,33,105,15,0,dbt_snowflake/models;dbt/models;dbt_postgres/models,af0833dd2eac885b9b47bf300e7469acf6972936,8,,S3_code,0.9942,0.58,1.55,18,0.024668,0.041588,,package,repository name matches the dbt package convention,False,True
jyablonski__nba_elt_dbt,https://github.com/jyablonski/nba_elt_dbt.git,success,48,2021-10-21,2026-07-25,1737,4.76,33,122,33,122,34,219,34,219,3.7,6.44,33,2021-10-21,3.7,core,0.0,0.9823,1.4756,30,102,16,0,models,0ccfaed4d647640aec095ab06ec2160a03e77468,0,,S3_code,1.0,0.0,0.0,0,0.63,0.87,,package,repository name matches the dbt package convention,False,True
fivetran__dbt_quickbooks,https://github.com/fivetran/dbt_quickbooks.git,success,47,2021-02-12,2026-07-13,1977,5.41,33,144,33,144,34,208,26,208,4.36,6.12,33,2021-02-12,4.36,core,0.0,0.5789,0.6842,30,280,3,0,models,cf1867c4bd77d88931ff624d5e8cbd2f75c9843d,40,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,0.973684,0.184211,,package,ships an integration_tests project,True,True
fivetran__dbt_fivetran_log,https://github.com/fivetran/dbt_fivetran_log.git,success,44,2020-07-23,2026-04-02,2078,5.69,15,20,15,21,11,25,11,25,1.33,2.27,15,2020-07-23,1.33,extended,4.76,0.8235,1.0,30,140,7,0,models,0da7ac69669322de4b4c9ea88b5a0071b60b23e7,31,Apache-2.0,S2_topic_dbt;S3_code,1.0,0.0,0.0,0,0.9,0.85,,package,ships an integration_tests project,True,True
tuva-health__tuva-core,https://github.com/tuva-health/tuva-core.git,partial,44,2021-11-26,2026-07-21,1698,4.65,13,1182,12,1182,22,1883,0,1907,90.92,85.59,13,2021-11-26,90.92,core,0.0,0.9781,1.8054,29,391,22,0,models,10b9eb73894a00547221fb19ef614542c188f4ba,321,,S2_topic_analytics-engineering;S2_topic_dbt;S3_code,0.9381,6.19,12.44,91,0.460287,0.084746,2 of 46 snapshots failed,package,ships an integration_tests project,True,True
