project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
OHDSI__dbt-synthea,2024-02-17T20:23:07,a650d9e0184707ea74efe5c6c00bb0df05ce101f,Fix wrong table alias,57,117,False,0.5714285714285714,6,0.6612685560053981,0.49377710869827524,0.024670140126802752,0.8002567958821696,1.2280701754385965,10,0.824561,0.140351,11,0,0,46,57,1,46,71,35,0,0,1,3,0.0,0.017544
OHDSI__dbt-synthea,2024-03-30T21:15:55,3533163b3eff925f7df4c3fa92d4ee181cab23c7,SQLFluff formattign,63,129,False,0.5714285714285714,6,0.6541159099298635,0.49224336452858847,0.024839504461808565,0.7588197830070325,1.2063492063492063,10,0.84127,0.126984,17,0,0,46,63,1,51,78,41,0,0,1,3,0.0,0.015873
OHDSI__dbt-synthea,2024-06-14T18:24:49,76c6f972652ce876a185902edee9316273e6eb91,"put seeds in separate schema, materialize seed vocab",72,136,False,0.42857142857142855,5,0.6708405296488198,0.24909491499402223,0.012577194791597262,0.9113013250147072,1.0416666666666667,11,0.763889,0.055556,27,19,0,26,72,1,58,78,41,0,18,25,5,0.25,0.347222
OHDSI__dbt-synthea,2024-07-04T17:52:21,e498ac81983c351ef5707a8ff06f59ad55cf7450,add 3 missing tables,76,139,False,0.7142857142857143,6,0.6835678527939386,0.2207003504658871,0.011143507609132311,0.5074638499170124,0.9868421052631579,12,0.75,0.052632,29,19,0,28,76,1,61,78,41,0,19,33,7,0.25,0.434211
OHDSI__dbt-synthea,2024-07-27T15:18:17,4b958b2669f0976f383d3c1a670b37abb1b399fe,fixes from dqd run,92,147,False,0.7142857142857143,6,0.7197732997481109,0.2207003504658871,0.011143507609132311,0.5074641853886307,0.8152173913043478,20,0.619565,0.043478,37,19,0,36,92,1,69,78,41,0,19,34,9,0.206522,0.369565
OHDSI__dbt-synthea,2024-09-08T19:40:44,f2d7623f3d84b1e1c39703903597e3617c2c8ee8,update hardcoded cdm_source entries,92,147,False,0.7142857142857143,6,0.7197732997481109,0.2207003504658871,0.011143507609132311,0.507471820398182,0.8152173913043478,20,0.619565,0.043478,37,19,0,36,92,1,69,78,41,0,19,34,9,0.206522,0.369565
OHDSI__dbt-synthea,2024-10-13T20:46:11,48e261a9cddead23e129369ab9195307d6e899c4,refactor: create and use a macro for safe hashing of columns,86,145,False,0.7857142857142857,6,0.6933286351891003,0.18520518064255873,0.009350869939222038,0.7761951473954445,0.9069767441860465,19,0.697674,0.127907,29,20,0,37,86,1,67,78,41,0,56,55,43,0.651163,0.639535
OHDSI__dbt-synthea,2024-11-04T07:50:48,e65d1f4f9139f7086c99e42d7c6c0eb706d68277,fix: remove orphaned model definitions,85,144,False,0.7857142857142857,6,0.6921221146686523,0.18520518064255873,0.009350869939222038,0.7761952306813894,0.9176470588235294,19,0.705882,0.141176,28,20,0,37,85,1,66,78,41,0,56,55,43,0.658824,0.647059
OHDSI__dbt-synthea,2024-12-11T00:35:34,5fdf5d35b251846fcaf8ba409112046db6abc910,refactor: use new regexp_like adapter within measurement model,85,144,False,0.7857142857142857,6,0.6921221146686523,0.18520518064255873,0.009350869939222038,0.7761980217061949,0.9176470588235294,19,0.705882,0.141176,28,20,0,37,85,1,66,78,41,0,56,55,43,0.658824,0.647059
OHDSI__dbt-synthea,2025-01-09T19:45:51,12bda01f6030dda0e6e7724d81d386b5c701456c,add new regex func,87,145,False,0.5714285714285714,6,0.7093733467994037,0.23787138108064051,0.01461135503739155,0.8955860514277605,0.8850574712643678,19,0.712644,0.137931,28,22,0,37,87,1,59,86,43,0,56,55,43,0.643678,0.632184
OHDSI__dbt-synthea,2025-02-01T07:11:36,296bc14c008a84d1fe275be30b08efc2a06402c6,Merge pull request #117 from OHDSI/115-feat-utilise-imaging-studies,85,114,False,0.5714285714285714,6,0.7540970072239422,0.1914165318486409,0.009892006668043013,0.6508466579893876,0.5882352941176471,21,0.682353,0.164706,28,20,0,37,85,1,56,58,34,0,56,55,43,0.658824,0.647059
OHDSI__dbt-synthea,2025-04-19T17:33:29,d2a21bc7c8e476a9a588703763645f3475dbc1e1,fix issue causing duplicate PKs in procedure_occurrence,86,113,False,0.6428571428571429,5,0.7569893375871044,0.18770712726943847,0.010302108676442167,0.5673518778277079,0.5581395348837209,21,0.686047,0.162791,28,21,0,37,86,1,56,57,33,0,56,55,43,0.651163,0.639535
OHDSI__dbt-synthea,2025-06-02T21:20:36,e119df64bb3f99394b8d124e2f72a3798b343820,add tests on vocab stg models (#127),86,113,False,0.6428571428571429,5,0.7569893375871044,0.18770712726943847,0.010302108676442167,0.5673517829620693,0.5581395348837209,21,0.686047,0.162791,28,21,0,37,86,1,56,57,33,0,56,64,43,0.651163,0.744186
OHDSI__dbt-synthea,2025-09-28T19:48:40,89188d139638a3c6fdffe02d5d178300d92b8671,Adjust unit thresh. and fix concept check (#150),87,115,False,0.5714285714285714,6,0.7501049475262369,0.18763393535174686,0.010250501545582715,0.5524877968522255,0.5517241379310345,20,0.701149,0.149425,29,21,0,37,87,1,58,57,33,0,56,64,43,0.643678,0.735632
OHDSI__dbt-synthea,2026-01-08T14:58:28,b9486865d6c2f95e6bda34187391244131243585,fix unit threshold,87,115,False,0.5714285714285714,6,0.7501049475262369,0.18763393535174686,0.010250501545582715,0.5524876726794118,0.5517241379310345,20,0.701149,0.149425,29,21,0,37,87,1,58,57,33,0,56,64,43,0.643678,0.735632
