project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
SQLMesh__sqlmesh,2023-04-03T20:11:40,ecded9d991486e7aa4044beb24c8217c8bf46b32,Move sushi_dbt to test and replace with a self-contained sushi dbt project (#646),4,2,True,,,,,,,,2,0.5,0.0,0,0,0,4,4,2
SQLMesh__sqlmesh,2023-06-05T16:33:28,e15dceee46b2505fcc8a48afebae43c5051ca10c,"Fix: select * from external models for dbt, skip private variables when deep copying JinjaMacroRegistry, and properly pa",4,2,True,,,,,,,,2,0.5,0.0,0,0,0,4,4,2
SQLMesh__sqlmesh,2023-06-26T13:29:44,412a9f201ef73052cef16eee5ecef860e2aa1902,Fix: Skip dbt tests that reference disabled models (#1037),5,2,False,0.9285714285714286,1,0.6,2.0,1.0,0.0,0.0,3,0.4,0.2,0,0,0,5,5,2
SQLMesh__sqlmesh,2023-07-12T22:50:00,3a03c51776dd517be22918627c9bafb296cb0132,Refactor!: Make sqlmesh incremental blocks more clear (#1140),5,2,False,0.9285714285714286,1,0.6,2.0,1.0,0.0,0.0,3,0.4,0.2,0,0,0,5,5,2
SQLMesh__sqlmesh,2023-12-01T11:28:50,6c0bfbc1441be2a957e518340bc32ac3f281ce10,"Fix: Take into account dbt vars, sources, and refs when computing snapshot fingerprint (#1780)",5,2,False,0.9285714285714286,1,0.6,2.0,1.0,0.0,0.0,3,0.4,0.2,0,0,0,5,5,2
SQLMesh__sqlmesh,2024-02-29T08:43:42,8803c776c8481a20d12c3773e5324752aca34024,feat: dbt multi repo (#2168),11,5,False,0.9285714285714286,1,0.5454545454545454,2.0,1.0,0.0,0.0,6,0.181818,0.090909,0,0,0,11,11,4
SQLMesh__sqlmesh,2024-06-24T16:47:19,e0f5dcc9f530f327be892ff5b1d5d9afdc45ad74,Feat: enable dbt transpilation (#2806),11,5,False,0.9285714285714286,1,0.5454545454545454,2.0,1.0,0.0,0.0,6,0.181818,0.090909,0,0,0,11,11,4
SQLMesh__sqlmesh,2024-07-08T09:57:32,b206c2d9b2a3c1e0a5dc94320d97a0bdf4577450,Feat: Support dbt model versioning (#2874),12,5,False,0.9285714285714286,1,0.5833333333333334,2.0,1.0,0.0,0.0,7,0.166667,0.166667,0,0,0,12,12,4
SQLMesh__sqlmesh,2024-08-16T14:02:51,aa7f7e42005c7f3a699c9647c99422b99a92a033,Feat: Add support for dbt external location in sources meta (#2999),12,5,False,0.9285714285714286,1,0.5833333333333334,2.0,1.0,0.0,0.0,7,0.166667,0.166667,0,0,0,12,12,4
SQLMesh__sqlmesh,2024-09-20T19:45:23,df0ec3cca2cfba01e316527d3eedf00df208d334,fix: support all model methods in dbt projects (#3161),13,5,False,0.9285714285714286,1,0.6153846153846154,2.0,1.0,0.0,0.0,8,0.153846,0.230769,0,0,0,13,15,5
SQLMesh__sqlmesh,2025-05-30T00:35:10,7877b064a488f168924a316f702b788f5dc1bc2d,Fix: dbt-core 1.9.5 freshness error (#4586),13,5,False,0.9285714285714286,1,0.6153846153846154,2.0,1.0,0.0,0.0,8,0.153846,0.230769,0,0,0,13,15,5
SQLMesh__sqlmesh,2025-08-25T09:22:53,46f20d7a68355851ff0ab5564cf499e66100c02d,Fix: Check if the target table exists when determining the value of the is_incremental flag (#5215),13,5,False,0.9285714285714286,1,0.6153846153846154,2.0,1.0,0.0,0.0,8,0.153846,0.230769,0,0,0,13,15,5
SQLMesh__sqlmesh,2025-09-23T15:23:13,34dc9fde5214b20f22a0dd6dbeab1a693293aeee,Feat!: bring dbt node information through to SQLMesh (#5412),22,11,False,0.6428571428571429,3,0.6948051948051948,0.4330490338002851,0.08169734561666782,0.4013824323272861,0.045454545454545456,12,0.318182,0.318182,3,0,0,19,24,6
SQLMesh__sqlmesh,2025-10-07T10:18:12,5ffed107fca598816073d4f916da67db78cf7aae,Feat(dbt): Add support for transaction in dbt pre and post hooks (#5480),25,11,False,0.6428571428571429,3,0.7314285714285714,0.4330490338002851,0.08169734561666782,0.4013823845367659,0.04,15,0.28,0.4,3,0,0,22,27,6
SQLMesh__sqlmesh,2025-11-17T12:24:34,b9d0f9147c161897878d13d4d849aa3e442a4507,Fix: Support of the null meta config in dbt model / source definitions (#5598),25,11,False,0.6428571428571429,3,0.7314285714285714,0.4330490338002851,0.08169734561666782,0.40138242593873197,0.04,15,0.28,0.4,3,0,0,22,27,6
SQLMesh__sqlmesh,2026-07-22T20:30:23,d3559f98018bbecf1711bb97134ecabf0d1fcfce,fix(dbt): align sushi_test packages.yml with dbt_packages for dbt 1.12 (#5911),26,11,False,0.6428571428571429,3,0.7417582417582418,0.4330490338002851,0.08169734561666782,0.40138243148352537,0.038461538461538464,16,0.269231,0.423077,3,0,0,23,28,7
