project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
TEAMSchools__teamster,2023-08-12T18:36:10,f07d44fe40341f17970d8006cef1894312f75c3c,updates for dashboard,276,297,False,0.7857142857142857,12,0.8375758364693537,0.05020044228056559,0.0016925668153356316,0.3396889435249357,0.32608695652173914,69,0.753623,0.246377,180,37,58,1,276,18,272,25,32,0,0,1,29,0.0,0.003623
TEAMSchools__teamster,2023-09-12T02:42:29,c2f2e23c05773db00e25a58390239b9167f2eb71,act test prep,307,350,False,0.7142857142857143,12,0.8441031263942796,0.056984063543593116,0.0017085168089869928,0.8194432525099589,0.3745928338762215,72,0.76873,0.23127,192,43,71,1,307,18,321,29,37,0,0,1,41,0.0,0.003257
TEAMSchools__teamster,2023-10-11T19:31:59,40c775205f5519d911113ec2fd3462b00b430c45,assessment entry audit,738,830,False,0.8571428571428571,10,0.7059732401128733,0.0124645148173401,3.187855073813913e-05,0.9427478984906577,0.23035230352303523,78,0.891599,0.101626,599,48,88,3,738,18,416,414,423,0,0,1,48,0.0,0.001355
TEAMSchools__teamster,2023-11-09T22:12:48,5c704fdcc478c6557622064dd9e95db8c48cef8b,ran format,769,477,False,0.5714285714285714,16,0.9283804726334591,0.05755410672822626,0.0012747605496357787,0.8795396490883081,0.247074122236671,482,0.370611,0.622887,623,51,92,3,769,18,448,29,37,0,0,1,49,0.0,0.0013
TEAMSchools__teamster,2023-12-11T01:23:08,d863f65b9306750ccf19eaef03ec2be64e369bd3,added additional attendance columns,783,530,False,0.6428571428571429,16,0.9273155626305426,0.08521038094863863,0.001769852683958994,0.9280857478375789,0.29118773946360155,481,0.383142,0.610473,627,53,100,3,783,18,501,29,37,0,0,1,49,0.0,0.001277
TEAMSchools__teamster,2024-01-10T01:23:50,6875d3bff8760bfa0611d602f2b8a463d5f8c817,fixed view aliasing,797,549,False,0.6428571428571429,15,0.9257610075921321,0.08378733059487237,0.0017050124157526837,0.7675167855216898,0.2961104140526976,484,0.390213,0.603513,635,57,102,3,797,18,518,31,40,0,0,1,51,0.0,0.001255
TEAMSchools__teamster,2024-02-09T09:44:55,968d7b7f2d52a5695fa5c5b9a282dd28b356bcc3,Merge branch 'main' into adding_rn_tableau,812,574,False,0.9285714285714286,13,0.9263438544175384,0.08469967040657565,0.0016893398327480623,0.884764798900617,0.3054187192118227,486,0.397783,0.593596,643,59,107,3,812,18,543,31,40,0,0,1,52,0.0,0.001232
TEAMSchools__teamster,2024-03-08T22:45:11,ff612d0a28e418036036ea80c9fe8fd601b79a06,"add region, update column names",829,620,False,0.5714285714285714,12,0.9226824151840349,0.08515356805817753,0.0016029285865111218,0.9273724768917319,0.33172496984318456,484,0.412545,0.579011,647,67,112,3,829,18,588,32,41,0,0,1,53,0.0,0.001206
TEAMSchools__teamster,2024-04-09T11:27:47,82b5ae5a0953a3770f09f38a08191dd988bcfb65,Merge branch 'main' into performance_management_lockbox,843,665,False,0.7857142857142857,14,0.9224857202667543,0.08518459031116037,0.001371842236775326,0.9319267727361598,0.36061684460260973,482,0.42586,0.568209,651,68,121,3,843,18,633,32,41,0,0,1,54,0.0,0.001186
TEAMSchools__teamster,2024-05-08T19:49:43,77feece8de79ce1d398d98a6887de205010369be,fluff trunk shit,852,682,False,0.7142857142857143,13,0.921553265610623,0.08507229227201546,0.001307058904749249,0.9219311228123139,0.3673708920187793,483,0.430751,0.56338,655,70,124,3,852,18,650,32,41,0,1,1,56,0.001174,0.001174
