project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
Velir__dbt-ga4,2022-04-18T19:00:15,87f19c687a52d9fb86e2e3dd511ab47c1d05ec89,adding fields for is_exit and is_entrance for page views,15,18,False,0.5714285714285714,4,0.7802469135802469,0.3770797440424814,0.03405372408149362,0.5588607606179156,0.26666666666666666,1,1.0,0.0,11,0,4,0,15,1
Velir__dbt-ga4,2022-05-22T16:26:19,e1020f7aa6922db62a1c03faed4a2af1c1134c02,moved var defaults to project.yml to make them more obvious,21,23,False,0.7142857142857143,3,0.8364389233954451,0.4030312553647274,0.021200718611088784,0.9042456458229297,0.14285714285714285,1,1.0,0.0,18,0,3,0,21,1
Velir__dbt-ga4,2022-06-20T06:34:46,76180d7a0ef268b666ec9220cd05f3c051dc90f3,include google's source category mapping file,23,27,False,0.7142857142857143,4,0.8200483091787439,0.6107183240095061,0.0290663820861287,0.8502714973272724,0.21739130434782608,1,1.0,0.0,20,0,3,0,23,1
Velir__dbt-ga4,2022-07-19T15:06:24,b520937812e2ff379819200e4e42827e05ad9e4b,Update static incremental load to use table suffix (#37),38,43,False,0.7857142857142857,4,0.9063647490820074,0.6023082791316059,0.016729173950624305,0.9270606335752154,0.15789473684210525,1,1.0,0.0,35,0,3,0,38,1
Velir__dbt-ga4,2022-08-17T09:42:52,0b69da4d3f0ae2e54fda58bb99b150b3613e48e1,"login, sign_up, and search recommended events (#45)",46,54,False,0.7857142857142857,5,0.9087548062703342,0.5975082610556424,0.013894168001370031,0.9266522279960115,0.1956521739130435,1,1.0,0.0,42,0,4,0,46,1
Velir__dbt-ga4,2022-09-20T13:59:08,598821ef64e04b7ceb069fd244ac42c0614df642,move detect_gclid ahead of page_location manipulations,47,55,False,0.7857142857142857,5,0.9130120133159647,0.5959906288133426,0.013543996306034829,0.9014296249738973,0.19148936170212766,1,1.0,0.0,43,0,4,0,47,1
Velir__dbt-ga4,2022-10-19T10:24:41,6a2fe15c7dab2e491f0e7a29c3d0f68d52442824,use the first session_start event to build dim_sessions,48,56,False,0.7857142857142857,5,0.9111842105263158,0.4001823136684552,0.009094222031465132,0.9349629445403826,0.1875,1,1.0,0.0,44,0,4,0,48,1
Velir__dbt-ga4,2022-11-18T11:08:33,0d227d36902a28a0c9e4d1305a1cdf15b94735f8,Incremental session fact table that includes conversion metrics (#64),49,57,False,0.7857142857142857,5,0.9091381775640193,0.47331039364810146,0.010755794589922877,0.7299153079335876,0.1836734693877551,1,1.0,0.0,44,0,5,0,49,1
Velir__dbt-ga4,2022-12-12T08:55:57,6607c046df8c22c52fe7c324dec79078fc123b2e,user_id mapping table that enables distinct user_id and user_pseudo_id marts (#99),52,60,False,0.7142857142857143,5,0.902077807250221,0.31343539370653734,0.00712241942978179,0.9074004831503989,0.17307692307692307,1,1.0,0.0,45,0,7,0,52,1
Velir__dbt-ga4,2023-02-17T06:07:07,acbc4e522c1ad3901c0ade13eda9149f34111696,Add event_date_dt to stg_ga4__event_items to allow date partitioning of associated data marts (#133),51,59,False,0.7857142857142857,5,0.907796451914099,0.3152771231313137,0.007005388894495578,0.9108053505470997,0.17647058823529413,1,1.0,0.0,44,0,7,0,51,1
Velir__dbt-ga4,2023-03-18T04:17:42,ff2d183481486ac37f529b64d07dbf8d4dd209b0,delete tab (#155),51,59,False,0.7857142857142857,5,0.907796451914099,0.3152771231313137,0.007005388894495578,0.9108053146816182,0.17647058823529413,1,1.0,0.0,44,0,7,0,51,1
