project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
basedosdados__archived-queries-basedosdados,2022-05-09T21:08:04,2e86da42e82a74a55824cfbcdd2e587ce1c172f5,Update twitter_metrics.sql,4,1,True,,,,,,,,3,0.5,0.5,0,0,0,4,4,1,1,0,0,0,1,1,3,0.25,0.25
basedosdados__archived-queries-basedosdados,2022-06-07T20:01:36,5f640e07b01a4703214c29fbdedeaf99d5aa9507,feat(data): up teste,24,1,False,0.9285714285714286,1,0.9583333333333334,2.0,1.0,0.0,0.0,23,0.083333,0.916667,0,0,0,24,24,1,1,0,0,0,20,1,11,0.833333,0.041667
basedosdados__archived-queries-basedosdados,2022-06-30T15:04:49,57a1e819c4cda7ce0ed1b543725634e09fd519fa,[ínfra] add schema to br_tse model,25,1,False,0.9285714285714286,1,0.96,2.0,1.0,0.0,0.0,24,0.08,0.92,0,0,0,25,25,1,1,0,0,0,20,1,12,0.8,0.04
basedosdados__archived-queries-basedosdados,2022-07-25T14:50:33,1895ed8dab15cc6b3e1826b9c53d8dc278e9a976,[infra] remove zona votacao model,24,1,False,0.9285714285714286,1,0.9583333333333334,2.0,1.0,0.0,0.0,23,0.083333,0.916667,0,0,0,24,24,1,1,0,0,0,20,1,11,0.833333,0.041667
basedosdados__archived-queries-basedosdados,2022-09-09T00:14:40,42302f4ffb81877ea230fc63b9dece0930f64f42,adding igp_di monthly,32,1,False,0.9285714285714286,1,0.96875,2.0,1.0,0.0,0.0,31,0.0625,0.9375,0,0,0,32,32,1,1,0,0,0,26,1,14,0.8125,0.03125
basedosdados__archived-queries-basedosdados,2022-10-08T20:30:25,12e74819c0de804c70f01676ca44b8d2703525f4,feat: add local_votacao,50,1,False,0.9285714285714286,1,0.98,2.0,1.0,0.0,0.0,49,0.04,0.96,0,0,0,50,50,1,1,0,0,0,41,1,17,0.82,0.02
basedosdados__archived-queries-basedosdados,2022-10-31T03:44:45,829ea45381dd626f36c9ab333ea87ca26c18d1a8,creting table contabilidade (accounting) in br_bd_indicadores,51,1,False,0.9285714285714286,1,0.9803921568627451,2.0,1.0,0.0,0.0,50,0.039216,0.960784,0,0,0,51,51,1,1,0,0,0,42,1,17,0.823529,0.019608
basedosdados__archived-queries-basedosdados,2022-11-22T22:19:27,d8d71e18143c7fb09f6cff7852e89217cb2265d3,adding equipes (teams) and pessoas (people),54,1,False,0.9285714285714286,1,0.9814814814814815,2.0,1.0,0.0,0.0,53,0.037037,0.962963,0,0,0,54,54,1,1,0,0,0,45,1,17,0.833333,0.018519
basedosdados__archived-queries-basedosdados,2023-04-05T15:26:04,e1ec93e5304108234e14692feecfdfdecac65c9b,[dados] br_bcb_estban,56,1,False,0.9285714285714286,1,0.9821428571428571,2.0,1.0,0.0,0.0,55,0.035714,0.964286,0,0,0,56,56,1,1,0,0,0,45,1,18,0.803571,0.017857
basedosdados__archived-queries-basedosdados,2023-05-02T14:05:56,e05b744e98d4033da774529af08d4251a51f9410,Update schema.yml,62,1,False,0.9285714285714286,1,0.9838709677419355,2.0,1.0,0.0,0.0,61,0.032258,0.967742,0,0,0,62,62,1,1,0,0,0,50,1,21,0.806452,0.016129
basedosdados__archived-queries-basedosdados,2023-05-29T13:35:32,e4fd409c18c65b578a8294a55db5d09a07641d5b,feat: model dbt br_b3_cotacoes prod,67,1,False,0.9285714285714286,1,0.9850746268656716,2.0,1.0,0.0,0.0,66,0.029851,0.970149,0,0,0,67,67,1,1,0,0,0,51,1,23,0.761194,0.014925
basedosdados__archived-queries-basedosdados,2023-07-11T21:11:05,303de1e33b9397c2ca1461f0fcf0e5b73b0b3876,Update vendedor.sql,69,1,False,0.9285714285714286,1,0.9855072463768116,2.0,1.0,0.0,0.0,68,0.028986,0.971014,0,0,0,69,69,1,1,0,0,0,53,1,24,0.768116,0.014493
