project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
beyondessential__tamanu-source-dbt,2024-09-18T16:53:23,61fe899ac24aa4e0952a9d9f528b20d1f297dc08,Update reference data icd10 to diagnosis,55,0,False,,,0.0,0.0,0.0,0.0,0.0,55,0.018182,1.0,0,0,55,0,55,1,0,0,0,0,10,0,114,0.181818,0.0
beyondessential__tamanu-source-dbt,2024-12-13T12:06:04,ee2d717e9bc1ce848d1528b5056be66ed46aaf9e,v2.20 (#3),58,6,False,0.7142857142857143,2,0.9114942528735632,0.4659298032772681,0.07699570125148725,0.4531072465033015,0.0,52,0.12069,0.87931,0,0,0,58,58,1,6,0,0,0,56,1,161,0.965517,0.017241
beyondessential__tamanu-source-dbt,2025-02-11T09:35:58,e216105575cbf8840000251f0f0941fb82d7a9d8,Automated View and Reports Scripts  (#4),58,6,False,0.7142857142857143,2,0.9114942528735632,0.4659298032772681,0.07699570125148725,0.4531072465033021,0.0,52,0.12069,0.87931,0,0,0,58,58,1,6,0,0,0,56,1,161,0.965517,0.017241
beyondessential__tamanu-source-dbt,2025-03-18T09:56:23,f0a119539620b3fb67cac2ef29af77fecbb8d7e7,Reporting Schema v2.25 (#21),77,155,False,0.5714285714285714,8,0.7386677838290742,0.4212455285018389,0.01887829938533313,0.8019980954558588,1.1818181818181819,13,0.844156,0.155844,0,2,0,75,77,1,155,0,0,0,75,1,187,0.974026,0.012987
beyondessential__tamanu-source-dbt,2025-04-15T10:57:38,10878b01255c84bb6502d2f50309fefc682dc609,Source Refresh & Build Scripts [Python] (#59),77,155,False,0.5714285714285714,8,0.7386677838290742,0.4212455285018389,0.01887829938533313,0.8019982003707333,1.1818181818181819,13,0.844156,0.155844,0,2,0,75,77,1,155,0,0,0,75,1,187,0.974026,0.012987
beyondessential__tamanu-source-dbt,2025-05-16T11:33:07,57339215e70bf0eb0564e07eff29a6d2e517ec4b,Update to v2.31 (#79),105,196,False,0.7857142857142857,8,0.7546951490876724,0.3352023013626663,0.014013474216487016,0.9093475339765514,0.9904761904761905,13,0.885714,0.114286,0,2,0,103,105,1,196,0,0,0,76,1,189,0.72381,0.009524
beyondessential__tamanu-source-dbt,2025-06-16T17:37:46,1ef3099467eeca259baae9b2b2672b185817cb50,Tidy up repo for tamanu-dbt-template (#115),115,221,False,0.7142857142857143,8,0.7641796385757739,0.3349184481211307,0.013107400988483004,0.9198641297018723,1.017391304347826,11,0.913043,0.086957,0,3,0,112,115,1,221,0,0,0,80,10,194,0.695652,0.086957
beyondessential__tamanu-source-dbt,2025-07-15T16:22:33,c4f19b674ce9a680be89bc22cedd9f82b1d2482b,Update parameter in encounter summary (#172),134,293,False,0.7142857142857143,9,0.7747348164836196,0.378720905741911,0.012012569094383037,0.9451683967310923,1.2686567164179106,11,0.925373,0.074627,0,3,0,131,134,1,293,0,0,0,93,13,220,0.69403,0.097015
beyondessential__tamanu-source-dbt,2025-08-11T21:00:47,d3db747ed127fa46185ba23186349768b1c0cd7d,Update to v2.37 (#191),136,288,False,0.7857142857142857,8,0.7702090270070292,0.3204162719630703,0.010348055464131567,0.9544557880961679,1.1985294117647058,11,0.926471,0.073529,0,3,0,133,136,1,288,0,0,0,95,12,224,0.698529,0.088235
beyondessential__tamanu-source-dbt,2025-09-12T19:34:26,fbad13b31a6c57b1ab36a30267133f19ec67a759,Update Tamanu v2.39 (#227),138,263,False,0.7857142857142857,9,0.7652613087395697,0.3638203750873671,0.012248211930019563,0.22700043978800544,1.0144927536231885,15,0.869565,0.072464,0,3,0,135,138,1,263,0,0,0,97,2,226,0.702899,0.014493
