project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
brooklyn-data__dbt_artifacts,2021-03-05T14:00:28,63550bd00a7558a451e86e2e9ac573efa11b5c85,Add `sources` staging model (#5),13,16,False,0.5714285714285714,4,0.4574898785425101,0.35052914920456085,0.055001607012019546,0.7088778541208213,0.3076923076923077,1,1.0,0.0,6,1,6,0,13,2,15,1,2,0,6,6,2,0.461538,0.461538
brooklyn-data__dbt_artifacts,2021-03-29T13:12:12,51ad2094db15db7c5e21951b4b09f300668a318b,Branch for CI testing,13,16,False,0.5714285714285714,4,0.4574898785425101,0.35052914920456085,0.055001607012019546,0.7088779119495694,0.3076923076923077,1,1.0,0.0,6,1,6,0,13,2,15,1,2,0,6,6,2,0.461538,0.461538
brooklyn-data__dbt_artifacts,2021-05-02T20:50:13,c39c7d64ea059b17120b1ab765302840f6548815,Merge pull request #27 from kon-mal/document_exposures,16,20,False,0.7857142857142857,4,0.5191326530612245,0.35046256199358367,0.048209267151381234,0.7751003711362482,0.3125,1,1.0,0.0,7,1,8,0,16,2,19,1,2,0,8,7,2,0.5,0.4375
brooklyn-data__dbt_artifacts,2021-05-04T18:49:01,ef3ca66dbc34b6444ac08a75f5587c031e1d3061,Merge tag '0.4.4' into ac/testing,18,22,False,0.5714285714285714,4,0.5662393162393162,0.3313573375838611,0.040358593295811665,0.6446655752600474,0.2777777777777778,1,1.0,0.0,8,1,9,0,18,2,21,1,2,0,8,7,2,0.444444,0.388889
brooklyn-data__dbt_artifacts,2021-06-17T14:48:21,928ae0faca191d5348d1fc4c2f88c6cee6284983,Add default for run result env keys column values,18,22,False,0.5714285714285714,4,0.5662393162393162,0.3313573375838611,0.040358593295811665,0.6446655752465269,0.2777777777777778,1,1.0,0.0,8,1,9,0,18,2,21,1,2,0,8,7,2,0.444444,0.388889
brooklyn-data__dbt_artifacts,2021-07-07T13:59:56,3b24316bea07f8986439ca43d47a443f03a052b5,Add dbt cloud compatibility (#38),18,22,False,0.5714285714285714,4,0.5662393162393162,0.3313573375838611,0.040358593295811665,0.6446655752611005,0.2777777777777778,1,1.0,0.0,8,1,9,0,18,2,21,1,2,0,8,7,2,0.444444,0.388889
brooklyn-data__dbt_artifacts,2021-09-16T16:28:37,85c61120ceceab23640a5ac1ec8129fea45c55c1,Fix null run times for ephemeral models,18,22,False,0.5714285714285714,4,0.5662393162393162,0.3313573375838611,0.040358593295811665,0.6446655752438304,0.2777777777777778,1,1.0,0.0,8,1,9,0,18,2,21,1,2,0,8,7,2,0.444444,0.388889
brooklyn-data__dbt_artifacts,2022-01-28T11:02:58,dd5e64fe28270fbb1634ca85e41a922a8c37c742,Fix empty fct_dbt__latest_full_model_executions bug by filtering for 'run' execution_commands,28,34,False,0.6428571428571429,6,0.6453722334004024,0.2906749225132744,0.022186805434274145,0.6087319827714147,0.25,1,1.0,0.0,13,1,14,0,28,2,33,1,2,0,8,7,2,0.285714,0.25
brooklyn-data__dbt_artifacts,2022-02-22T09:18:55,f4351142ae73c98ce690816b462adba37c382d2c,Flatten artifacts on load (#84),21,30,False,0.6428571428571429,3,0.6831746031746032,0.3973263753645252,0.04264825231435428,0.5239551036988733,0.47619047619047616,1,1.0,0.0,5,1,15,0,21,2,29,1,2,0,9,8,2,0.428571,0.380952
brooklyn-data__dbt_artifacts,2022-03-20T20:57:24,a664b114fabf22e4bc343dc440cf89754b7046fa,Back to the layout which *should* work,21,30,False,0.6428571428571429,3,0.6831746031746032,0.3973263753645252,0.04264825231435428,0.5239551024978286,0.47619047619047616,1,1.0,0.0,5,1,15,0,21,2,29,1,2,0,9,8,2,0.428571,0.380952
