project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
cagov__caldata-mdsa-caltrans-pems,2023-10-12T15:57:04,11a8c12479f5d3c60331e6aac740c28a29de8ba8,Initial commit,1,0,True,,,,,,,,1,1.0,1.0,0,0,0,1,1,1,0,0,0,0,1,0,1,1.0,0.0
cagov__caldata-mdsa-caltrans-pems,2024-02-06T17:53:55,0bc35853301c19ea648fef623700ef2611195f37,Rename int_pems__station_flow_by_date.sql to int_pems__stations_per_county_counted.sql,2,0,True,,,,,,,,2,0.5,1.0,1,1,0,0,2,1,0,0,0,0,0,0,2,0.0,0.0
cagov__caldata-mdsa-caltrans-pems,2024-03-08T22:15:51,b3bece534fe1da0fa30d9220cecf13d5d4f2c7e5,"added a group by to two CTES, when performing aggregations [like with COUNTIF()] we have to either group or aggregate th",11,7,False,0.6428571428571429,2,0.6303030303030303,0.3248691294333538,0.07708696758091495,0.2372071754526262,0.0,4,0.545455,0.181818,6,5,0,0,11,1,7,0,0,0,9,5,4,0.818182,0.454545
cagov__caldata-mdsa-caltrans-pems,2024-04-05T19:32:03,cc992738a426d9cc2a83fb529e7d017713a8b5ac,Updated code to eliminate an incorrect reference (thanks Ian!) and incorporate a new error type (district feed down) int,11,11,False,0.7142857142857143,4,0.3515151515151515,0.1980622641951584,0.03753165659240549,0.2837837837865818,0.09090909090909091,1,1.0,0.0,3,8,0,0,11,1,10,1,2,0,11,6,4,1.0,0.545455
cagov__caldata-mdsa-caltrans-pems,2024-05-09T09:20:02,d4b22c584dd3877f2ce308857d103ea0bc358b17,Update int_performance__max_capacity.sql,15,16,False,0.7142857142857143,3,0.5511111111111111,0.35212884134458483,0.0641122944043081,0.4505827092697044,0.2,2,0.8,0.0,3,12,0,0,15,1,12,4,7,0,14,7,5,0.933333,0.466667
cagov__caldata-mdsa-caltrans-pems,2024-06-07T23:04:40,5be0ee4f9a01d3d61071ad4a3fbe1f5168a513a5,Merge branch 'main' of https://github.com/cagov/caldata-mdsa-caltrans-pems into Spatial_and_temporal_aggregation,27,35,False,0.6428571428571429,6,0.5827546296296297,0.16638226724400498,0.01956381955517338,0.5634665163874393,0.3333333333333333,1,1.0,0.0,3,24,0,0,27,1,29,6,9,0,17,7,6,0.62963,0.259259
cagov__caldata-mdsa-caltrans-pems,2024-07-06T01:13:10,3785d83192665660658bbb7c87e5c22a8ba3cfa3,Merge branch 'main' of https://github.com/cagov/caldata-mdsa-caltrans-pems into imputation_hard_code_replacement,40,51,False,0.6428571428571429,7,0.6012032085561497,0.13827294914564972,0.01452664667072294,0.5810340289748465,0.35,3,0.9,0.025,9,31,0,0,40,1,44,7,10,0,31,8,8,0.775,0.2
cagov__caldata-mdsa-caltrans-pems,2024-08-06T23:19:52,0dadafb5ee49c82158d70677272da2a5abeee27f,removed trailing whitespace,45,53,False,0.8571428571428571,6,0.5896618357487923,0.06702598347541319,0.006498634230866451,0.7804140546846843,0.28888888888888886,5,0.8,0.0,10,31,4,0,45,1,50,3,6,0,36,8,10,0.8,0.177778
cagov__caldata-mdsa-caltrans-pems,2024-09-05T21:58:06,ffeacf13d3514ec41a965902d4651f084994966a,fix trailing space,56,64,False,0.8571428571428571,6,0.6466225467822911,0.04561733713485412,0.003909147210766549,0.8264809084964916,0.2857142857142857,8,0.785714,0.053571,13,32,11,0,56,1,61,3,6,0,51,8,13,0.910714,0.142857
cagov__caldata-mdsa-caltrans-pems,2024-10-04T21:54:52,e94c6dd984b2a8f5973f8894a99ee28ccdcdba1e,Merge pull request #402 from cagov/386-speeds-and-g-factors,60,73,False,0.7142857142857143,7,0.6329166666666667,0.06618353475668831,0.005260175191161826,0.8946851135904644,0.3333333333333333,7,0.85,0.05,13,34,13,0,60,1,70,3,6,0,54,10,13,0.9,0.166667
