project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
cagov__data-infrastructure,2022-10-12T18:36:14,98ad153fc45d8eb282ce166b5b88117b73d71702,initializing dbt project :),2,1,True,,,,,,,,1,1.0,0.0,0,0,0,2,2,2
cagov__data-infrastructure,2022-12-22T13:43:28,a884ac8cfa8cc51471f0eb417849ed421d5f9f6e,lint,4,3,True,,,,,,,,1,1.0,0.0,1,2,1,0,4,2
cagov__data-infrastructure,2023-02-02T16:50:08,c15272209a598ee19f99047f2a796ff80c274694,"Don't include ""Renum to"" or ""Moved to"" among active entities.",6,5,False,0.7142857142857143,3,0.6428571428571429,0.38196601125010526,0.08877200286730286,0.19801980198020422,0.0,1,1.0,0.0,2,3,1,0,6,2
cagov__data-infrastructure,2023-04-10T16:04:45,0a44d27efa90ae0c7900fd37e4c4b6575b3d1469,Add frontmatter for dbt docs,6,5,False,0.7142857142857143,3,0.6428571428571429,0.38196601125010526,0.08877200286730286,0.19801980198020103,0.0,1,1.0,0.0,2,3,1,0,6,2
cagov__data-infrastructure,2023-05-10T13:57:45,125e9f3a50103d32d0b9e170591ba3b468b04d3a,"Don't prefix custom schema names with target schema. Instead, we rely on dev/prod separation. If engineers start to step",6,5,False,0.7142857142857143,3,0.6428571428571429,0.38196601125010526,0.08877200286730286,0.19801980198020475,0.0,1,1.0,0.0,2,3,1,0,6,2
cagov__data-infrastructure,2023-05-16T14:04:02,9e369b23f54bad55a0bcb89bee76cbbe22d9c54f,Use PUBLIC schema for temp function rather than fragile schema generation logic.,6,5,False,0.7142857142857143,3,0.6428571428571429,0.38196601125010526,0.08877200286730286,0.1980198019802047,0.0,1,1.0,0.0,2,3,1,0,6,2
cagov__data-infrastructure,2023-06-22T10:57:21,21c63e89aa6e5722e640964fff3d1d3abd47e087,"Remove sqlfmt entirely in favor of sqlfluff. Move configuration into dbt project directories, as that's where dbt cloud ",6,5,False,0.7142857142857143,3,0.6428571428571429,0.38196601125010526,0.08877200286730286,0.19801980198020186,0.0,1,1.0,0.0,2,3,1,0,6,2
cagov__data-infrastructure,2023-09-05T16:10:53,d982dd258688fb36f98bc3a8957fb5915283b8e6,"Be less clever with jinja, explicitly list column names",7,5,False,0.7142857142857143,3,0.6938775510204082,0.38196601125010526,0.08877200286730286,0.19801980198020253,0.0,2,0.857143,0.142857,2,3,2,0,7,2
cagov__data-infrastructure,2023-10-03T15:35:47,73a897282e2ea792e2c6bc27744c4d3d3037e117,Include area in square meters to the building footprint datasets,8,5,False,0.7142857142857143,3,0.7321428571428571,0.38196601125010526,0.08877200286730286,0.19801980198020425,0.0,3,0.75,0.25,2,3,3,0,8,2
cagov__data-infrastructure,2024-01-05T07:21:44,b4f488b0fe9749b8b39de369c9d7801ecbe19354,Tag footprint models,8,5,False,0.7142857142857143,3,0.7321428571428571,0.38196601125010526,0.08877200286730286,0.19801980198020575,0.0,3,0.75,0.25,2,3,3,0,8,2
