project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
ccao-data__data-architecture,2023-08-25T13:16:36,1a4424a27a49c51e6ca542f71f13fbc104e3b544,Add conditional uniqueness tests for iasWorld tables (#98),27,0,False,,,0.0,0.0,0.0,0.0,0.0,27,0.037037,1.0,0,0,7,20,27,1
ccao-data__data-architecture,2023-09-21T09:52:14,8d63ade94d5859cd5e1a7a12a92d0ccfe537bf0f,Bump thresholds for `vw_pin_appeal` and `vw_pin_sale` tests that are failing (#139),56,0,False,,,0.0,0.0,0.0,0.0,0.0,56,0.017857,1.0,0,0,7,49,56,1
ccao-data__data-architecture,2023-10-25T12:26:05,37d202f8abb74fe7ffec25e8a976a3939a422d28,Add shared / updated column documentation to default views (#168),60,0,False,,,0.0,0.0,0.0,0.0,0.0,60,0.016667,1.0,0,0,7,53,60,1
ccao-data__data-architecture,2023-11-24T10:48:31,2b80ea9f4155ce3acb462ac9ac3d8da7a7a46eba,Fix where clause logic to deactivate PINs (#246),61,0,False,,,0.0,0.0,0.0,0.0,0.0,61,0.016393,1.0,0,0,7,54,61,1
ccao-data__data-architecture,2023-12-14T15:35:22,cf834aea6695a25e94ea78f152c368fb51cf5f66,Add dbt tests to sale model (#268),74,0,False,,,0.0,0.0,0.0,0.0,0.0,74,0.013514,1.0,0,0,7,67,74,1
ccao-data__data-architecture,2024-01-22T12:50:13,e6815b1317f8526723adb4d2fb581845fc6eb4cf,Create distance to vacant land feature (#295),78,0,False,,,0.0,0.0,0.0,0.0,0.0,78,0.012821,1.0,0,0,7,71,78,1
ccao-data__data-architecture,2024-02-13T15:51:23,ad14e3b7cfcf47411a7a28ee269d268c1db49a1c,Lower freshness thresholds for CVLEG table,79,0,False,,,0.0,0.0,0.0,0.0,0.0,79,0.012658,1.0,0,0,7,72,79,1
ccao-data__data-architecture,2024-03-20T13:29:00,e56518dd22b45d88d9803829541788856f62bbcf,Add descriptions and selected columns for all non failing tests (#351),78,0,False,,,0.0,0.0,0.0,0.0,0.0,78,0.012821,1.0,0,0,7,71,78,1
ccao-data__data-architecture,2024-04-19T17:08:10,e313087555fa3afebd91e16445640947175a1570, Update class code cleaning to allow new omitted assessment class codes (#353),80,0,False,,,0.0,0.0,0.0,0.0,0.0,80,0.0125,1.0,0,0,9,71,80,1
ccao-data__data-architecture,2024-05-21T17:09:07,a45a1d012b40f678a659d417eed50f76fcd4021d,Add `expression_is_false` dbt test macro (#464),79,0,False,,,0.0,0.0,0.0,0.0,0.0,79,0.012658,1.0,0,0,11,68,79,1
ccao-data__data-architecture,2024-06-20T15:05:32,724036cd0c3cc0877df89581a1e38f59a7dfc550,Add proximity to grocery store feature (#512),81,0,False,,,0.0,0.0,0.0,0.0,0.0,81,0.012346,1.0,0,0,11,70,81,1
ccao-data__data-architecture,2024-07-18T09:15:02,771eab2545f3e1d1ab9f763f5521654076fb7fe2,Fix asset names without dbt syntax in `qc.vw_change_in_ahsap_values.sql` (#550),86,0,False,,,0.0,0.0,0.0,0.0,0.0,86,0.011628,1.0,0,0,11,75,86,1
ccao-data__data-architecture,2024-08-19T11:34:17,348d7ec4a9b3c7e819908787050ac70cbe9d70f1,Rename tag for iasWorld data tests and refactor script to run tests (#571),102,0,False,,,0.0,0.0,0.0,0.0,0.0,102,0.009804,1.0,0,0,11,91,102,1
ccao-data__data-architecture,2024-09-18T14:46:15,d19deddd163de7e5302daada09b8f882cd81bd1e,Update mode calculation for `res_report_summary` view (#604),105,0,False,,,0.0,0.0,0.0,0.0,0.0,105,0.009524,1.0,0,0,12,93,105,1
