project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
chienazazaz__sado_analytics_services,2023-12-08T16:43:08,7e81a01e6fad39adf92c85e8d6281afda1cbd0e7,fix: pancake staging models,137,102,False,0.7857142857142857,6,0.6681535550148688,0.042051139484307824,0.0050130559802629,0.7018119498988331,0.072992700729927,45,0.350365,0.167883,111,1,23,2,137,1,102,0,0,1,17,18,93,0.124088,0.131387
chienazazaz__sado_analytics_services,2024-01-06T16:35:38,b9691d9ff1679fbe59fa97cdca4732471f92729b,feat: documentation,148,112,False,0.7142857142857143,7,0.6580964080964081,0.0416217731009053,0.00496154413599794,0.7081424740168097,0.06756756756756757,46,0.331081,0.128378,117,1,27,3,148,1,112,0,0,1,25,20,114,0.168919,0.135135
chienazazaz__sado_analytics_services,2024-02-06T08:57:01,715c075be3d2becd5821184cd60af343f913e45f,fix: null pic,150,122,False,0.8571428571428571,7,0.6779328165374677,0.04167809378856964,0.004964966670761291,0.7512992949150679,0.10666666666666667,44,0.36,0.12,116,1,30,3,150,1,122,0,0,0,27,30,116,0.18,0.2
chienazazaz__sado_analytics_services,2024-03-07T15:58:44,81163e2848eb1431c709424a11f5b8457ba632d7,feat: add return_from_order_id,147,118,False,0.8571428571428571,5,0.7053935860058309,0.045821778868538623,0.0055177665039553075,0.7631008845315556,0.10884353741496598,45,0.353741,0.142857,109,3,32,3,147,1,117,1,2,2,28,29,161,0.190476,0.197279
chienazazaz__sado_analytics_services,2024-04-05T15:31:54,cee5cf3cb3eb2f3b9eaa74092f5ac10b4e6b1eb5,feat: rfm_movement incremental strategy,147,126,False,0.7857142857142857,7,0.6858831123690352,0.049829145088740055,0.005879156560070116,0.8005685559553304,0.14965986394557823,43,0.421769,0.136054,107,3,34,3,147,1,123,3,6,1,27,29,162,0.183673,0.197279
chienazazaz__sado_analytics_services,2024-05-06T10:17:17,42379cf1ec1e825581fb2186ce28c98908d89deb,feat: inventory items,151,133,False,0.6428571428571429,8,0.6992845910208421,0.050063594198611866,0.0058902370813765596,0.8024144939210804,0.152317880794702,41,0.410596,0.112583,99,2,47,3,151,1,130,3,6,1,32,33,168,0.211921,0.218543
chienazazaz__sado_analytics_services,2024-06-05T17:11:18,a0d59a3624b5f050a41d7362d80a0c954eb71a54,feat: metrics,167,145,False,0.7142857142857143,7,0.7267837206942048,0.08228747465425584,0.007932383567391638,0.7112486351777555,0.16766467065868262,50,0.413174,0.155689,106,5,53,3,167,1,142,3,6,1,39,38,180,0.233533,0.227545
chienazazaz__sado_analytics_services,2024-07-05T17:20:04,893fda201559cafc3f9853f374a586c97c0d8b24,fix: sms pipeline,178,148,False,0.7142857142857143,7,0.7564475752459684,0.08126199996614217,0.006563076980009011,0.6728473462117298,0.16853932584269662,60,0.393258,0.202247,106,5,64,3,178,1,145,3,6,2,48,39,189,0.269663,0.219101
chienazazaz__sado_analytics_services,2024-07-16T16:20:37,27c4b74f5153f1aba1aa6adb6d6e9e8440dd280e,feat: contents staging model,173,141,False,0.5714285714285714,7,0.7663531125540455,0.11394115496156641,0.009202389620094578,0.40856310223160225,0.17341040462427745,62,0.381503,0.236994,101,5,64,3,173,1,138,3,6,2,48,39,184,0.277457,0.225434
chienazazaz__sado_analytics_services,2024-08-26T16:47:35,436fa552535303b9608170c63f3f3ecceb0a543d,feat: metrics,180,144,False,0.5714285714285714,7,0.7677602799650044,0.10822539820143509,0.008740758164858867,0.4434129293791329,0.16666666666666666,66,0.372222,0.238889,105,5,67,3,180,1,141,3,6,2,49,40,190,0.272222,0.222222
chienazazaz__sado_analytics_services,2024-10-03T11:34:54,a4eb213ae7cdb1af84f3aed20c8b056a9367d1e3,feat: metrics & fields,187,150,False,0.7857142857142857,8,0.7686584515229017,0.05506931938167153,0.004431989397492275,0.9076099706157401,0.1657754010695187,68,0.390374,0.240642,108,6,70,3,187,1,147,3,6,2,51,41,196,0.272727,0.219251
