project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
covoiturage-gouv-fr__mono,2024-05-14T17:11:10,e175c001fe8283ef15d09cad276eb7a4aff4abcb,feat: add first metrics,1,0,True,,,,,,,,1,1.0,1.0,0,0,0,1,1,1,0,0,0,0,0,0,1,0.0,0.0
covoiturage-gouv-fr__mono,2024-09-11T15:10:03,4adb100cc565ac1df31e30b47dad3ce685f6a32d,fix: distribution pk (#2587),29,32,False,0.7142857142857143,5,0.8135775862068966,0.07922525293501796,0.00997418214924344,0.534290907070089,0.20689655172413793,3,0.931034,0.068966,0,0,0,29,29,1,32,0,0,0,0,0,5,0.0,0.0
covoiturage-gouv-fr__mono,2024-09-13T11:36:42,6964c45a4402dd07178daf4d621e385dcd640063,Feat/update incentive campaigns obs (#2595),35,37,False,0.8571428571428571,6,0.7779220779220779,0.07840608778487443,0.009851196961133343,0.6113116231596564,0.17142857142857143,4,0.914286,0.085714,0,0,0,35,35,1,37,0,0,0,0,0,5,0.0,0.0
covoiturage-gouv-fr__mono,2024-12-19T15:46:30,c0c631b7daa3fb31866399990138763fd9ede5e4,Add firsts fraud dbt models (#2729),43,44,False,0.8571428571428571,6,0.7609302325581395,0.07840608778487443,0.009851196961133343,0.6113116564590929,0.16279069767441862,6,0.744186,0.069767,0,0,0,43,43,1,44,0,0,0,0,0,41,0.0,0.0
covoiturage-gouv-fr__mono,2025-01-16T15:19:22,8444d79cd5c0cce8ac592a5138b22e8f00967584,Ajout d'Elementary au projet dbt (#2754),43,44,False,0.8571428571428571,6,0.7609302325581395,0.07840608778487443,0.009851196961133343,0.6113147432175137,0.16279069767441862,6,0.744186,0.069767,0,0,0,43,43,1,44,0,0,0,0,0,48,0.0,0.0
covoiturage-gouv-fr__mono,2025-03-05T13:22:56,ac1756a97d162b1198c494d8c3f64af8633af75e,Updates fraud models with new features (#2809),49,44,False,0.8571428571428571,6,0.7902040816326531,0.07840608778487443,0.009851196961133343,0.6113115302260964,0.14285714285714285,12,0.653061,0.183673,0,0,0,49,49,1,44,0,0,0,5,0,54,0.102041,0.0
covoiturage-gouv-fr__mono,2025-03-26T18:05:23,f3a5654148d0da0c9f2b21db14b28a720cac4919,Adds a new fraud monitoring model (#2841),51,45,False,0.8571428571428571,6,0.7947971267715007,0.07840608778487443,0.009851196961133343,0.6113146025407811,0.13725490196078433,13,0.627451,0.196078,0,0,0,51,51,1,45,0,0,0,5,0,56,0.098039,0.0
covoiturage-gouv-fr__mono,2025-04-23T14:01:28,1fd279a7b985135fa4a24e044723a99d397f499e,Updates the start date of monthly_stats_interoperator_rules (#2861),53,45,False,0.8571428571428571,6,0.8025406314216327,0.07840608778487443,0.009851196961133343,0.6113147884132967,0.1320754716981132,15,0.603774,0.226415,0,0,0,53,53,1,45,0,0,0,7,0,59,0.132075,0.0
covoiturage-gouv-fr__mono,2025-05-26T10:55:00,68467b5c67deed79b9922e4bc65a2ebee842aa25,Modifies start date of data of acceptability metrics model (#2866),53,45,False,0.8571428571428571,6,0.8025406314216327,0.07840608778487443,0.009851196961133343,0.611314609067344,0.1320754716981132,15,0.603774,0.226415,0,0,0,53,53,1,45,0,0,0,7,0,59,0.132075,0.0
covoiturage-gouv-fr__mono,2025-06-27T11:51:59,942f9768075b48d00e3949c1832c931e1dc957e7,Mise à jour d'elementary et ajouts des modèles relatifs aux statistiques de campagnes (#2880),54,43,False,0.8571428571428571,6,0.8298245614035088,0.07840608778487443,0.009851196961133343,0.6113145510308454,0.12962962962962962,18,0.592593,0.277778,0,0,0,54,54,1,43,0,0,0,7,0,58,0.12963,0.0
covoiturage-gouv-fr__mono,2025-07-18T14:57:36,6d1b49270294bba24bd30090f92544f110baa27e,Updates monthly_stats_campaigns_revenues_by_operator model (#2922),55,43,False,0.8571428571428571,6,0.8329186602870814,0.07840608778487443,0.009851196961133343,0.6113145882724202,0.12727272727272726,19,0.581818,0.290909,0,0,0,55,55,1,43,0,0,0,7,0,60,0.127273,0.0
