project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
dbt-labs__dbt-project-evaluator,2022-01-31T11:35:25,c57b9dc0c0cd1b0b6e9e9c9b6289e1bcc2e06aec,"Changed ""description"" field to a boolean",23,18,False,0.7857142857142857,2,0.7053140096618358,0.47907331775179335,0.06745423001326212,0.40179122103209863,0.08695652173913043,7,0.391304,0.173913,9,3,8,3,23,1
dbt-labs__dbt-project-evaluator,2022-03-07T17:59:24,10c417412c20798c1a0455e7f4982ed552adcb1b,Create new DAG tests and add examples,22,16,False,0.8571428571428571,1,0.8863636363636364,0.9999999999999992,0.09090909090909084,0.34047358753858714,0.0,6,0.5,0.181818,8,2,12,0,22,1
dbt-labs__dbt-project-evaluator,2022-04-04T17:47:12,1f845ef2618ca5b205d93862423d62056ebe742f,Merge pull request #64 from dbt-labs/fix/update-grain-of-multiple_sources_joined,23,18,False,0.6428571428571429,3,0.893719806763285,0.09050971404313962,0.0075364953700180716,0.6339300995983034,0.0,5,0.826087,0.173913,8,2,13,0,23,1
dbt-labs__dbt-project-evaluator,2022-05-06T10:02:48,f176f717c150acc4a3f5c6af5d0280174c999c65,Make the calculation work cross DW,26,22,False,0.7857142857142857,3,0.8671328671328671,0.08072785360382849,0.0067214781738791935,0.6210854036415137,0.038461538461538464,5,0.846154,0.153846,10,2,14,0,26,1
dbt-labs__dbt-project-evaluator,2022-05-31T16:19:34,a7cd3cabc51ed02818c8360d8957837e9b78f29a,Merge branch 'main' into fix/readme_table_of_contents,28,26,False,0.7857142857142857,3,0.8571428571428571,0.09218013838935928,0.0076664146189382954,0.6395565210653245,0.10714285714285714,5,0.857143,0.142857,9,3,16,0,28,1
dbt-labs__dbt-project-evaluator,2022-07-06T09:46:20,f801942682ca93d22a4f08acd76c6cce0a850558,Added owner_name and owner_email fields to stg_exposures and int_all_graph_resources,29,27,False,0.7142857142857143,3,0.8659003831417624,0.0885202922361732,0.006799538336954102,0.6510587729675429,0.10344827586206896,5,0.862069,0.137931,9,3,17,0,29,1
dbt-labs__dbt-project-evaluator,2022-08-04T18:01:42,e6c2ff9423d37a3f04c6e0ff20df55edb16f7a8a,Fix integration tests on databricks,30,28,False,0.7142857142857143,3,0.8738095238095238,0.08539349026853145,0.006092955027478593,0.6640551970465874,0.1,5,0.866667,0.133333,9,3,18,0,30,1
dbt-labs__dbt-project-evaluator,2022-08-15T14:18:20,3ff7f50b7ac69a84ec2cef737cb00016e6aac208,Merge pull request #183 from dbt-labs/fix/alt-multi-ref,30,28,False,0.7142857142857143,3,0.8738095238095238,0.08539349026853145,0.006092955027478593,0.664055107274413,0.1,5,0.866667,0.133333,9,3,18,0,30,1
dbt-labs__dbt-project-evaluator,2022-09-29T23:31:12,1801aff13dc70ec5b966826cd8e8d24d8ed05558,Fix temp code,30,28,False,0.7142857142857143,3,0.8738095238095238,0.08539349026853145,0.006092955027478593,0.664055124998984,0.1,5,0.866667,0.133333,9,3,18,0,30,1
dbt-labs__dbt-project-evaluator,2022-12-02T16:23:45,68bef71b1fdead97837fb609e568703d0d0b2fd4,working prototype for unpack via create and insert,30,28,False,0.7142857142857143,3,0.8738095238095238,0.08539349026853145,0.006092955027478593,0.6640551900533006,0.1,5,0.866667,0.133333,9,3,18,0,30,1
