project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
dbt-labs__snowplow,2016-07-27T18:44:30,9d98d096193679574bb92623b40bef5194ee14fe,page pings and page_views,8,9,False,0.8571428571428571,1,0.5972222222222222,1.999999999999998,0.3333333333333329,0.2230247842807063,0.5,3,0.75,0.25,0,0,0,8,8,1
dbt-labs__snowplow,2016-09-22T22:28:24,bf685a8d70fee1614a77a988065b6e84b22d4f83,replicate snowplow incremental queries with dbt,10,19,False,0.7142857142857143,4,0.6263157894736842,1.5857864376269024,0.15857864376269026,0.4281360886843779,1.0,1,1.0,0.0,0,0,0,10,10,1
dbt-labs__snowplow,2016-10-13T17:41:35,3b366ceab727252306b3260351b535a20c4ea14f,add session id and reindex sessions,7,13,False,0.7142857142857143,2,0.4835164835164835,1.9138698023485055,0.27340997176407233,0.5456658820437382,1.0,1,1.0,0.0,0,0,0,7,7,1
dbt-labs__snowplow,2016-11-13T14:41:27,161c4e2b21a9cf7d131a93aaffde5637f27d8c52,add session_id FK to events,5,4,False,0.7857142857142857,1,0.7,1.0,0.2,0.20904731032325025,0.0,1,1.0,0.0,0,0,0,5,5,1
dbt-labs__snowplow,2017-01-20T14:02:51,5c5de490da077b049002fa7d511c3479a66cdedf,indentation,13,16,False,0.7142857142857143,3,0.5274725274725275,0.16740617265979532,0.025659504267948174,0.4373957406385223,0.3076923076923077,1,1.0,0.0,4,0,0,9,13,1
dbt-labs__snowplow,2017-02-21T19:29:42,88b6488d913ac2c2d7953f8c89977e3254ecbdaa,re-add engagment fields,15,14,False,0.7142857142857143,3,0.6095238095238096,0.1052224888565662,0.01907939655546077,0.43609271724104065,0.06666666666666667,2,0.933333,0.066667,4,0,0,11,15,1
dbt-labs__snowplow,2017-03-14T00:34:38,4bf117503e7d5a6558fa87e1d9c07540b774331a,pull utm params from parent session if orphaned,16,16,False,0.7142857142857143,3,0.5461956521739131,0.11275941190831851,0.019806051419352027,0.40596964802404084,0.125,2,0.9375,0.0625,4,0,0,12,16,1
dbt-labs__snowplow,2017-04-10T15:41:40,37f1805440f5a88e7e7cbd7fcddf617dcf0c187f,typos and postgres fixes,16,23,False,0.6428571428571429,3,0.3514344262295082,0.33844862997014735,0.03982848213242427,0.515901756637277,0.5,1,1.0,0.0,4,0,0,12,16,1
dbt-labs__snowplow,2017-05-09T13:53:47,1e3331bf90a281823b73fc0c9605b34fc3df71cf,check if --full-refresh is active,16,23,False,0.6428571428571429,3,0.3514344262295082,0.33844862997014735,0.03982848213242427,0.5159018347863293,0.5,1,1.0,0.0,4,0,0,12,16,1
dbt-labs__snowplow,2017-05-24T13:38:44,50bb2ddd3d666bfb52517960ed215b39b7eb43a6,updated schema test syntax to include ref calls explicitly,16,23,False,0.6428571428571429,3,0.3514344262295082,0.33844862997014735,0.03982848213242427,0.5159018733295003,0.5,1,1.0,0.0,4,0,0,12,16,1
