project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
edanalytics__edu_wh,2022-12-02T16:21:16,d567f6df0aea0d2e3f1f1bb7b385912d0c9860fa,"add stu ids, improve whitespace (#10)",52,79,False,0.5714285714285714,5,0.6472736124634859,0.3243134352834128,0.01466700969556396,0.17236065448074023,0.5961538461538461,4,0.865385,0.038462,0,0,28,24,52,1
edanalytics__edu_wh,2022-12-20T14:35:08,55bd9a463ace97f3166dd610f1afcd57a385bbbc,Bugfix/add tenant columns to assessment models (#20),63,92,False,0.6428571428571429,6,0.6609405919750747,0.1339674008504537,0.005563219658175947,0.85454945261495,0.5238095238095238,4,0.888889,0.031746,0,0,32,31,63,1
edanalytics__edu_wh,2023-02-01T15:26:15,0d864e331c488c4f93d2e03b08aa9331f93b4187,Update absentee_categories seed join logic to be inclusive on upper t… (#29),69,98,False,0.5714285714285714,7,0.679027070006144,0.13049710848459464,0.0050066552349874414,0.4497769713822728,0.4927536231884058,5,0.884058,0.043478,0,0,35,34,69,1
edanalytics__edu_wh,2023-03-02T17:24:24,cb2fe00b40c4c7554d2e93266191d266ca3458bb,Feature/optional program associations (#35),79,111,False,0.7142857142857143,6,0.7014568903749702,0.12984515073411612,0.004051957078676668,0.5751689878087441,0.4936708860759494,7,0.873418,0.063291,0,0,40,39,79,1
edanalytics__edu_wh,2023-03-30T18:39:25,8821247958f61325f31591474c1f4a1a743910ab,Feature/bld school calendar windows (#45),81,113,False,0.8571428571428571,6,0.6944925623470538,0.12985893329959156,0.003929993629825752,0.5704008236358291,0.49382716049382713,8,0.864198,0.074074,0,0,41,40,81,1
edanalytics__edu_wh,2023-05-02T18:34:27,f92ae9d1fed8c8c72a1e128bbe28f63d196c0217,Feature/discipline incidents (#48),85,125,False,0.7857142857142857,7,0.7078039215686275,0.13043293628289257,0.003618877755426446,0.4334361966461426,0.5647058823529412,8,0.870588,0.070588,0,0,45,40,85,1
edanalytics__edu_wh,2023-06-01T17:54:26,2bf297e517b07c40e98d06d9e8a292cd7cec0309,fix docs for correct unique key (#57),82,123,False,0.7857142857142857,7,0.697691804504252,0.12989330959292839,0.003603905175054859,0.5553131211155926,0.5853658536585366,7,0.926829,0.073171,0,0,45,37,82,1
edanalytics__edu_wh,2023-07-28T18:29:16,e0b12dd1acd50a0edec7e47eac7ff81427e8dfd4,Update _edfi_3__students.yml (#67),84,125,False,0.6428571428571429,7,0.6997505668934241,0.12950213289892323,0.0035929624165542524,0.6330487601392106,0.5714285714285714,7,0.928571,0.071429,0,0,45,39,84,1
edanalytics__edu_wh,2023-08-01T11:53:59,c3e60038b16ddb421ce5b89e6c2e654b8ca6f427,Feature/staff dbt docs (#70),84,125,False,0.6428571428571429,7,0.6997505668934241,0.12950213289892323,0.0035929624165542524,0.6330128510793994,0.5714285714285714,7,0.928571,0.071429,0,0,45,39,84,1
edanalytics__edu_wh,2023-10-11T18:01:32,322e27db246a9278047aa43198037635fe7c263b,Add incident_time to dim_discipline_incidents. (#74),84,125,False,0.6428571428571429,7,0.6997505668934241,0.12950213289892323,0.0035929624165542524,0.6330477677203504,0.5714285714285714,7,0.928571,0.071429,0,0,45,39,84,1
edanalytics__edu_wh,2023-11-28T18:59:26,a870f6f44ae2c716492b51134fa56fd247362ab7,Feature/add warehouse models for cohorts (#78),89,131,False,0.7857142857142857,8,0.7187766194783596,0.12944698279224537,0.003402720369698001,0.6393874376398692,0.550561797752809,7,0.932584,0.067416,0,0,49,40,89,1
edanalytics__edu_wh,2023-12-21T10:49:44,9e28bec0b95c09e56aa69b23202a6fead89245d2,Hotfix/0.2.9 (#99),88,128,False,0.7857142857142857,7,0.7190783986655547,0.12957868283490617,0.003406218226304339,0.6140887184725023,0.5340909090909091,7,0.931818,0.068182,0,0,49,39,88,1
edanalytics__edu_wh,2024-01-25T17:58:42,0d7ea0e3233a46ce82680379fdec584bcd19ec85,add same rule for historic obj assess (#103),90,134,False,0.7142857142857143,7,0.7236496913580247,0.12976853927672644,0.003241105087952087,0.572285830177198,0.5666666666666667,7,0.933333,0.066667,0,0,50,40,90,1
edanalytics__edu_wh,2024-02-06T13:37:18,4a2fb8cc06681524c3f57218d64f1bbbb4f038d1,staff race_ethnicity (#108),91,135,False,0.7857142857142857,7,0.7228074171079353,0.12926330125450003,0.003228486239533867,0.6673266427761775,0.5604395604395604,7,0.934066,0.065934,0,0,50,41,91,1
edanalytics__edu_wh,2024-04-05T12:04:48,3a389408bf346c81681d537245a41a2177ee03b4,explicit col naming as workarond for group by bug with rls (#122),91,135,False,0.7857142857142857,7,0.7228074171079353,0.12926330125450003,0.003228486239533867,0.667328187394901,0.5604395604395604,7,0.934066,0.065934,0,0,50,41,91,1
edanalytics__edu_wh,2024-06-19T12:50:00,e1a9b6585945a873b4706e7301bafd483558cc6d,Bugfix/combine gpas (#137),93,136,False,0.7142857142857143,7,0.7283375826774563,0.12916422694011678,0.003225952616342638,0.6837613696008249,0.5483870967741935,8,0.924731,0.075269,0,0,52,41,93,1
edanalytics__edu_wh,2024-08-19T11:27:47,b9acae349ff814d7f265f414c329a60d64b668cc,fix annualized grouping in wide sch networks (#146),93,136,False,0.7142857142857143,7,0.7283375826774563,0.12916422694011678,0.003225952616342638,0.6837238918905894,0.5483870967741935,8,0.924731,0.075269,0,0,52,41,93,1
edanalytics__edu_wh,2024-09-20T10:43:40,e996ec2f16d4be1bde926bfbdb5e3351be82ea76,Update to dbt_utils 1.0+ (1.3.0) (#143),94,137,False,0.8571428571428571,8,0.7232823762927882,0.12913685596304578,0.003146851742546866,0.6874777570997181,0.5425531914893617,8,0.925532,0.074468,0,0,52,42,94,1
edanalytics__edu_wh,2025-02-03T09:45:50,f44276f7785395356333d0e20a9aab2a91c387fb,Update fct_course_transcripts.sql (#164),94,137,False,0.8571428571428571,8,0.7232823762927882,0.12913685596304578,0.003146851742546866,0.6874420188784677,0.5425531914893617,8,0.925532,0.074468,0,0,52,42,94,1
edanalytics__edu_wh,2025-04-09T15:10:32,a77f0a010579b7763dbe885039a4fd8625b9e0ce,Modified dim_school.sql to support custom data sources (#165),94,137,False,0.8571428571428571,8,0.7232823762927882,0.12913685596304578,0.003146851742546866,0.6874405803681373,0.5425531914893617,8,0.925532,0.074468,0,0,52,42,94,1
edanalytics__edu_wh,2025-06-13T12:37:21,8df631c707aa1343a49fb6ca4e717a95101fb01f,"update key to include begin_date, ds 5.0 (#169)",94,137,False,0.8571428571428571,8,0.7232823762927882,0.12913685596304578,0.003146851742546866,0.6874780714763725,0.5425531914893617,8,0.925532,0.074468,0,0,52,42,94,1
edanalytics__edu_wh,2025-07-18T15:20:06,6e7e836cf9526684e0f46c4dcf5020f858bb8700,Staff Email Handling (#179),97,139,False,0.7142857142857143,7,0.7266448746961697,0.128903077630177,0.0031411549228075953,0.7229311551674059,0.5257731958762887,9,0.907216,0.072165,0,0,52,45,97,1
edanalytics__edu_wh,2025-08-06T14:08:08,26dd2f0a6ccecddb4cc667953104cd6027cffe28,Feature/ds5 enrollment updates (#183),97,139,False,0.7142857142857143,7,0.7266448746961697,0.128903077630177,0.0031411549228075953,0.722894882984136,0.5257731958762887,9,0.907216,0.072165,0,0,52,45,97,1
edanalytics__edu_wh,2025-09-15T14:55:15,25c6afa0b2b97d15361b248c7069d90c2a00dc22,Fix/add assessment_family (#185),108,152,False,0.7857142857142857,7,0.7276941307681584,0.13164170810360445,0.0027409071347877572,0.6134034718574256,0.5185185185185185,12,0.888889,0.092593,0,0,55,53,108,1
edanalytics__edu_wh,2025-09-29T13:54:18,3b184d64e77d4eb2a9ca4bb87f53b646258c097d,Feature/Staff Safe Display Name (#193),108,152,False,0.7857142857142857,7,0.7276941307681584,0.13164170810360445,0.0027409071347877572,0.6134678103962806,0.5185185185185185,12,0.888889,0.092593,0,0,55,53,108,1
edanalytics__edu_wh,2025-12-05T10:27:22,4dbd3038305e9ba4e9351910e2376b8dbb35b330,TDOE changes on top of latest EA main branch for Databricks to work. (#200),112,155,False,0.7857142857142857,7,0.7330011592652043,0.13164170810360445,0.0027409071347877572,0.6134659000959272,0.5,13,0.857143,0.089286,0,0,56,56,112,1
edanalytics__edu_wh,2025-12-19T11:51:20,27d76b97e29123ed209e6851dfb06774837278a6,"update how args are delcared for tests, old way is deprecated (#203)",116,161,False,0.8571428571428571,8,0.7333495125142447,0.049591636201188866,0.0010325449569682631,0.9313176250306024,0.49137931034482757,12,0.896552,0.086207,0,0,59,57,116,1
edanalytics__edu_wh,2026-02-13T10:19:10,a718bfd19ab5161bec01b95533d95c39d8f18edf,Bugfix/class period (#214),116,161,False,0.8571428571428571,8,0.7333495125142447,0.049591636201188866,0.0010325449569682631,0.9313177346409612,0.49137931034482757,12,0.896552,0.086207,0,0,59,57,116,1
edanalytics__edu_wh,2026-04-01T16:51:30,fb257ef0b20d957f5d8adee24ed4d386158992c1,fix end date logic in stu sch att events to match prior behavior (#226),120,168,False,0.7857142857142857,8,0.7376173708920187,0.049735221479617814,0.001014409968300343,0.9372740276395806,0.5166666666666667,14,0.883333,0.1,0,0,61,59,120,1
edanalytics__edu_wh,2026-05-12T14:55:30,0e45608cc4376b06cdedf7f40c31d52df23894dc,Fix/doc fixes (#241),120,168,False,0.7857142857142857,8,0.7376173708920187,0.049735221479617814,0.001014409968300343,0.937273776829933,0.5166666666666667,14,0.883333,0.1,0,0,61,59,120,1
edanalytics__edu_wh,2026-06-26T14:11:28,a0102b58cd7be606b55eebb27c4f51d98fac7ef0,add logic to allow separate var including students who exit on frist day (#246),125,172,False,0.7857142857142857,8,0.748348623853211,0.04968709853707069,0.00099318420608847,0.9375744404482271,0.504,16,0.856,0.104,0,0,66,59,125,1
edanalytics__edu_wh,2026-08-04T12:27:02,1aef0af15cbc32565e7c905085d07106d173655b,TN #231: Feature/section characteristics in dim course section (#267),130,179,False,0.7142857142857143,8,0.7511798279240139,0.04949593556313499,0.0009699688573148238,0.938863722968943,0.5,16,0.861538,0.1,0,0,67,63,130,1
