project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
elementary-data__elementary,2022-04-13T17:45:53,c971b5ddddba88660b590fcb94c860df46ea44ce,Added dbt test alert,1,0,True,,,,,,,,1,1.0,1.0,0,0,0,1,1,1
elementary-data__elementary,2022-05-08T15:17:23,e7ce6ecc38e299766b7253a7ee59097a592a092a,Added dbt test alerts and improved alerts formatting,1,0,True,,,,,,,,1,1.0,1.0,0,0,0,1,1,1
elementary-data__elementary,2022-07-11T12:00:11,6ae7685d08e169a7109457c7af454b89421d6857,Renamed 'alerts_data_monitoring' to 'alerts_anomaly_detection'.,2,0,True,,,,,,,,2,0.5,1.0,0,0,0,2,2,1
elementary-data__elementary,2022-07-25T18:04:28,d70fe2fdab10e29c7329b1e413476fec0653af47,Changed the comment syntax from unstable (//) to Jinja's official ({#...#}).,2,0,True,,,,,,,,2,0.5,1.0,0,0,0,2,2,1
elementary-data__elementary,2022-08-23T12:01:22,06e3a0f9f5160290bf1557318f7c0d43451a7525,Created an 'elementary' package.,2,0,True,,,,,,,,2,0.5,1.0,0,0,0,2,2,1
elementary-data__elementary,2022-10-03T15:08:00,cc99e473da60415ea1e23e6e8359d2d8e9ebfa37,Added source freshness alerts.,3,0,True,,,,,,,,3,0.333333,1.0,0,0,0,3,3,1
elementary-data__elementary,2022-10-12T11:26:52,851f342c98a6c33192ffc9b6b31566a9a6e4d3c7,Renamed a variable.,3,0,True,,,,,,,,3,0.333333,1.0,0,0,0,3,3,1
elementary-data__elementary,2022-12-26T14:00:12,be4b683e337bb498e24b457e4de79585fe9b471d,Fix sent_at typing error,3,0,True,,,,,,,,3,0.333333,1.0,0,0,0,3,3,1
elementary-data__elementary,2023-02-14T16:47:50,6ccf0af2f3f7a5b47026bc2ce0750e830e35f739,change macro names,3,0,True,,,,,,,,3,0.333333,1.0,0,0,0,3,3,1
elementary-data__elementary,2023-05-17T08:11:34,6e360e00fdd6484bebf0cabe01c423623ab087e3,use nothing materialization to run the update models without creating them on the DWH,5,6,False,0.8571428571428571,1,0.4,1.999999999999999,0.3999999999999999,0.23077743069876697,0.4,1,1.0,0.0,0,0,0,5,5,1
elementary-data__elementary,2023-07-02T18:38:53,7671eae7bbb656a742bd81902ba3160b1d810d77,Added prefix to tests definition.,5,6,False,0.8571428571428571,1,0.4,1.999999999999999,0.3999999999999999,0.13365813291129908,0.4,1,1.0,0.0,0,0,0,5,5,1
elementary-data__elementary,2023-09-05T15:55:13,914ec0fc4806992359a8b2f380ee58714b2472b5,Add 'inserted_at' as timestamp column.,8,8,False,0.8571428571428571,1,0.46875,1.999999999999999,0.3999999999999999,0.23818695540741372,0.25,2,0.625,0.0,0,0,0,8,8,1
elementary-data__elementary,2023-10-05T12:04:37,0d59b20859116bf776efdb052a82afe4d2d7a037,tables_seasonality: small bugfix,8,8,False,0.8571428571428571,1,0.46875,1.999999999999999,0.3999999999999999,0.1418697503957819,0.25,2,0.625,0.0,0,0,0,8,8,1
elementary-data__elementary,2023-06-12T12:46:51,bcf88179423cc70a0c12f952fa719b52795158df,Make alert tables work with Athena,10,8,False,0.8571428571428571,1,0.575,1.999999999999999,0.3999999999999999,0.24028122288621936,0.2,4,0.5,0.2,0,0,0,10,10,1
elementary-data__elementary,2023-12-03T15:39:08,ca87722d6fa89ca6cceb1e6df2edf4f44fafca56,change alerts models to sync_all_columns,10,8,False,0.8571428571428571,1,0.575,1.999999999999999,0.3999999999999999,0.1690682225563069,0.2,4,0.5,0.2,0,0,0,10,10,1
elementary-data__elementary,2023-12-27T14:15:59,ef452228d9d6c910dc8a60e17fd1c9da0e1bb4b0,Ensure backwards compatibility for depends_on_columns,10,8,False,0.8571428571428571,1,0.575,1.999999999999999,0.3999999999999999,0.15259756566879806,0.2,4,0.5,0.2,0,0,0,10,10,1
elementary-data__elementary,2024-01-17T16:02:10,7d3deefb5e690822a2e791c7310aaf5072983ffb,Keep old alerts tables for backwards,11,4,False,0.8571428571428571,1,0.7727272727272727,0.9999999999999997,0.3333333333333332,0.0,0.0,7,0.272727,0.454545,0,0,0,11,11,1
elementary-data__elementary,2024-02-11T11:33:33,03ce3e837800c3426242d6461442f01849bcfc3c,Ensure that enriched exposures still works if cli views have not been synced,11,4,False,0.8571428571428571,1,0.7727272727272727,0.9999999999999997,0.3333333333333332,0.0,0.0,7,0.272727,0.454545,0,0,0,11,11,1
elementary-data__elementary,2024-03-19T11:46:00,39588ff6f2ee19d6a5bd04cecec53fbc9437273c,ELE-2726 - support days back for alerts population - default is 1,11,4,False,0.8571428571428571,1,0.7727272727272727,0.9999999999999997,0.3333333333333332,0.0,0.0,7,0.272727,0.454545,0,0,0,11,11,1
elementary-data__elementary,2024-05-08T19:24:44,e3d767aa78bb32cef8f83719e4a93b46633af468,remove refs to information_schema_columns (#1519),11,4,False,0.8571428571428571,1,0.7727272727272727,0.9999999999999997,0.3333333333333332,0.0,0.0,7,0.272727,0.454545,0,0,0,11,11,1
elementary-data__elementary,2024-07-04T15:02:38,e1f2138746d701d3f9ea578e155aaf7c9a3b660f,Ele 3295 api dbt runner (#1577),18,4,False,0.8571428571428571,1,0.8611111111111112,0.9999999999999997,0.3333333333333332,0.0,0.0,14,0.166667,0.666667,0,0,0,18,18,2
elementary-data__elementary,2024-09-05T12:04:09,309c54135c7eb25c4b2526ebccb28d61ddb4b375,Added seeds to lineage.,18,4,False,0.8571428571428571,1,0.8611111111111112,0.9999999999999997,0.3333333333333332,0.0,0.0,14,0.166667,0.666667,0,0,0,18,18,2
elementary-data__elementary,2025-08-29T12:41:34,9ef15abaac663170be2dbd5cf69ad40a014a2560,correct column references,18,4,False,0.8571428571428571,1,0.8611111111111112,0.9999999999999997,0.3333333333333332,0.0,0.0,14,0.166667,0.666667,0,0,0,18,18,2
elementary-data__elementary,2025-11-19T16:58:24,a03dc6400d84f297566e06870ea375190f586878,Remove deprecated test recommendations macro,15,2,False,0.8571428571428571,1,0.9333333333333333,0.9999999999999997,0.3333333333333332,0.0,0.0,13,0.2,0.8,0,0,0,15,15,2
elementary-data__elementary,2025-12-17T14:20:10,f721a5745d0a0307b11bcaab1f6f17e212111ccf,Merge branch 'master' into 1944-add-orchestrator-job-data-alerts,15,2,False,0.8571428571428571,1,0.9333333333333333,0.9999999999999997,0.3333333333333332,0.0,0.0,13,0.2,0.8,0,0,0,15,15,2
elementary-data__elementary,2026-03-04T00:33:34,e8dabbfb0c923c24915541f85d0d6f74a9e5dbc3,"feat: add DuckDB, Trino, Dremio & Spark support to CI and CLI (#2135)",15,2,False,0.8571428571428571,1,0.9333333333333333,0.9999999999999997,0.3333333333333332,0.0,0.0,13,0.2,0.8,0,0,0,15,15,2
