project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
fivetran__dbt_ad_reporting,2020-08-24T12:32:31,559a62934543b4814632ed1a9874f59df9a005a2,docs on docs on docs,4,0,True,,,,,,,,4,0.25,1.0,3,0,0,1,4,1,0,0,0,0,1,0,1,0.25,0.0
fivetran__dbt_ad_reporting,2020-11-24T08:40:46,5ecbe4e2631083d4efb382d74e4192c6c4426045,"fixing data types, apparently",6,0,False,,,0.0,0.0,0.0,0.0,0.0,6,0.166667,1.0,5,0,0,1,6,1,0,0,0,0,1,0,1,0.166667,0.0
fivetran__dbt_ad_reporting,2021-01-08T16:52:25,a48b2e3f7c24b88f592eb0d12f0df385fd2534f5,some updates + facebook ads,7,0,False,,,0.0,0.0,0.0,0.0,0.0,7,0.142857,1.0,6,0,0,1,7,1,0,0,0,0,1,0,1,0.142857,0.0
fivetran__dbt_ad_reporting,2021-02-26T13:12:28,a6d4b372fdfbd1526b33f73348083413b8feb41d,review edits,7,0,False,,,0.0,0.0,0.0,0.0,0.0,7,0.142857,1.0,6,0,0,1,7,1,0,0,0,0,1,0,1,0.142857,0.0
fivetran__dbt_ad_reporting,2021-04-02T09:13:21,78c25754480fa89d2cc71a3ab4548679a011a715,adding snapchat ads,8,0,False,,,0.0,0.0,0.0,0.0,0.0,8,0.125,1.0,7,0,0,1,8,1,0,0,0,0,1,0,1,0.125,0.0
fivetran__dbt_ad_reporting,2021-08-17T10:30:07,b3af8dbfe56a60443334675c9859a8920584677d,LinkedIn Ads hierarchy documenation,8,0,False,,,0.0,0.0,0.0,0.0,0.0,8,0.125,1.0,7,0,0,1,8,1,0,0,0,0,1,0,1,0.125,0.0
fivetran__dbt_ad_reporting,2021-10-05T16:18:00,079765c3edc8f81444df5e0e5eedd814a9f1da48,resolve merge conflicts,8,0,False,,,0.0,0.0,0.0,0.0,0.0,8,0.125,1.0,7,0,0,1,8,1,0,0,0,0,1,0,1,0.125,0.0
fivetran__dbt_ad_reporting,2021-11-29T12:53:57,5738776f07298d5fcb4445ecd883acde41de68a2,Fixed Data Type,8,0,False,,,0.0,0.0,0.0,0.0,0.0,8,0.125,1.0,7,0,0,1,8,1,0,0,0,0,1,0,1,0.125,0.0
fivetran__dbt_ad_reporting,2022-01-05T16:32:56,7a567d250de75e156cd54677ed85f6c80bf37093,update tiktok,9,0,False,,,0.0,0.0,0.0,0.0,0.0,9,0.111111,1.0,8,0,0,1,9,1,0,0,0,0,1,0,1,0.111111,0.0
fivetran__dbt_ad_reporting,2022-06-15T10:54:22,3d729c4e842b5f038106d10845b35eef457b2564,feature/google-ads-api-default,9,0,False,,,0.0,0.0,0.0,0.0,0.0,9,0.111111,1.0,8,0,0,1,9,1,0,0,0,0,1,0,1,0.111111,0.0
