project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
fivetran__dbt_mailchimp,2020-04-28T15:36:12,41053836e454a80d6f72350d16793893b4afff27,testing clean up,34,53,False,0.5714285714285714,4,0.553508150248051,0.18358961747816754,0.016372902207762025,0.6304263078217097,0.6176470588235294,2,0.970588,0.029412,12,13,0,9,34,1,53,0,0,0,9,30,3,0.264706,0.882353
fivetran__dbt_mailchimp,2020-10-27T08:10:45,c7868eeb25b0ad0372d72a1572149ecadacf3fa3,update to dbt 0.18.0,34,53,False,0.5714285714285714,4,0.553508150248051,0.18358961747816754,0.016372902207762025,0.6304263851023846,0.6176470588235294,2,0.970588,0.029412,12,13,0,9,34,1,53,0,0,0,9,30,4,0.264706,0.882353
fivetran__dbt_mailchimp,2021-09-28T22:48:54,d9793e05f5b7a42d8e8daf8f73cd713b3804a0da,moving stg files to source package,22,32,False,0.5,4,0.6063174114021571,0.18563557229621402,0.021895625192140764,0.5679481269139055,0.5,1,1.0,0.0,0,13,0,9,22,1,32,0,0,0,9,20,4,0.409091,0.909091
fivetran__dbt_mailchimp,2021-10-21T21:19:58,e724a0572eb25f08eed71a0e4cd0ed8dd0db4bdb,"clean/ add comments, int models to ephemeral",22,32,False,0.6428571428571429,4,0.6063174114021571,0.18563557229621383,0.02189562519214074,0.5679481275032143,0.5,1,1.0,0.0,0,13,0,9,22,1,32,0,0,0,9,9,1,0.409091,0.409091
fivetran__dbt_mailchimp,2022-10-13T15:58:21,63f6930cc10449889fe638daa7b0b70cbde21bb6,Updates for dbt-utils to dbt-core cross-db macro migration,22,32,False,0.6428571428571429,4,0.6063174114021571,0.18563557229621383,0.02189562519214074,0.567948127384198,0.5,1,1.0,0.0,0,13,0,9,22,1,32,0,0,0,9,9,1,0.409091,0.409091
fivetran__dbt_mailchimp,2023-05-09T12:52:11,4aae6687b29b43df8e8bb12697aa3a18715cf226,feature/databricks-compatibility,22,32,False,0.6428571428571429,4,0.6063174114021571,0.18563557229621383,0.02189562519214074,0.5679481281666273,0.5,1,1.0,0.0,0,13,0,9,22,1,32,0,0,0,9,9,1,0.409091,0.409091
fivetran__dbt_mailchimp,2023-07-28T22:58:45,09665db049346af5b95858d5698ffd18c185914c,updates,22,32,False,0.6428571428571429,4,0.6063174114021571,0.18563557229621383,0.02189562519214074,0.5679481275022038,0.5,1,1.0,0.0,0,13,0,9,22,1,32,0,0,0,9,9,1,0.409091,0.409091
fivetran__dbt_mailchimp,2023-08-07T18:33:17,d1edef222abeee8de1aa51680f290c1665ab97e0,updates,22,32,False,0.6428571428571429,4,0.6063174114021571,0.18563557229621383,0.02189562519214074,0.5679481274918798,0.5,1,1.0,0.0,0,13,0,9,22,1,32,0,0,0,9,9,1,0.409091,0.409091
fivetran__dbt_mailchimp,2024-12-09T18:50:13,4624d00dd4f9839a8041f99c9569bfcec3d074a7,Feature/using unsubscribes var (#46),22,32,False,0.6428571428571429,4,0.6063174114021571,0.18563557229621383,0.02189562519214074,0.5679481275561672,0.5,1,1.0,0.0,0,13,0,9,22,1,32,0,0,0,9,9,1,0.409091,0.409091
fivetran__dbt_mailchimp,2025-08-14T23:44:47,4d814357257cefd7436e74231d6c6da745f88819,Consolidate source + remove tests (#55),46,66,False,0.7142857142857143,5,0.5061711079943899,0.12208077084184721,0.010750018728597445,0.6248657388960501,0.4782608695652174,2,0.956522,0.0,24,13,0,9,46,1,66,0,0,0,21,20,3,0.456522,0.434783
fivetran__dbt_mailchimp,2025-11-06T20:12:06,6ec73c9df551535c05eee3037da6156cebf59d8c,Feature/union data (#57),46,66,False,0.7142857142857143,5,0.5061711079943899,0.12208077084184721,0.010750018728597445,0.6248659928155078,0.4782608695652174,2,0.956522,0.0,24,13,0,9,46,1,66,0,0,0,21,20,3,0.456522,0.434783
fivetran__dbt_mailchimp,2026-06-22T19:49:27,64c110c9715022c5b5af06335edef31a1990ba82,Standardize unioning macros to use fivetran_utils versions (#64),46,66,False,0.7142857142857143,5,0.5061711079943899,0.12208077084184721,0.010750018728597445,0.6248659940616834,0.4782608695652174,2,0.956522,0.0,24,13,0,9,46,1,66,0,0,0,21,20,3,0.456522,0.434783
