project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
fivetran__dbt_quickbooks_source,2021-02-05T15:37:11,ab2917e36148a0d402e4f280f4da1bddb84f9805,documenation fix and sales receipt var add,72,36,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,36,0.027778,0.0,72,0,0,0,72,1,36,0,0,0,33,34,2,0.458333,0.472222
fivetran__dbt_quickbooks_source,2021-02-09T16:40:30,481cfa5181230beb90c87ce6adf3db911b483d1a,changed default to false for PO,78,39,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,39,0.025641,0.0,78,0,0,0,78,1,39,0,0,0,36,37,2,0.461538,0.474359
fivetran__dbt_quickbooks_source,2021-03-12T13:09:41,ea3270e357f28bae6846a4dae9eb69d31fb46242,parent account casting fix,78,39,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,39,0.025641,0.0,78,0,0,0,78,1,39,0,0,0,36,37,2,0.461538,0.474359
fivetran__dbt_quickbooks_source,2021-04-12T15:39:36,f1709c5e6171131857a3aa4035ac952310b110da,postgres compatibility updates,78,39,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,39,0.025641,0.0,78,0,0,0,78,1,39,0,0,0,36,37,2,0.461538,0.474359
fivetran__dbt_quickbooks_source,2021-06-23T15:16:40,a3f3e6bf76027b1360dd1a9cc36773fa32b889d5,cast not needed for amount,78,39,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,39,0.025641,0.0,78,0,0,0,78,1,39,0,0,0,36,37,2,0.461538,0.474359
fivetran__dbt_quickbooks_source,2022-03-25T10:56:49,ad1880c5fdf1da22cafaf25f2f8b1bb56c892845,invoice billing address id cast as string,78,39,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,39,0.025641,0.0,78,0,0,0,78,1,39,0,0,0,36,37,2,0.461538,0.474359
fivetran__dbt_quickbooks_source,2022-09-26T15:50:15,fd1c3d28fae70c5fcace696a38191bcdc1994c2d,feature/credit-card-payments;,80,40,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,40,0.025,0.0,80,0,0,0,80,1,40,0,0,0,37,37,2,0.4625,0.4625
fivetran__dbt_quickbooks_source,2022-10-24T17:30:14,f193d1cc406070f1ca0e5ec465fdafbacf97677a,credit card payment fixes and docs regen,80,40,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,40,0.025,0.0,80,0,0,0,80,1,40,0,0,0,37,37,2,0.4625,0.4625
fivetran__dbt_quickbooks_source,2022-11-22T13:25:11,47ec3a2ca972615d84328260b27ff9250b47925a,Add class ids to source models,80,40,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,40,0.025,0.0,80,0,0,0,80,1,40,0,0,0,37,37,2,0.4625,0.4625
fivetran__dbt_quickbooks_source,2022-12-01T08:23:49,8a2af71b8c6bc559651b6f1b0142dea5fc29b656,Add index to unique combination tests,80,40,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,40,0.025,0.0,80,0,0,0,80,1,40,0,0,0,40,38,2,0.5,0.475
