project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
fivetran__dbt_shopify,2020-09-20T14:31:09,e559d2bdc8d935b347be313ca0a33c0817a8d92f,docs on docs on docs,8,7,False,0.7142857142857143,2,0.425,0.2508824522534782,0.05354393339568444,0.2842109833567847,0.0,1,1.0,0.0,0,2,0,6,8,1,7,0,0,0,5,7,2,0.625,0.875
fivetran__dbt_shopify,2020-11-24T13:31:01,3282eae6a67b33aace73fed8b70f387546de27f9,adding vars to xf package,8,7,False,0.7142857142857143,2,0.425,0.2508824522534782,0.05354393339568444,0.28421098411325957,0.0,1,1.0,0.0,0,2,0,6,8,1,7,0,0,0,5,7,2,0.625,0.875
fivetran__dbt_shopify,2021-01-26T20:50:24,7eabd2277b59125253025926f43a302ea6ca53e2,Remove duplicate columns related to customer aggregates,8,7,False,0.7142857142857143,2,0.425,0.2508824522534782,0.05354393339568444,0.28421098348137397,0.0,1,1.0,0.0,0,2,0,6,8,1,7,0,0,0,5,7,2,0.625,0.875
fivetran__dbt_shopify,2021-02-17T12:41:59,fdf2a00eada3fead877dd1146985da0e08076b1d,Merge pull request #11 from MartinGuindon/fix/null_customer_id_in_order_aggregates,8,7,False,0.7142857142857143,2,0.425,0.2508824522534782,0.05354393339568444,0.28421098325465466,0.0,1,1.0,0.0,0,2,0,6,8,1,7,0,0,0,5,7,2,0.625,0.875
fivetran__dbt_shopify,2021-03-10T12:04:29,7c000261451278bc1eeecfab1dc1a3f53b1a3f1c,Fix whitespace issues,9,7,False,0.7142857142857143,2,0.4888888888888889,0.2508824522534782,0.05354393339568444,0.28421098331039174,0.0,2,0.888889,0.111111,0,2,0,7,9,1,7,0,0,0,6,8,2,0.666667,0.888889
fivetran__dbt_shopify,2021-05-28T12:36:43,80c7655f452b61ddf3bb3c5bad781b8dd3969888,fixing tests + typo,10,10,False,0.7142857142857143,3,0.4176470588235294,0.18144779549624135,0.03330813173528256,0.42175545999398184,0.1,1,1.0,0.0,0,3,0,7,10,1,10,0,0,0,6,8,2,0.6,0.8
fivetran__dbt_shopify,2021-07-02T10:14:19,727adecb810154645cbad24edfbe5490e86984df,null if addition to transaction exchange rates,10,10,False,0.7142857142857143,3,0.4176470588235294,0.18144779549624135,0.03330813173528256,0.421755456486952,0.1,1,1.0,0.0,0,3,0,7,10,1,10,0,0,0,6,8,2,0.6,0.8
fivetran__dbt_shopify,2021-08-17T12:25:47,e8e0cc1c1f4f41838ec3d91f6599a2ad97bd5fdb,default boolean fix,10,10,False,0.7142857142857143,3,0.4176470588235294,0.18144779549624135,0.03330813173528256,0.42175542205933597,0.1,1,1.0,0.0,0,3,0,7,10,1,10,0,0,0,6,8,2,0.6,0.8
fivetran__dbt_shopify,2021-09-10T17:04:55,95b72b9e86ec5686331de7f96f70376d54eed027,Merge pull request #23 from lizdeika/patch-2,10,10,False,0.7142857142857143,3,0.4176470588235294,0.18144779549624135,0.03330813173528256,0.42175546886720916,0.1,1,1.0,0.0,0,3,0,7,10,1,10,0,0,0,6,8,2,0.6,0.8
fivetran__dbt_shopify,2021-11-03T15:58:18,821bb59f36a39a583ed93de221a1ba4f7318d9a9,remove commented-out code,10,10,False,0.7142857142857143,3,0.4176470588235294,0.18144779549624135,0.03330813173528256,0.4217554148493111,0.1,1,1.0,0.0,0,3,0,7,10,1,10,0,0,0,6,8,2,0.6,0.8
fivetran__dbt_shopify,2022-10-13T16:15:34,2ea08ce0a514b2db8e86b8aeb29a0aa9fb43d439,Updates for dbt-utils to dbt-core cross-db macro migration,10,10,False,0.7142857142857143,3,0.4176470588235294,0.18144779549624135,0.03330813173528256,0.42175542006239775,0.1,1,1.0,0.0,0,3,0,7,10,1,10,0,0,0,6,8,2,0.6,0.8
fivetran__dbt_shopify,2023-01-13T16:43:08,ff221c1515bd0bcaa91c9f6692efb84ba0787d99,updates to discounts and adde dthe daily shop model,21,25,False,0.7142857142857143,5,0.6004140786749482,0.1723743823380358,0.02055284803978197,0.35909062026338096,0.23809523809523808,1,1.0,0.0,0,9,0,12,21,1,25,0,0,0,10,17,2,0.47619,0.809524
fivetran__dbt_shopify,2023-01-31T09:36:51,032e387a5eaf5ed1f5164f883b9e1464fba1c536,Update models/shopify.yml,33,32,False,0.7142857142857143,6,0.7177033492822966,0.19609334190030192,0.02321563606655918,0.8767687055176805,0.21212121212121213,8,0.787879,0.212121,0,14,0,19,33,1,32,0,0,0,18,28,3,0.545455,0.848485
fivetran__dbt_shopify,2023-05-16T15:22:22,0882caf65b07379680f0ba39535dd7552b0225fe,Try this,33,32,False,0.7142857142857143,6,0.7177033492822966,0.19609334190030192,0.02321563606655918,0.8767687059285562,0.21212121212121213,8,0.787879,0.212121,0,14,0,19,33,1,32,0,0,0,18,28,3,0.545455,0.848485
fivetran__dbt_shopify,2023-06-22T15:24:50,b4cf4de1cb6bb7db0be1482e02f56b15ad88cd90,feature/shopify-api-updates,33,32,False,0.7142857142857143,6,0.7177033492822966,0.19609334190030192,0.02321563606655918,0.8767677653304298,0.21212121212121213,8,0.787879,0.212121,0,14,0,19,33,1,32,0,0,0,18,28,3,0.545455,0.848485
fivetran__dbt_shopify,2023-10-04T12:45:50,7ce132179cd1115ae5717c069629d88363624bf1,rm dbt expectations,33,32,False,0.7142857142857143,6,0.7177033492822966,0.19609334190030192,0.02321563606655918,0.8767687223436369,0.21212121212121213,8,0.787879,0.212121,0,14,0,19,33,1,32,0,0,0,18,21,3,0.545455,0.636364
fivetran__dbt_shopify,2024-03-06T13:59:20,7cc06076939937265ab4e11b75a7b34c89c46000,Update partition logic with source relation (#74),33,32,False,0.7142857142857143,6,0.7177033492822966,0.19609334190030192,0.02321563606655918,0.8767687114679807,0.21212121212121213,8,0.787879,0.212121,0,14,0,19,33,1,32,0,0,0,18,21,3,0.545455,0.636364
fivetran__dbt_shopify,2024-05-01T13:47:24,fc20889f54525fd0cb9d69b24de251467c1360e9,Release/v0.12.0 (#79),33,32,False,0.7142857142857143,6,0.7177033492822966,0.19609334190030192,0.02321563606655918,0.8767687309547725,0.21212121212121213,8,0.787879,0.212121,0,14,0,19,33,1,32,0,0,0,18,21,3,0.545455,0.636364
fivetran__dbt_shopify,2024-06-11T14:29:24,9dc9de34fb342edc9eccd9ec7d5d34ec5820ec19,Releases/v0.12.latest (#82),33,32,False,0.7142857142857143,6,0.7177033492822966,0.19609334190030192,0.02321563606655918,0.8767677986419219,0.21212121212121213,8,0.787879,0.212121,0,14,0,19,33,1,32,0,0,0,18,21,3,0.545455,0.636364
fivetran__dbt_shopify,2024-07-09T17:06:05,be8b599de43d6c64e986bb6775027d9698d0679b,more updates,34,32,False,0.7142857142857143,6,0.7260061919504643,0.19609334190030192,0.02321563606655918,0.8767687301855404,0.20588235294117646,9,0.764706,0.235294,0,14,0,20,34,1,32,0,0,0,19,22,4,0.558824,0.647059
fivetran__dbt_shopify,2024-08-06T17:12:06,4525509bdf504ebefafcb3f8934b67b2d256924b,revert changes but apply discount at order level,34,33,False,0.7857142857142857,5,0.7291825821237586,0.1888444211630518,0.022354365223005754,0.4106376630166586,0.20588235294117646,8,0.794118,0.205882,0,14,0,20,34,1,33,0,0,0,19,22,4,0.558824,0.647059
fivetran__dbt_shopify,2024-08-27T16:30:57,470b8dad1b1a29709a2615e6429504a24393791d,Bug Fix: Coalesce incremental fields (#87),34,33,False,0.7857142857142857,5,0.7291825821237586,0.1888444211630518,0.022354365223005754,0.4106403833361539,0.20588235294117646,8,0.794118,0.205882,0,14,0,20,34,1,33,0,0,0,19,22,4,0.558824,0.647059
fivetran__dbt_shopify,2024-10-21T14:56:27,903e5629b4afd3b47af5caffcb69196e78e7106f,Bug/null customer tags (#89),34,33,False,0.7857142857142857,5,0.7291825821237586,0.1888444211630518,0.022354365223005754,0.41064032067345385,0.20588235294117646,8,0.794118,0.205882,0,14,0,20,34,1,33,0,0,0,19,22,4,0.558824,0.647059
fivetran__dbt_shopify,2024-12-02T15:47:18,295a91974f072014791601653e7c99f2f4c08ee6,Bugfix/redshift constant expressions (#92),34,33,False,0.7857142857142857,5,0.7291825821237586,0.1888444211630518,0.022354365223005754,0.41063762397808534,0.20588235294117646,8,0.794118,0.205882,0,14,0,20,34,1,33,0,0,0,19,22,4,0.558824,0.647059
fivetran__dbt_shopify,2025-01-07T17:38:12,35b21ab07e151865dd4ed148fa73da0dd23fc1b9,Feature/product inventory api update (#94),34,33,False,0.7857142857142857,5,0.7291825821237586,0.1888444211630518,0.022354365223005754,0.4106402984975948,0.20588235294117646,8,0.794118,0.205882,0,14,0,20,34,1,33,0,0,0,19,22,4,0.558824,0.647059
fivetran__dbt_shopify,2025-02-05T09:28:28,0f418b67cc035f66971757c2be473070d1597040,Multivalue metafield macro support (#99),34,33,False,0.7857142857142857,5,0.7291825821237586,0.1888444211630518,0.022354365223005754,0.41063764961553406,0.20588235294117646,8,0.794118,0.205882,0,14,0,20,34,1,33,0,0,0,19,22,4,0.558824,0.647059
fivetran__dbt_shopify,2025-02-18T11:41:07,df17e2717ef1d82d5dd10f61cd3ca5853a0db10c,Feature/add inventory quantity (#100),34,33,False,0.7857142857142857,5,0.7291825821237586,0.1888444211630518,0.022354365223005754,0.4106403259280297,0.20588235294117646,8,0.794118,0.205882,0,14,0,20,34,1,33,0,0,0,19,22,4,0.558824,0.647059
fivetran__dbt_shopify,2025-05-28T08:29:26,7dcfcb97e171b7d3c24270ab2cb98c187cfe9424,"Add media discount models, deprecate product image and price rule (#104)",34,34,False,0.7142857142857143,4,0.7171945701357466,0.14261753918437922,0.016880960002930597,0.8773245040086385,0.20588235294117646,7,0.823529,0.176471,0,15,0,19,34,1,34,0,0,0,18,23,4,0.529412,0.676471
fivetran__dbt_shopify,2025-07-23T15:21:40,d83094f4764a670247e2e7e555b2179c6a4c0201,bugfix/discount-code-test-update (#108),34,34,False,0.7142857142857143,4,0.7171945701357466,0.14261753918437922,0.016880960002930597,0.8773245308214176,0.20588235294117646,7,0.823529,0.176471,0,15,0,19,34,1,34,0,0,0,18,22,4,0.529412,0.647059
fivetran__dbt_shopify,2025-08-20T13:27:52,927fc4c0cc86cb18e624cb8b2cad8e918ede16c1,bugfix/inventory_levels_product_variant_media_join (#119),76,83,False,0.6428571428571429,7,0.679113323850166,0.05403408468178977,0.004439853253060709,0.6972497053240321,0.2631578947368421,13,0.842105,0.157895,0,39,0,37,76,1,83,0,0,0,36,17,7,0.473684,0.223684
fivetran__dbt_shopify,2025-09-23T21:06:24,77748fc9edb2184a31e30f4bff490ce982af3ea8,Consolidate source (#123),254,299,False,0.8571428571428571,11,0.5365986509750797,0.014516338538315365,0.0010181718174178218,0.8264008609012731,0.2677165354330709,23,0.874016,0.047244,178,39,0,37,254,1,299,0,0,0,125,92,11,0.492126,0.362205
fivetran__dbt_shopify,2025-10-23T16:19:34,392b89952ed3504e4f35b434b493b9f84f02dfa3,Enable and incorporate metafields by default (#132),254,310,False,0.8571428571428571,12,0.5185952579333329,0.0139373080262641,0.0009161032818537091,0.8326341419080502,0.2677165354330709,12,0.917323,0.003937,178,39,0,37,254,1,288,22,32,0,125,92,11,0.492126,0.362205
fivetran__dbt_shopify,2025-11-24T15:22:11,67faaaf613132a2022c9cf1c748187770c3214c4,Bug/discounts unique key (#135),254,310,False,0.8571428571428571,12,0.5185952579333329,0.0139373080262641,0.0009161032818537091,0.8326343643534939,0.2677165354330709,12,0.917323,0.003937,178,39,0,37,254,1,288,22,32,0,125,92,11,0.492126,0.362205
fivetran__dbt_shopify,2025-12-09T16:37:26,85f4adc05ec3f83b78c50c716a49d0356cb7b7ee,Incorporate New GQL Table Names (#137),254,310,False,0.8571428571428571,12,0.5185952579333329,0.0139373080262641,0.0009161032818537091,0.8326357965108706,0.2677165354330709,12,0.917323,0.003937,178,39,0,37,254,1,288,22,32,0,125,92,11,0.492126,0.362205
