project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
fivetran__dbt_snapchat_ads_source,2021-04-28T10:20:54,8cc8336d3f6d412e191783df130d25a2b18e036b,docs on docs on docs on docs,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1
fivetran__dbt_snapchat_ads_source,2021-05-03T17:47:24,fedc81dac3e41750875e96867ba92af6e2733e16,most recent record for url tags,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1
fivetran__dbt_snapchat_ads_source,2021-08-27T16:38:58,b61f9abb4add6c549ba863d693cf8d0b6eef689b,trailing comma,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1
fivetran__dbt_snapchat_ads_source,2021-09-08T14:00:11,4808ad7f95879c9783f5756fb779280b5e505ef2,Update models/stg_snapchat__ad_hourly_report.sql,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1
fivetran__dbt_snapchat_ads_source,2022-03-01T16:14:57,3eaff4f595f38d4fb2acbe9cc782f03906d7f20c,fixes,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1
fivetran__dbt_snapchat_ads_source,2022-07-20T21:35:12,f112c5fa8b71131dfb15a5f5a7afd19df8344dcf,add not null tests,18,9,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,9,0.111111,0.0,18,0,0,0,18,1
fivetran__dbt_snapchat_ads_source,2022-08-23T12:56:06,79e22631ba1a30c3546f7c8e77019fc5d2b76a49,fix,18,9,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,9,0.111111,0.0,18,0,0,0,18,1
fivetran__dbt_snapchat_ads_source,2022-08-26T14:44:11,c8ca77e3af4b3006888d3da94b6305b4c8ed353d,addition before merge updates and corrections,18,9,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,9,0.111111,0.0,18,0,0,0,18,1
fivetran__dbt_snapchat_ads_source,2022-10-13T16:06:44,337a1122195ec9341a5b37320541b59416b91cd5,Updates for dbt-utils to dbt-core cross-db macro migration,18,9,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,9,0.111111,0.0,18,0,0,0,18,1
fivetran__dbt_snapchat_ads_source,2022-10-24T14:00:23,28ebbbdd2d355e343f380fb28c94e84e46cd4373,PR updates,18,9,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,9,0.111111,0.0,18,0,0,0,18,1
fivetran__dbt_snapchat_ads_source,2023-09-05T21:36:54,9dcadf976967a25781c764db25e060b6c538c9dc,updates,18,9,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,9,0.111111,0.0,18,0,0,0,18,1
fivetran__dbt_snapchat_ads_source,2024-10-29T11:37:37,1341fe6569bb99994ee2dd965ccb904cd82b9a09,[Feature] Add conversions (#24),18,9,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,9,0.111111,0.0,18,0,0,0,18,1
fivetran__dbt_snapchat_ads_source,2025-04-30T16:37:34,4483225505409b1106d09aef765bd1b942876194,fix and docs,22,11,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,11,0.090909,0.0,22,0,0,0,22,1
fivetran__dbt_snapchat_ads_source,2025-06-25T14:36:42,91b2eeab782fe4922f9fc4c792074e69c28cff36,Update freshness config (#28),22,11,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,11,0.090909,0.0,22,0,0,0,22,1
