project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
fivetran__dbt_zendesk,2020-08-20T10:07:57,bb233f49f7fa76b42b095f0cd4da2dd4f610d37b,updates,27,34,False,0.6428571428571429,5,0.5344952795933188,0.11283126988918055,0.01546085254562654,0.7042503306295987,0.3333333333333333,2,0.814815,0.0,0,2,0,25,27,1
fivetran__dbt_zendesk,2020-09-14T16:46:25,0b14330184d1995a9cffabf3927622f285ef6ece,initial package release,28,40,False,0.5,4,0.5028344671201814,0.263172102663518,0.025687522311783926,0.39291699586019846,0.5,2,0.821429,0.0,0,3,0,25,28,1
fivetran__dbt_zendesk,2020-12-09T19:53:43,80a2000c03df193532fae561623cc82e9e627147,clean up unnecessary zendesk_field_history_scd.sql file,27,39,False,0.5,4,0.5112325440194293,0.263172102663518,0.025687522311783926,0.3929169688187905,0.5185185185185185,2,0.851852,0.0,0,3,0,24,27,1
fivetran__dbt_zendesk,2021-02-23T11:20:50,303d14f48ffb07e71ca061da29124ed6b50870ca,Kristin review updates,37,51,False,0.8571428571428571,5,0.40565335978180017,0.06367913184084678,0.0056045237836463,0.882469633234091,0.40540540540540543,1,1.0,0.0,0,32,0,5,37,1
fivetran__dbt_zendesk,2021-03-25T08:32:16,db8b1922ee7a7f0da8d9db9a5170e4eeb228e73f,postgres conditional fix,44,73,False,0.5714285714285714,4,0.5186170212765957,0.09960973119182147,0.00866385985119574,0.8185606652852755,0.6818181818181818,1,1.0,0.0,0,38,0,6,44,1
fivetran__dbt_zendesk,2021-04-21T17:55:32,b253b7894df73f1414ef682011484d1d570d3d91,incremental update,44,73,False,0.5714285714285714,4,0.5186170212765957,0.09960973119182147,0.00866385985119574,0.8185606724301543,0.6818181818181818,1,1.0,0.0,0,38,0,6,44,1
fivetran__dbt_zendesk,2021-04-28T09:57:44,1e4d18fecfd403723df5febf72b7a93e880bb38d,bigint add,44,73,False,0.5714285714285714,4,0.5186170212765957,0.09960973119182147,0.00866385985119574,0.8185606732678167,0.6818181818181818,1,1.0,0.0,0,38,0,6,44,1
fivetran__dbt_zendesk,2021-06-15T15:31:46,894f7052f0007681b6577448086374b939ea0a17,Update models/zendesk__ticket_metrics.sql,44,73,False,0.5714285714285714,4,0.5186170212765957,0.09960973119182147,0.00866385985119574,0.8185606723008968,0.6818181818181818,1,1.0,0.0,0,38,0,6,44,1
fivetran__dbt_zendesk,2021-07-22T10:51:11,bae9fc78ed409a45f33743a33db8f119a322e5dc,cleaner case when formatting,44,73,False,0.5714285714285714,4,0.5186170212765957,0.09960973119182147,0.00866385985119574,0.8185606765250814,0.6818181818181818,1,1.0,0.0,0,38,0,6,44,1
fivetran__dbt_zendesk,2021-09-16T14:55:48,c73ff46f636c14ccb34492b66baa5eb89f41e11d,adapted jira code + remove clusters,44,73,False,0.5714285714285714,4,0.5186170212765957,0.09960973119182147,0.00866385985119574,0.8185606710310132,0.6818181818181818,1,1.0,0.0,0,38,0,6,44,1
fivetran__dbt_zendesk,2021-10-20T16:22:26,93842d2a033d497f4a5938dfdb5817beba78b229,minor reply time update,44,73,False,0.5714285714285714,4,0.5186170212765957,0.09960973119182147,0.00866385985119574,0.8185606717757453,0.6818181818181818,1,1.0,0.0,0,38,0,6,44,1
fivetran__dbt_zendesk,2021-11-19T18:02:22,c39ae2ea2950761295bc8e1782121fac02c1444e,test fixes on reply time adjustments,44,73,False,0.5714285714285714,4,0.5186170212765957,0.09960973119182147,0.00866385985119574,0.8185606745038014,0.6818181818181818,1,1.0,0.0,0,38,0,6,44,1
fivetran__dbt_zendesk,2021-12-15T09:25:09,f23463e05cea5783470fe7ebe7f55047b77c5cea,keep conditional,44,73,False,0.5714285714285714,4,0.5186170212765957,0.09960973119182147,0.00866385985119574,0.8185606666874854,0.6818181818181818,1,1.0,0.0,0,38,0,6,44,1
fivetran__dbt_zendesk,2022-01-19T11:34:50,236ec16baa55b000511081812b7bdfd5a31e2549,spine,45,73,False,0.5714285714285714,4,0.5293144208037825,0.09960973119182147,0.00866385985119574,0.8185606753943202,0.6666666666666666,2,0.977778,0.022222,0,39,0,6,45,1
fivetran__dbt_zendesk,2022-02-16T14:08:09,5783be5a98490d19e485c03938fca1b82aa7b8a5,Merge pull request #64 from fivetran/timezone-tables,45,80,False,0.5,4,0.5176996091568956,0.09899215032390354,0.008508923356511329,0.8222894197484664,0.8,1,1.0,0.0,0,39,0,6,45,1
fivetran__dbt_zendesk,2022-03-01T10:40:56,28188f2deedbd1cc000f679d137c908ab4faec2a,bugfix/sla_duplicates,45,80,False,0.5,4,0.5176996091568956,0.09899215032390354,0.008508923356511329,0.8222894119841347,0.8,1,1.0,0.0,0,39,0,6,45,1
fivetran__dbt_zendesk,2022-03-28T10:50:40,d2117741250597c8744dba733d92343d06ed24ba,adjusted group by for field removal,45,80,False,0.5,4,0.5176996091568956,0.09899215032390354,0.008508923356511329,0.8222894202435143,0.8,1,1.0,0.0,0,39,0,6,45,1
