project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
gseda19__grasya-snowflake,2024-05-15T23:59:47,3aa21c87e258b6a5026bcdbd8832564e162be5f7,select 6 as id,3,1,True,,,,,,,,2,0.666667,0.333333,0,0,0,3,3,1,1,0,0,0,2,2,1,0.666667,0.666667
gseda19__grasya-snowflake,2024-06-21T00:35:10,39d4873d56e8fc19c5e078cb287f3dd3c0555b05,3 as new_number,4,2,True,,,,,,,,2,0.75,0.25,0,0,0,4,4,1,2,0,0,0,2,2,1,0.5,0.5
gseda19__grasya-snowflake,2024-07-22T00:11:32,5f8f9f95db6265abd10215497abf6443cfa98cc5,try,4,2,True,,,,,,,,2,0.75,0.25,0,0,0,4,4,1,2,0,0,0,2,2,2,0.5,0.5
gseda19__grasya-snowflake,2024-08-19T23:22:26,0bda758836f33022829dd925f3c94bf31c312124,added test fail,7,2,False,0.8571428571428571,1,0.8571428571428571,1.0,0.3333333333333333,0.0,0.0,5,0.428571,0.571429,0,0,0,7,7,1,2,0,0,0,2,2,4,0.285714,0.285714
gseda19__grasya-snowflake,2024-09-03T01:56:28,aecc8e45a5ae554e87795838abbeb98adfa422ce,added tests,7,2,False,0.8571428571428571,1,0.8571428571428571,1.0,0.3333333333333333,0.0,0.0,5,0.428571,0.571429,0,0,0,7,7,1,2,0,0,0,2,2,4,0.285714,0.285714
gseda19__grasya-snowflake,2024-10-17T06:40:12,c1cd8631b38398c058c0d5665f5069b3fca98f6d,commit,6,1,False,0.9285714285714286,1,0.8333333333333334,2.0,1.0,0.0,0.0,5,0.333333,0.666667,0,0,0,6,6,1,1,0,0,0,2,1,1,0.333333,0.166667
gseda19__grasya-snowflake,2024-11-11T02:21:15,88a6cf6375266b027a1bc0e9068d20488568dc81,select 4 as id,8,3,False,0.7857142857142857,1,0.875,1.0,0.25,0.12295168929614587,0.0,5,0.5,0.5,0,0,0,8,8,1,3,0,0,0,2,1,1,0.25,0.125
gseda19__grasya-snowflake,2024-12-11T02:37:42,d8bcfb8e64f3496f2f56dd637b4fdc4f73d775ef,added linting_test,9,4,False,0.7857142857142857,1,0.8888888888888888,1.0,0.2,0.1421528976987574,0.0,5,0.555556,0.444444,0,0,0,9,9,1,4,0,0,0,2,1,1,0.222222,0.111111
gseda19__grasya-snowflake,2025-02-11T03:26:13,2b0b77a7822b60b66d7b50710d40455b17270be7,sfs,10,0,False,,,0.0,0.0,0.0,0.0,0.0,10,0.1,1.0,0,0,0,10,10,1,0,0,0,0,0,0,3,0.0,0.0
gseda19__grasya-snowflake,2025-02-27T08:29:07,af50ecb8d3fecdffb1db893b43a11e8af56b1b18,seed,10,0,False,,,0.0,0.0,0.0,0.0,0.0,10,0.1,1.0,0,0,0,10,10,1,0,0,0,0,1,0,2,0.1,0.0
