project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
medic__cht-pipeline,2021-10-01T17:07:04,47d5abedf288641d4ca07cfdb474f469ee6522c9,Initial,2,1,True,,,,,,,,1,1.0,0.0,0,0,0,2,2,1
medic__cht-pipeline,2021-11-30T04:34:54,08ed2329270ec20dc728d55ef9c12a99c4672628,Adding contact view indexes,5,4,False,0.7857142857142857,2,0.72,0.5188056959079843,0.12441125563507043,0.19142259864980643,0.0,1,1.0,0.0,0,0,0,5,5,1
medic__cht-pipeline,2021-12-08T08:35:55,c8580c742b907769da8d71c1dd5d49c44bb5b2d8,Separating out sync elements,5,4,False,0.7857142857142857,2,0.72,0.5188056959079843,0.12441125563507043,0.19142259864980404,0.0,1,1.0,0.0,0,0,0,5,5,1
medic__cht-pipeline,2023-06-29T13:18:04,ce57c1446ac9f412c749398b2cdcbcc443b4b3fa,Add default models,9,8,False,0.7142857142857143,2,0.8641975308641975,0.4427980834572255,0.05518280386764968,0.6384666365373544,0.0,1,1.0,0.0,0,0,0,9,9,1
medic__cht-pipeline,2023-09-05T17:44:05,e30e6510b592f7c7aec25207e3a7f214d6003213,21 add dbt unit test (#22),9,8,False,0.7142857142857143,2,0.8641975308641975,0.4427980834572255,0.05518280386764968,0.6384666365373559,0.0,1,1.0,0.0,0,0,0,9,9,1
medic__cht-pipeline,2023-11-28T13:40:30,cea7cfd5bf85cd8965609121c3fb731dcc6a3963,(chore #34) Check unit test coverage (#51),9,8,False,0.7142857142857143,2,0.8641975308641975,0.4427980834572255,0.05518280386764968,0.638466636537349,0.0,1,1.0,0.0,0,0,0,9,9,1
medic__cht-pipeline,2024-02-26T15:17:45,3dfa8e710ae45531f999788f17124a78d69d46d0,feat(#72): Replace hardcoded values with env variables (#73),9,8,False,0.7142857142857143,2,0.8641975308641975,0.4427980834572255,0.05518280386764968,0.638466636537347,0.0,1,1.0,0.0,0,0,0,9,9,1
medic__cht-pipeline,2024-07-04T13:16:36,8ceb55118ecfe2ae95ec05d9a070cf74359844ac,base models (#97),6,3,False,0.8571428571428571,2,0.75,0.5857864376269052,0.17157287525381,0.08333333333318767,0.0,3,0.666667,0.333333,0,0,0,6,6,1
medic__cht-pipeline,2024-08-01T12:15:07,b2c3ac57ec9e49e5a950daf41b89d6a28f4fbb4b,141 handle contact and data record deletes with root (#143),8,6,False,0.6428571428571429,3,0.75,0.3217196499578081,0.06950613264533423,0.2587253371694912,0.0,2,0.875,0.125,0,0,0,8,8,1
medic__cht-pipeline,2024-09-06T15:41:53,ecf4487337b8380ada75fa404875bd6860cdfebc,feat(#144): add macros to reduce boilerplate (#155),9,9,False,0.6428571428571429,3,0.6962962962962963,0.3361135341817681,0.06295499941491478,0.3360905996746722,0.2222222222222222,2,0.888889,0.111111,0,0,0,9,9,1
medic__cht-pipeline,2024-09-26T16:23:21,76a0ddfd5c213a7664647925a9ec9710d3663c0a,feat: remove date_of_birth column from person model,9,9,False,0.6428571428571429,3,0.6962962962962963,0.3361135341817681,0.06295499941491478,0.3360905857633152,0.2222222222222222,2,0.888889,0.111111,0,0,0,9,9,1
medic__cht-pipeline,2024-12-06T16:04:14,c5b82855c24cd85b90af2b910d456b04650c4f49,feat: add users meta base models (#181),12,12,False,0.7142857142857143,3,0.7675438596491229,0.2309714618419918,0.03626642232673976,0.3898980345391099,0.16666666666666666,2,0.916667,0.083333,0,0,0,12,12,1
medic__cht-pipeline,2025-03-28T12:46:29,d2067b6a6d64f7a2b970ce89f9a01599307d99b2,"feat(#190): version 2: add multi-db, batching and tags (#192)",12,12,False,0.7142857142857143,3,0.7675438596491229,0.2309714618419918,0.03626642232673976,0.38989796021278067,0.16666666666666666,2,0.916667,0.083333,0,0,0,12,12,1
medic__cht-pipeline,2026-06-16T14:24:35,c3ab509089f16005949ab473c70a1313d837b434,Add inactive and deletion_date fields to user-settings documents (#196),12,12,False,0.7142857142857143,3,0.7675438596491229,0.2309714618419918,0.03626642232673976,0.38989802329025347,0.16666666666666666,2,0.916667,0.083333,0,0,0,12,12,1
