project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
prefeitura-rio__pipelines_rj_civitas,2024-06-25T18:00:24,2c5471ed80226295685bf138c4edb59db5bc35b3,first commit,2,1,True,,,,,,,,1,1.0,0.0,0,0,0,2,2,1
prefeitura-rio__pipelines_rj_civitas,2024-08-22T18:50:53,5579200d76219eb4a087c4363378ffb9046ff8bd,fix: removing order by,10,4,False,0.8571428571428571,1,0.6,1.0,0.3333333333333333,0.0,0.0,6,0.3,0.4,4,0,0,6,10,1
prefeitura-rio__pipelines_rj_civitas,2024-09-23T14:04:56,9f84aa1c595d734a300c93c4746a8276da931cca,docs: update table columns docs,11,2,False,0.8571428571428571,1,0.8181818181818182,1.0,0.3333333333333333,0.0,0.0,9,0.272727,0.727273,2,0,0,9,11,1
prefeitura-rio__pipelines_rj_civitas,2024-10-03T11:20:33,5069ab3ac0ef1d45323e7867e58b7c5d3e055309,refactor: converting data_report from gtm-3 to UTC.,14,2,False,0.8571428571428571,1,0.8571428571428571,1.0,0.3333333333333333,0.0,0.0,12,0.214286,0.785714,2,0,0,12,14,1
prefeitura-rio__pipelines_rj_civitas,2024-11-13T22:36:02,24fd7c4f7af335b27bedabc7e932de2c0a1baedd,"feat: add ""state"" column to tables telegram_georreferenciado and twitter_georreferenciado",21,3,False,0.8571428571428571,1,0.8571428571428571,1.0,0.3333333333333333,0.0,0.0,18,0.142857,0.761905,2,0,0,19,21,1
prefeitura-rio__pipelines_rj_civitas,2024-12-03T13:20:18,919d53b62381422145bd8e6c4e92843e26753c3b,refactor: Set coordinates as NULL if locality is 'Rio de Janeiro'.,21,3,False,0.8571428571428571,1,0.8571428571428571,1.0,0.3333333333333333,0.0,0.0,18,0.142857,0.761905,2,0,0,19,21,1
prefeitura-rio__pipelines_rj_civitas,2025-01-06T12:23:19,7c37350c2a5db55e5220cd81018c53bcd2b82170,fix: adjust query wildcard to fetch data from all years,21,3,False,0.8571428571428571,1,0.8571428571428571,1.0,0.3333333333333333,0.0,0.0,18,0.142857,0.761905,2,0,0,19,21,1
prefeitura-rio__pipelines_rj_civitas,2025-05-14T19:55:28,d390633cd2930579dcc14c52b66ef1bc5f42a2fb,"Revert ""refactor: change materialization and updated_at column""",22,3,False,0.8571428571428571,1,0.8636363636363636,1.0,0.3333333333333333,0.0,0.0,19,0.136364,0.772727,2,0,0,20,22,1
prefeitura-rio__pipelines_rj_civitas,2025-05-25T17:59:53,6731345742f5879e96e1acd5bd48a0ddc046fdf8,fix: temporary fix. revert when implement weaviate update,22,3,False,0.8571428571428571,1,0.8636363636363636,1.0,0.3333333333333333,0.0,0.0,19,0.136364,0.772727,2,0,0,20,22,1
prefeitura-rio__pipelines_rj_civitas,2025-07-09T20:16:14,a7251341202a4d24e6af7fe72c3bb1da86bbfd84,refactor!(queries): replace camera_numero with codcet and migrate to incremental materialization,22,4,False,0.8571428571428571,1,0.8181818181818182,1.0,0.3333333333333333,0.0,0.0,18,0.136364,0.681818,2,0,0,20,22,1
prefeitura-rio__pipelines_rj_civitas,2025-09-13T18:07:09,eca2aeedbe1c329a0ab8ce72a17c1c32b929bdf7,feat: add codcet camera numero mapping table with tests and docs,26,19,False,0.7857142857142857,4,0.6071428571428571,0.17779142837460438,0.028672644251133785,0.5814549483605028,0.0,7,0.461538,0.153846,2,0,0,24,26,1
prefeitura-rio__pipelines_rj_civitas,2026-01-12T17:16:29,d1aad7297eb1f82e71c28f913189d002aa9c660e,refactor(dbt): change equipamento_codcet source to stg_cerco_digital,26,19,False,0.7857142857142857,4,0.6071428571428571,0.17779142837460438,0.028672644251133785,0.5814549483591093,0.0,7,0.461538,0.153846,2,0,0,24,26,1
prefeitura-rio__pipelines_rj_civitas,2026-05-14T18:16:58,e92998e0cbfef66ec338b25517fe2622da3b66cc,refactor: add civitas streaming url,37,36,False,0.7142857142857143,4,0.6366366366366366,0.22580430859341452,0.02776869150787557,0.4248144340589995,0.16216216216216217,7,0.513514,0.108108,2,0,0,35,37,1
prefeitura-rio__pipelines_rj_civitas,2026-06-01T20:01:54,879c8578d361c59eda49e504060f985610d0c2a1,fix: update equipamento model to use {{ ref('lpr_cameras') }} instead of hardcoded rj-civitas-dev.lpr.cameras,37,37,False,0.6428571428571429,4,0.6199110502907971,0.2084149113421524,0.02561708450866343,0.42451394214618454,0.16216216216216217,6,0.540541,0.081081,2,0,0,35,37,1
prefeitura-rio__pipelines_rj_civitas,2026-07-15T15:19:08,b438f1eb49ae03d9402c45576ef9597bf33d0328,fix: filter registers without tags from palver and create schema with tests for reports,43,41,False,0.7142857142857143,4,0.63471355643789,0.20841491134215226,0.02561708450866342,0.42451400783182636,0.13953488372093023,8,0.465116,0.116279,2,0,0,41,43,1
prefeitura-rio__pipelines_rj_civitas,2026-07-27T10:16:02,8139166c917d2f97d91f536d3e21acfa2960531c,fix: jinja sintax spaces,44,42,False,0.7142857142857143,4,0.6259358288770054,0.20834224633632822,0.025603635524101127,0.41038358732159097,0.13636363636363635,8,0.477273,0.113636,2,0,0,42,44,1
