project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
prefeitura-rio__pipelines_rj_smtr,2023-12-13T17:39:45,d48614dc80267cf288a295f42026a377c01c4821,fix subsidio schema,120,149,False,0.7142857142857143,7,0.5921827565270188,0.01921357063948602,0.0015777606878836974,0.7791514639331588,0.4,19,0.591667,0.116667,14,0,1,105,120,1,149,0,0,5,57,13,12,0.475,0.108333
prefeitura-rio__pipelines_rj_smtr,2024-03-15T16:32:48,f79d4a578c17288200e8497e023d9d75860f0697,alterar dataset dicionario,19,6,False,0.6428571428571429,3,0.7819548872180451,0.260322690258353,0.06006244712578657,0.2683129900267705,0.0,13,0.368421,0.631579,16,0,0,3,19,1,4,2,4,0,0,0,1,0.0,0.0
prefeitura-rio__pipelines_rj_smtr,2024-06-19T15:54:20,fe6f8b3b4244b532af1cf069669f5d8b9fc5d4f4,HOTFIX - Remove filtro de gratuidade da tabela transacao (#69),187,262,False,0.8571428571428571,10,0.6336722616531838,0.011940468251120412,0.0006964713116296975,0.8237706016880078,0.47058823529411764,13,0.86631,0.016043,36,0,1,150,187,1,250,12,21,12,111,13,22,0.593583,0.069519
prefeitura-rio__pipelines_rj_smtr,2024-07-18T10:51:37,0358a8610e8364c87a8710cbf08dfae86ba01d68,Adiciona transações de Van na tabela passageiros_hora (#110),204,288,False,0.8571428571428571,10,0.6384637350085666,0.011737193560423303,0.0007231346325022261,0.9002429663882138,0.4950980392156863,17,0.857843,0.034314,50,0,1,153,204,1,277,11,19,15,152,13,27,0.745098,0.063725
prefeitura-rio__pipelines_rj_smtr,2024-08-13T18:06:00,fea62255916394d9b4ea35f3a814a38418ccccf9,Adicionado filtro para remover viagens do serviço SE001 da apuração do subsídio (#144),209,298,False,0.8571428571428571,10,0.6423735687767136,0.012288109962987709,0.0007571784859238008,0.9387066787986847,0.5119617224880383,18,0.851675,0.033493,51,0,1,157,209,1,285,13,21,15,155,13,29,0.741627,0.062201
prefeitura-rio__pipelines_rj_smtr,2024-09-17T19:34:52,e0cfb90b56a5af2fdf409151bc2d77cafd0c72b1,corrige tratamento de viagens (#234),224,337,False,0.7857142857142857,10,0.6629606687172477,0.014380873663969349,0.0008307619322647276,0.945137566074257,0.5982142857142857,21,0.84375,0.040179,55,0,1,168,224,1,321,16,24,16,165,13,34,0.736607,0.058036
prefeitura-rio__pipelines_rj_smtr,2024-10-17T11:47:45,9dc7041c74a8cc525a59da872a48d2691c79b764,remove a coluna sentido de sumario_servico_dia_tipo (#275),226,336,False,0.7142857142857143,8,0.6660163970256558,0.014378318533456188,0.0008301679047831403,0.9452825176208619,0.584070796460177,22,0.836283,0.039823,56,0,1,169,226,1,319,17,26,19,166,13,34,0.734513,0.057522
prefeitura-rio__pipelines_rj_smtr,2024-11-14T13:58:50,e433d0b7f8ac611f8c694309550b666c17258be5,[HOTFIX] Corrige referência nas colunas do modelo `calendario` (#328),236,355,False,0.7142857142857143,10,0.6667127697027612,0.022525270738159364,0.0011738197820025055,0.8857397123877327,0.597457627118644,22,0.84322,0.038136,61,0,1,174,236,1,332,23,33,20,170,11,37,0.720339,0.04661
prefeitura-rio__pipelines_rj_smtr,2024-12-16T17:56:12,bfdc2497ddb37406d67ca96fa97cb2c90148696e,Desativa temporariamente o modelo `viagem_planejada_planejamento` (#364),243,374,False,0.7857142857142857,9,0.6544319792360364,0.02824082471839899,0.0014654606226185576,0.8100949084753551,0.6296296296296297,22,0.847737,0.037037,67,0,1,175,243,1,346,28,39,19,172,15,37,0.707819,0.061728
prefeitura-rio__pipelines_rj_smtr,2025-01-13T09:29:59,e7fed7b013fced26a435914fc66cc25360123e44,corrige deduplicação (#385),248,379,False,0.6428571428571429,9,0.6608980295313063,0.0291836789035818,0.0015143190599004191,0.7896495135675035,0.6209677419354839,23,0.846774,0.040323,67,0,1,180,248,1,350,29,40,18,176,24,38,0.709677,0.096774
prefeitura-rio__pipelines_rj_smtr,2025-02-14T14:11:51,f64c2a768eaf602cff9d4c29b12b6fac7090fb4a,corrige virgula entre campos (#432),262,406,False,0.7142857142857143,10,0.6652090260541064,0.029005024841326704,0.0015048319864511218,0.8068886284623924,0.6374045801526718,23,0.854962,0.038168,74,0,1,187,262,1,375,31,41,20,179,27,40,0.683206,0.103053
prefeitura-rio__pipelines_rj_smtr,2025-03-13T19:14:03,8df1c1ed90ca455f583843a2c76b8f41983a677a,Financeiro - Adiciona testes do DBT na tabela de ordem de pagamento (#474),263,407,False,0.8571428571428571,9,0.6667581706217791,0.028913450753372965,0.001500080930529158,0.8037219015155652,0.6349809885931559,23,0.855513,0.038023,75,0,1,187,263,1,376,31,41,20,179,32,40,0.680608,0.121673
prefeitura-rio__pipelines_rj_smtr,2025-04-10T16:54:15,43b43fa561a2ae17398e297665179228b77f64aa,[HOTFIX] Altera coluna no modelo autuacao (#538),279,444,False,0.6428571428571429,9,0.6584477303382118,0.029379150417103674,0.0015111783890928464,0.7892653828316598,0.6738351254480287,23,0.853047,0.032258,85,0,1,193,279,1,409,35,45,20,187,32,41,0.670251,0.114695
prefeitura-rio__pipelines_rj_smtr,2025-05-14T12:09:42,d349769b0baa95c568e15e5e7172f14bf2a1aeeb,Remove o valor da penalidade da coluna valor_judicial (#580),282,443,False,0.8571428571428571,9,0.663554681782497,0.029321693989262643,0.001512035454340151,0.7872554566809571,0.6595744680851063,25,0.847518,0.039007,86,0,1,195,282,1,408,35,45,20,188,34,41,0.666667,0.120567
prefeitura-rio__pipelines_rj_smtr,2025-06-11T16:28:23,70ea3e327bf97de86d1ca8ee6dcea82672b36d17,Altera ordem_servico_diaria (#620),296,466,False,0.7857142857142857,10,0.6729218323828415,0.027589445424355884,0.001410972153093899,0.8200905205023052,0.6655405405405406,27,0.844595,0.040541,96,0,1,199,296,1,424,42,54,20,194,37,42,0.655405,0.125
prefeitura-rio__pipelines_rj_smtr,2025-07-11T14:31:56,fbb32ca623bf21a157f4ec65f418c508fe7ace94,[HOTFIX] Teste dbt_utils.relationships_where__id_auto_infracao__autuacao_disciplinar_historico (#693),313,500,False,0.9285714285714286,10,0.650117514223317,0.02745530511844521,0.0011813802014094606,0.8136643397376108,0.6837060702875399,27,0.853035,0.038339,104,0,1,208,313,1,456,44,57,14,200,42,42,0.638978,0.134185
prefeitura-rio__pipelines_rj_smtr,2025-08-13T14:40:07,04706f3205491289d31517752f74f66c1dadb9dc,Merge branch 'main' into staging/testes-bilhetagem,360,585,False,0.7857142857142857,11,0.6362920174338766,0.02678547538812243,0.001063221764558557,0.8495324940167643,0.7027777777777777,28,0.866667,0.033333,132,0,1,227,360,1,534,51,66,13,212,56,45,0.588889,0.155556
prefeitura-rio__pipelines_rj_smtr,2025-09-12T16:23:30,69c392570d024f9c46cd1cf532674a12e515b54e,Bilhetagem - Correções nos modelos de cliente por CPF (#871),370,601,False,0.7142857142857143,12,0.646270706190061,0.026356380135775525,0.0009702783339319975,0.8345644698390202,0.6972972972972973,27,0.872973,0.02973,137,0,1,232,370,1,540,61,79,13,220,58,46,0.594595,0.156757
prefeitura-rio__pipelines_rj_smtr,2025-10-10T10:12:40,82f574d063f6fbbe8b5c40356efd5da684c9bcb2,Adiciona BRT ESP na regra de modo do modelo (#937),395,630,False,0.5714285714285714,11,0.6509017805386428,0.026033445785665552,0.0009236210316985995,0.8140089299408183,0.6911392405063291,38,0.855696,0.058228,156,0,1,238,395,1,563,67,85,12,228,58,48,0.577215,0.146835
prefeitura-rio__pipelines_rj_smtr,2025-11-11T20:28:12,7189b68e2887cf5ab82462462dc719cfdb552d4f,Mudança de regra de vistoria ao trocar placa do veículo (#1048),430,667,False,0.6428571428571429,11,0.6748265637838031,0.021174316238630225,0.0007257402018664842,0.9001100407481433,0.6697674418604651,51,0.816279,0.076744,159,0,1,270,430,1,597,70,88,12,258,62,56,0.6,0.144186
prefeitura-rio__pipelines_rj_smtr,2025-12-11T21:05:08,560b1ac31c756fd23f4af60de8dfa157c6f6fa02,Indicador Euro VI (#983),441,686,False,0.8571428571428571,10,0.6755605430238781,0.028995435677586907,0.000993805121409999,0.757578083098856,0.6802721088435374,55,0.811791,0.0839,162,0,1,278,441,1,616,70,88,12,268,63,59,0.60771,0.142857
prefeitura-rio__pipelines_rj_smtr,2026-01-08T15:57:27,2d89e11b2f3b196da3a20ccec3c6fb8627cd3103,[HOT-FIX] Corrige o case when da trips_filtrada_aux_gtfs (#1163),443,691,False,0.7142857142857143,12,0.6749054625437211,0.02903256367514242,0.0009950775201779598,0.7614106243033578,0.6839729119638827,55,0.812641,0.083521,163,0,1,279,443,1,620,71,89,12,270,65,60,0.609481,0.146727
prefeitura-rio__pipelines_rj_smtr,2026-02-09T15:38:59,8df7635a5781e2e43ecc1920667b18f29516caa0,Altera tipo de dia para LECD 126 considerando o ponto facultativo como sábado (#1217),446,698,False,0.9285714285714286,13,0.6748594205993309,0.029134926779370414,0.0009984584538267653,0.7770722019189295,0.6883408071748879,55,0.813901,0.08296,165,0,1,280,446,1,626,72,90,12,271,66,60,0.607623,0.147982
prefeitura-rio__pipelines_rj_smtr,2026-03-10T18:44:35,5d6ba3193f5d93ba8aa3bb4277ef03ccaac50665,Atualiza modelo `viagens_remuneradas` devido a excepcionalidade acima do limite em fev q2 (#1314),447,700,False,0.7142857142857143,10,0.6746465157146294,0.02912885747181532,0.0009982506021261352,0.772886190941139,0.6890380313199105,55,0.814318,0.082774,165,0,1,281,447,1,628,72,90,12,271,66,60,0.606264,0.147651
prefeitura-rio__pipelines_rj_smtr,2026-04-10T17:44:15,0ad85cce2b442021820e180837e6193531862435,Adiciona exceção ao modelo `subsidio_penalidade_servico_faixa_v2` (#1390),447,701,False,0.7857142857142857,11,0.6734806035237606,0.029131494606269723,0.0009982481880743568,0.7731248078173792,0.6912751677852349,55,0.814318,0.082774,165,0,1,281,447,1,629,72,90,12,271,66,60,0.606264,0.147651
