project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
re-data__dbt-re-data,2021-06-08T12:06:56,7010bbf49660a2a93ddbb5fdf293700e9938f230,Updates to naming of models in the package,18,9,False,0.6428571428571429,2,0.7433862433862434,0.5139605971027527,0.0967247054674911,0.25414972085030174,0.1111111111111111,11,0.388889,0.5,0,2,0,16,18,1
re-data__dbt-re-data,2021-07-03T14:15:41,fb83c7a492db6e721eb7ac43823fb4a5039c195c,Fix typo,18,7,False,0.7857142857142857,1,0.7222222222222222,1.0,0.25000000000000006,0.10771234916105618,0.05555555555555555,12,0.222222,0.5,0,2,0,16,18,1
re-data__dbt-re-data,2021-07-29T06:33:38,5ec571bcae401354d89f8e57a083274e6fc4f120,Update union type,20,10,False,0.7142857142857143,2,0.75,0.8299135133739661,0.18519918063274524,0.25426695446259606,0.1,12,0.25,0.45,0,2,0,18,20,1
re-data__dbt-re-data,2021-09-05T11:53:03,6cd64bbcdd03de7fb3a12183b1350535b11f30ba,new logic and code,29,21,False,0.7857142857142857,3,0.6153846153846154,0.6377274937551463,0.048963608484239814,0.5572279766032635,0.13793103448275862,12,0.517241,0.344828,9,0,0,20,29,1
re-data__dbt-re-data,2021-10-01T11:22:38,904e21fb09198cbad697f48a030bb3c13512579d,Add possibly to specify columns for which to compute metrics,32,22,False,0.7857142857142857,3,0.5969551282051282,0.6284991385129785,0.044826852709392205,0.5964296636831308,0.125,14,0.5,0.375,9,0,0,23,32,1
re-data__dbt-re-data,2021-10-21T11:13:22,ffe832c175557b1af1ed0d127302d8e353ff9700,"ensure docs can be generated for every change, serving as a type of test (#31)",31,20,False,0.7857142857142857,2,0.6021505376344086,0.5928890429442846,0.04552131637287409,0.6201941915114434,0.0967741935483871,14,0.483871,0.387097,9,0,0,22,31,1
re-data__dbt-re-data,2021-12-20T07:42:55,d3fa56d1982d5a371841d0cfb02f915d9e06d418,All frontend changes required for frontend (#42),20,20,False,0.7857142857142857,2,0.38333333333333336,0.5928890429442838,0.04552131637287404,0.6201941914586971,0.15,3,0.75,0.05,9,0,0,11,20,1
re-data__dbt-re-data,2022-01-31T22:23:39,a66e9931457ae2ea4f9f9d36518e7b52c32b7068,Feature/dbt config support (#54),21,23,False,0.6428571428571429,3,0.3830227743271222,0.08645937908278958,0.00663822317563911,0.7522738303425867,0.19047619047619047,2,0.952381,0.047619,9,0,0,12,21,1
re-data__dbt-re-data,2022-03-23T12:16:27,cf39124e5d8bf3dcfaee5c586a11211cbc5216ac,fix bug in schema changes (#66),21,25,False,0.5,3,0.3951367781155015,0.16748865881030206,0.012835753560938726,0.7215474700212182,0.2857142857142857,2,0.952381,0.047619,9,0,0,12,21,1
re-data__dbt-re-data,2022-04-13T18:53:04,8ec3e39f734d94bdde66d59cc6f4ee2a5976b51e,Feature/better tests support (#68),22,26,False,0.5,3,0.3996212121212121,0.16528189805909896,0.012666624838304795,0.6786612805005213,0.2727272727272727,2,0.954545,0.045455,9,0,0,13,22,1
re-data__dbt-re-data,2022-05-18T20:53:43,68ba8e3d0cac38aa6aed5350c527b2471aa49bc5,serialize tables exported to json  (#75),25,28,False,0.5,3,0.4288,0.16528189805909896,0.012666624838304795,0.6786612671110466,0.24,3,0.84,0.04,9,0,0,16,25,1
re-data__dbt-re-data,2022-06-06T10:07:51,4232f0e109c6b23e4ce0539a2428c8a720550382,implement selecting subset of tables (#77),26,34,False,0.6428571428571429,3,0.4530956848030019,0.4216199852313417,0.026275962154771692,0.6028261604968546,0.4230769230769231,3,0.846154,0.038462,9,0,0,17,26,1
re-data__dbt-re-data,2022-07-26T20:57:46,95e9a388f312507b5473b71993f371d411b8e91e,Fix varchar problem in snowflake,26,34,False,0.6428571428571429,3,0.4530956848030019,0.4216199852313417,0.026275962154771692,0.6028263536894725,0.4230769230769231,3,0.846154,0.038462,9,0,0,17,26,1
re-data__dbt-re-data,2022-10-26T14:05:58,90935a9fc045c7df0ae575c380025bf949504f65,Adding ability to install re_data for Greenplum database (#102),26,34,False,0.6428571428571429,3,0.4530956848030019,0.4216199852313417,0.026275962154771692,0.6028261388172074,0.4230769230769231,3,0.846154,0.038462,9,0,0,17,26,1
re-data__dbt-re-data,2023-02-10T17:32:49,d843779082e94da14530a64162646cb5b5366388,Update dbt_utils dependency to v1.0.0 (#108),26,34,False,0.6428571428571429,3,0.4530956848030019,0.4216199852313417,0.026275962154771692,0.6028263477109209,0.4230769230769231,3,0.846154,0.038462,9,0,0,17,26,1
re-data__dbt-re-data,2023-11-23T01:53:39,b3db48bb97d710ab3d5f7b859dd43e6750f55c3a,add re_data_anomalies_filtered as var (#116),26,33,False,0.7142857142857143,4,0.48199672667757776,0.3036220378960318,0.018922224387108205,0.8121294411827367,0.38461538461538464,3,0.846154,0.038462,9,0,0,17,26,1
