project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
thegoodparty__gp-data-platform,2025-03-26T15:57:29,554ec51020a7c312c6d867bcfa6eb838aec50629,fix: filing_period schema on empty incremental loads (#28),15,1,False,0.9285714285714286,1,0.9333333333333333,2.0,1.0,0.0,0.0,14,0.133333,0.866667,14,1,0,0,15,1
thegoodparty__gp-data-platform,2025-04-28T17:59:26,f8c9050770f9020fcca4cf48d88e27a07f5e76a0,"[WEB-4100, WEB-4104] fix: handle position-place by rolling up to parent (#41)",37,27,False,0.5,3,0.7505538325210457,0.5734930533901966,0.06803227008147825,0.43554182241543493,0.2972972972972973,21,0.432432,0.513514,23,11,3,0,37,1
thegoodparty__gp-data-platform,2025-05-24T18:53:16,87cccd23f3bb8a8508f7704e14b71475a71969bf,perf: add `loaded_at` to l2 data sets (#53),243,32,False,0.7142857142857143,4,0.9547325102880658,0.2770363718044711,0.029821674046634668,0.7225714741036997,0.053497942386831275,224,0.078189,0.91358,228,10,5,0,243,1
thegoodparty__gp-data-platform,2025-06-26T15:40:22,a9c9049278b47851a0e2fc193029a323e900ecde,[DT-119] general mart: candidacy v0 (#64),350,38,False,0.7142857142857143,4,0.9604571428571429,0.2770363718044711,0.029821674046634668,0.7225715972142178,0.037142857142857144,325,0.054286,0.92,332,12,6,0,350,1
thegoodparty__gp-data-platform,2025-07-25T10:52:29,1c2481e03e7dd082e820ad85f1b57340ad80d119,[DT-178] use data from gp app when available for candidacy mart (#70),357,50,False,0.7142857142857143,4,0.9496029816885432,0.2770363718044711,0.029821674046634668,0.7225714746136541,0.04201680672268908,322,0.053221,0.893557,332,18,7,0,357,1
thegoodparty__gp-data-platform,2025-08-22T14:40:36,b78890b0267b2157c5e4ce65a6b98fead020e14f,[DT-253] keep 2 years of past election races (#81),370,60,False,0.6428571428571429,5,0.9379108838568299,0.07157848374203443,0.00770371213983834,0.7673486935907867,0.043243243243243246,326,0.07027,0.872973,340,19,11,0,370,1
thegoodparty__gp-data-platform,2025-09-24T14:02:38,edbcce18d72302d6887b4022e4e0d58ba604ed22,[DATA-1196] add Amplitude data to dbt (#100),395,89,False,0.7142857142857143,7,0.9192556728693928,0.018231147277065436,0.0019369821028819361,0.7189090996846735,0.06582278481012659,332,0.159494,0.835443,351,29,15,0,395,1
thegoodparty__gp-data-platform,2025-10-24T14:38:06,b95a89d13986d0a688903b4a738c607ec04dfee3,[DATA-1224] hot fix: use correct candidate_id reference (#115),425,90,False,0.6428571428571429,5,0.9240261437908497,0.018711463001730176,0.001977547838466188,0.6350391432249362,0.06352941176470588,362,0.148235,0.847059,381,28,16,0,425,1
thegoodparty__gp-data-platform,2025-11-19T16:42:13,439b08ab06be315ba54a2a899e841211629447e8,[DATA-1339] add domain and website tables from gp-api db (#125),435,107,False,0.7142857142857143,4,0.9271601961257133,0.04631839779194813,0.003486875439460515,0.7275502367822898,0.09195402298850575,368,0.089655,0.83908,387,26,22,0,435,1
thegoodparty__gp-data-platform,2025-12-23T22:48:31,79b4c0e36609c7e3dde4d6991049c14d7d3e9d58,hotfix: update tcr stg table schema (#145),441,112,False,0.7142857142857143,5,0.9299373902006765,0.05025929715080695,0.003749975430223339,0.8143067649028257,0.09070294784580499,369,0.097506,0.827664,391,25,25,0,441,1
thegoodparty__gp-data-platform,2026-01-22T13:17:01,90474f5789f7d3410b9f7660a86ecb95050f0ce0,DATA-1437: Add ballotready_position_id to campaigns mart (#156),550,118,False,0.7142857142857143,6,0.9418850714502889,0.048711961943848706,0.0036344961104218167,0.8238048519954015,0.07454545454545454,473,0.081818,0.852727,497,27,26,0,550,1
