project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
DamienAzzopardi__databird-ae,2024-11-19T17:17:10,c65a9636a8bf9675865ad3b34f67d47d584a44d0,Updating code,2,1,True,,,,,,,,1,1.0,0.0,1,0,1,0,2,1,1,0,0,0,1,1,2,0.5,0.5
DamienAzzopardi__databird-ae,2025-02-11T17:19:04,b9cf24dc9c0143a5d5d93e46da21b8292743e4e2,adding-spotify-datasets-and-models,18,13,False,0.7857142857142857,4,0.5987654320987654,0.34482279024957707,0.0535198341553932,0.381745509897583,0.05555555555555555,6,0.555556,0.166667,11,4,3,0,18,1,13,0,0,0,9,7,5,0.5,0.388889
DamienAzzopardi__databird-ae,2025-03-03T20:29:02,d2c5aa1931b625f9af5541d8fd96caf3b7d154ad,Adding stg_draw.sql,22,15,False,0.7857142857142857,4,0.6379310344827587,0.3448227902495779,0.053519834155393346,0.38174550414686514,0.045454545454545456,8,0.454545,0.181818,13,5,4,0,22,1,15,0,0,0,14,11,9,0.636364,0.5
DamienAzzopardi__databird-ae,2025-04-15T21:25:29,e9d8f15b6b91c6136c7e54609746ffb2d42af409,Removing stg__listings.sql,22,15,False,0.7857142857142857,4,0.6379310344827587,0.3448227902495779,0.053519834155393346,0.38174550835409515,0.045454545454545456,8,0.454545,0.181818,13,5,4,0,22,1,15,0,0,0,14,11,9,0.636364,0.5
DamienAzzopardi__databird-ae,2025-05-21T19:39:53,5b7d88cb02896244e1237ab765f9790103213f2d,Adding an intermediate step to the Airbnb dbt modeling,23,16,False,0.7857142857142857,4,0.6086956521739131,0.3448227902495779,0.053519834155393346,0.3817456376317843,0.043478260869565216,8,0.434783,0.173913,13,6,4,0,23,1,16,0,0,0,14,11,9,0.608696,0.478261
DamienAzzopardi__databird-ae,2025-07-29T15:31:42,da75bb6146a90dc3190a83fbbcf91d395bbb3b47,Enable SQLFluff and lint Spotify models,23,16,False,0.7857142857142857,4,0.6086956521739131,0.3448227902495779,0.053519834155393346,0.38174563383523014,0.043478260869565216,8,0.434783,0.173913,13,6,4,0,23,1,16,0,0,0,14,11,9,0.608696,0.478261
DamienAzzopardi__databird-ae,2025-09-10T15:52:59,0d835278ad4e46344712b59fc1896d0bde0070cf,Merge branch 'main' of https://github.com/DamienAzzopardi/databird_analytics_engineer into adding-mrt-core-models,24,16,False,0.7857142857142857,4,0.625,0.3448227902495779,0.053519834155393346,0.3817456231184255,0.041666666666666664,9,0.416667,0.208333,13,6,5,0,24,1,16,0,0,0,20,12,15,0.833333,0.5
DamienAzzopardi__databird-ae,2025-09-18T09:55:39,b69377f0d6f57e4c1006317a2a6722b457b158b9,Merge branch 'main' of https://github.com/DamienAzzopardi/databird_analytics_engineer into build-incremental-models,24,16,False,0.7857142857142857,4,0.625,0.3448227902495779,0.053519834155393346,0.3817456343600874,0.041666666666666664,9,0.416667,0.208333,13,6,5,0,24,1,16,0,0,0,20,12,15,0.833333,0.5
DamienAzzopardi__databird-ae,2025-10-28T18:16:49,b1096ee2d275bc741109e0def71f4722a332c4c8,Fix name on dim_calendar,24,16,False,0.7857142857142857,4,0.625,0.3448227902495779,0.053519834155393346,0.3817456365248111,0.041666666666666664,9,0.416667,0.208333,13,6,5,0,24,1,16,0,0,0,21,12,15,0.875,0.5
DamienAzzopardi__databird-ae,2025-12-09T11:41:12,c37cb39067a1689440130e7d107e12585ea8ca97,Updating styling of all Spotify models,24,16,False,0.7857142857142857,4,0.625,0.3448227902495779,0.053519834155393346,0.3817454788042599,0.041666666666666664,9,0.416667,0.208333,13,6,5,0,24,1,16,0,0,0,21,12,15,0.875,0.5
DamienAzzopardi__databird-ae,2026-01-06T15:24:05,b4cabf198c9e6e225773d1a4143d4c1808261b8b,Fix config in mrt_airbnb__listings_neighbourhood,24,16,False,0.7857142857142857,4,0.625,0.3448227902495779,0.053519834155393346,0.38174551264995543,0.041666666666666664,9,0.416667,0.208333,13,6,5,0,24,1,16,0,0,0,21,12,15,0.875,0.5
DamienAzzopardi__databird-ae,2026-02-12T09:02:18,8c4bd99d4554931a9d89108f5566c8637a85edab,fix,21,14,False,0.7857142857142857,4,0.6095238095238096,0.3448227902495779,0.053519834155393346,0.3817455143152214,0.047619047619047616,8,0.47619,0.238095,12,6,3,0,21,1,14,0,0,0,18,11,12,0.857143,0.52381
