project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
Sciance-Inc__core.dashboards_store,2022-09-06T09:57:31,819cf5ad3ce05b628d5522e363fc874b05a6d608,feat: add base_spine table,2,1,True,,,,,,,,1,1.0,0.0,2,0,0,0,2,4,1,0,0,0,0,0,1,0.0,0.0
Sciance-Inc__core.dashboards_store,2022-10-05T12:47:05,5a1b94e9cf8cc5544ca7ffc2fb570330b03d2881,refactor: fix the bug introduced earlier,4,5,True,,,,,,,,1,1.0,0.0,1,0,1,2,4,4,5,0,0,0,1,1,2,0.25,0.25
Sciance-Inc__core.dashboards_store,2022-11-21T12:07:38,bbddb4025edb4ee6054bbfab58fd5ab96bc2d320,Merge branch 'develop' into feature/emp_cong_correction,16,14,False,0.7857142857142857,1,0.40808823529411764,1.0,0.2,0.1343972583396108,0.125,4,0.3125,0.0,2,0,1,13,16,4,14,0,0,0,15,4,9,0.9375,0.25
Sciance-Inc__core.dashboards_store,2022-12-20T19:39:02,277ad07a2ea2c4ffabba54dc1b5eede52a1c4791,Merged PR 253: transport_scoler_geobus,35,31,False,0.7142857142857143,2,0.5467787114845938,0.6277186767309857,0.09850768427922496,0.25462138827187225,0.11428571428571428,8,0.228571,0.028571,4,0,3,28,35,4,31,0,0,0,28,5,15,0.8,0.142857
Sciance-Inc__core.dashboards_store,2023-01-24T13:53:55,c1b08bfa7fe5ad58d4fb02fcc390141989c3ba6c,Changement pour Mohamed,37,35,False,0.7857142857142857,4,0.5679592636114376,0.08494028178592213,0.013016808331396195,0.5202023358051372,0.13513513513513514,7,0.486486,0.027027,4,0,3,30,37,4,35,0,0,0,34,4,15,0.918919,0.108108
Sciance-Inc__core.dashboards_store,2023-02-23T18:09:26,4626f2406c66b6f92119e6fc25a0a27f32b448b1,feat : add new table to schema,40,36,False,0.7142857142857143,3,0.48928571428571427,0.2506590851470478,0.04689822367572097,0.3277873593059477,0.125,9,0.225,0.025,4,0,3,33,40,4,36,0,0,0,37,4,15,0.925,0.1
Sciance-Inc__core.dashboards_store,2023-03-24T12:17:22,4bd515a35096c016986603c750cba59245c27553,Merged PR 330: refactoring cout de roulement code,65,71,False,0.7142857142857143,4,0.5473110959836623,0.11265269277944734,0.014480385586489992,0.7072129216833348,0.23076923076923078,9,0.353846,0.030769,6,0,4,55,65,4,71,0,0,0,54,10,21,0.830769,0.153846
Sciance-Inc__core.dashboards_store,2023-04-20T13:55:47,bd5dd72839324d3e6fb22745504c9659c15824c0,Merged PR 339: Tableau de bord emp_actif,64,65,False,0.7142857142857143,5,0.5267231308411215,0.1120552846508518,0.013643132277602875,0.6483208584294465,0.15625,9,0.34375,0.03125,6,0,4,54,64,4,65,0,0,0,56,12,22,0.875,0.1875
Sciance-Inc__core.dashboards_store,2023-05-24T14:55:54,b69e865c2afab0d52ea7ee410f4815e480ca33ea,feat: adding sectors and filter-by-sectors to the transport dashboard,64,63,False,0.7142857142857143,5,0.5390625,0.10816264856708452,0.011808778596894214,0.664891720885718,0.125,9,0.375,0.046875,5,0,8,51,64,4,63,0,0,0,54,13,21,0.84375,0.203125
Sciance-Inc__core.dashboards_store,2023-06-06T16:42:12,de87bc13bb3b79917d77760f0249b9362358b24d,fix: remove blank results and correct subject evaluation code,67,70,False,0.7142857142857143,5,0.5316858331294348,0.10816264856708452,0.011808778596894214,0.6648916220830342,0.1791044776119403,9,0.358209,0.044776,5,0,8,54,67,4,70,0,0,0,56,15,22,0.835821,0.223881
