project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
T-Dunlap__dbt_demo_project,2022-06-09T00:06:11,abf4abe3d0b352c5e8d7834bfd51146cc900cb3f,Edited stg_tpch_customers file,21,19,False,0.5714285714285714,4,0.6004140786749482,0.08236792205683224,0.012560024502781902,0.5237833891988242,0.09523809523809523,4,0.857143,0.142857,8,2,7,4,21,1,19,0,0,0,21,17,9,1.0,0.809524
T-Dunlap__dbt_demo_project,2022-07-18T19:12:28,fa6b82a11b858c2441721b55af68aa35687519ea,inconsequential change to test CI,23,20,False,0.5714285714285714,4,0.6216466234967623,0.08236792205683224,0.012560024502781902,0.5237835776863864,0.08695652173913043,5,0.782609,0.130435,8,2,7,6,23,1,20,0,0,0,23,17,9,1.0,0.73913
T-Dunlap__dbt_demo_project,2022-08-19T00:21:55,c72de7bb3c075038c1f930f143b1e0d9f2166f9c,DEMO STARTING PLACE,23,20,False,0.5714285714285714,4,0.6216466234967623,0.08236792205683224,0.012560024502781902,0.523783442760151,0.08695652173913043,5,0.782609,0.130435,8,2,7,6,23,1,20,0,0,0,23,17,9,1.0,0.73913
T-Dunlap__dbt_demo_project,2022-09-19T21:32:22,10b37ad4f3da0297c83dd2e20b7dfb0239d6bb96,Removed Clerk_name from fct_orders.sql,25,21,False,0.5714285714285714,4,0.6383333333333333,0.08236792205683224,0.012560024502781902,0.5237835565757143,0.08,6,0.72,0.12,9,2,7,7,25,1,21,0,0,0,23,17,10,0.92,0.68
T-Dunlap__dbt_demo_project,2022-11-15T01:29:17,d2b74bc4248400f231b0fa0f6107f8cf28a0fdb6,removed clerk_name,25,21,False,0.5714285714285714,4,0.6383333333333333,0.08236792205683224,0.012560024502781902,0.5237834007094109,0.08,6,0.72,0.12,9,2,7,7,25,1,21,0,0,0,23,17,10,0.92,0.68
T-Dunlap__dbt_demo_project,2022-12-08T23:46:47,72c4c49379cb8646f0ce5210687529a330b48786,removing column,25,21,False,0.5714285714285714,4,0.6383333333333333,0.08236792205683224,0.012560024502781902,0.5237835833563163,0.08,6,0.72,0.12,9,2,7,7,25,1,21,0,0,0,23,17,10,0.92,0.68
T-Dunlap__dbt_demo_project,2022-12-19T21:04:55,c2c406edc9e29601cb03d546977574353bdcd522,removing clerk name,25,21,False,0.5714285714285714,4,0.6383333333333333,0.08236792205683224,0.012560024502781902,0.5237835680500733,0.08,6,0.72,0.12,9,2,7,7,25,1,21,0,0,0,23,17,10,0.92,0.68
T-Dunlap__dbt_demo_project,2023-02-03T22:25:24,8e02b2eecf44285a20f081fd1800c3d1d2692f23,commenting out fields,25,21,False,0.5714285714285714,4,0.6383333333333333,0.08236792205683224,0.012560024502781902,0.523783382836124,0.08,6,0.72,0.12,9,2,7,7,25,1,21,0,0,0,23,17,10,0.92,0.68
T-Dunlap__dbt_demo_project,2023-03-15T21:02:01,46a3930dbaea98b30f613154c845b76f72e41d97,Adding metrics to my project,26,21,False,0.5714285714285714,4,0.6522435897435898,0.08236792205683224,0.012560024502781902,0.5237836150583445,0.07692307692307693,7,0.692308,0.153846,9,2,7,8,26,1,21,0,0,0,23,17,11,0.884615,0.653846
T-Dunlap__dbt_demo_project,2023-04-03T19:53:50,53b7eb344d864b45a61c90840f4f024b1afb30d0,undoing changes to fct_orders,26,21,False,0.5714285714285714,4,0.6522435897435898,0.08236792205683224,0.012560024502781902,0.5237835762632145,0.07692307692307693,7,0.692308,0.153846,9,2,7,8,26,1,21,0,0,0,23,17,11,0.884615,0.653846
