project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
TEAMSchools__teamster,2023-08-12T18:36:10,f07d44fe40341f17970d8006cef1894312f75c3c,updates for dashboard,276,272,False,0.7142857142857143,11,0.813567103434584,0.07907614707317465,0.0026839868237071678,0.36827848132832713,0.2971014492753623,86,0.663043,0.297101,180,37,58,1,276,18
TEAMSchools__teamster,2023-09-12T02:42:29,c2f2e23c05773db00e25a58390239b9167f2eb71,act test prep,307,321,False,0.6428571428571429,13,0.8239585119149666,0.08173372508657971,0.0024552864788990178,0.7258742279017079,0.33876221498371334,90,0.693811,0.283388,192,43,71,1,307,18
TEAMSchools__teamster,2023-10-11T19:31:59,40c775205f5519d911113ec2fd3462b00b430c45,assessment entry audit,738,416,False,0.6428571428571429,13,0.9180969587473653,0.08347640955373903,0.001934716831543125,0.8469285483071577,0.21138211382113822,478,0.345528,0.642276,599,48,88,3,738,18
TEAMSchools__teamster,2023-11-09T22:12:48,5c704fdcc478c6557622064dd9e95db8c48cef8b,ran format,769,448,False,0.8571428571428571,13,0.9195667475220846,0.08316136116662542,0.0018422039457316644,0.816249824897414,0.22756827048114434,496,0.348505,0.639792,623,51,92,3,769,18
TEAMSchools__teamster,2023-12-11T01:23:08,d863f65b9306750ccf19eaef03ec2be64e369bd3,added additional attendance columns,783,501,False,0.7142857142857143,11,0.9189106289551854,0.08508129184836355,0.0017673858690735,0.9222226272457558,0.2720306513409962,495,0.36143,0.627075,627,53,100,3,783,18
TEAMSchools__teamster,2024-01-10T01:23:50,6875d3bff8760bfa0611d602f2b8a463d5f8c817,fixed view aliasing,797,518,False,0.7142857142857143,14,0.9184310101280851,0.08111894368446836,0.0016508862356166905,0.09335494565290005,0.2797992471769134,502,0.363864,0.624843,635,57,102,3,797,18
TEAMSchools__teamster,2024-02-09T09:44:55,968d7b7f2d52a5695fa5c5b9a282dd28b356bcc3,Merge branch 'main' into adding_rn_tableau,812,543,False,0.35714285714285715,11,0.9175399947391075,0.08235358650757799,0.0016426987261338678,0.20662129239764443,0.2894088669950739,504,0.371921,0.614532,643,59,107,3,812,18
TEAMSchools__teamster,2024-03-08T22:45:11,ff612d0a28e418036036ea80c9fe8fd601b79a06,"add region, update column names",829,588,False,0.5714285714285714,11,0.9117474115126027,0.0850251464972043,0.0016006226741491656,0.9170786567158785,0.316043425814234,503,0.386007,0.600724,647,67,112,3,829,18
TEAMSchools__teamster,2024-04-09T11:27:47,82b5ae5a0953a3770f09f38a08191dd988bcfb65,Merge branch 'main' into performance_management_lockbox,843,633,False,0.6428571428571429,11,0.9100259171433549,0.08504256460168462,0.0013695962915179687,0.9208013924166187,0.34400948991696323,500,0.400949,0.588375,651,68,121,3,843,18
TEAMSchools__teamster,2024-05-08T19:49:43,77feece8de79ce1d398d98a6887de205010369be,fluff trunk shit,852,650,False,0.42857142857142855,12,0.908900741099684,0.08495240605343025,0.001305246253414241,0.9177631415898103,0.35093896713615025,501,0.406103,0.583333,655,70,124,3,852,18
