project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
autotraderuk__dbt-dry-run,2022-07-04T20:25:27,b913c122d6b6b3e400943832e55153adeb48ab87,Add snapshot support (#8),3,1,True,,,,,,,,2,0.666667,0.333333,0,0,0,3,4,2
autotraderuk__dbt-dry-run,2022-08-09T17:00:59,cf00c7177ba61911f79b0c047da6a6459a59886a,Add integration test for performance of large projects,103,1,False,0.9285714285714286,1,0.9902912621359223,2.0,1.0,0.0,0.0,102,0.019417,0.980583,0,0,0,103,104,3
autotraderuk__dbt-dry-run,2022-10-27T09:43:16,ebd88b1b41ed77d7302b3b5f8b003bb8912b0836,Fix using _dbt_max_partition and SQL header causes failure,105,1,False,0.9285714285714286,1,0.9904761904761905,2.0,1.0,0.0,0.0,104,0.019048,0.980952,0,0,0,105,106,4
autotraderuk__dbt-dry-run,2022-11-24T12:17:39,34874fe30233c52c46dfe8543d888fd07a0b7347,Move external source columns to dry_run_columns,105,1,False,0.9285714285714286,1,0.9904761904761905,2.0,1.0,0.0,0.0,104,0.019048,0.980952,0,0,0,105,107,5
autotraderuk__dbt-dry-run,2023-02-09T09:27:32,f8d3438c6f746925f00bdc69e663cb319fb3e1a1,Add --skip-not-compiled flag (#32),109,3,False,0.9285714285714286,1,0.9724770642201835,2.0,1.0,0.0,0.0,106,0.018349,0.944954,0,0,0,109,111,6
autotraderuk__dbt-dry-run,2023-03-10T16:59:37,13938eb1ec5f68742dfc7133e8d54c381f5b6ae7,Integration tests for incremental models,111,3,False,0.9285714285714286,1,0.972972972972973,2.0,1.0,0.0,0.0,108,0.018018,0.945946,0,0,0,111,113,7
autotraderuk__dbt-dry-run,2023-10-16T12:24:08,9d308d7602272e4c958515200163a94807da477e,Check incremental data types are compatible (#45),115,3,False,0.9285714285714286,1,0.9739130434782609,2.0,1.0,0.0,0.0,112,0.017391,0.947826,0,0,0,115,117,7
autotraderuk__dbt-dry-run,2023-12-19T13:30:16,72fb22c0a6c64243a18462ebdbcec51f846d5319,Don't run merge if incremental has recursive CTES (#51),118,3,False,0.9285714285714286,1,0.9745762711864406,2.0,1.0,0.0,0.0,115,0.016949,0.949153,0,0,0,118,120,7
autotraderuk__dbt-dry-run,2024-01-10T13:46:54,f1e7e18f2784634f015a45d82aa53f2bb849cb4b,Fix problem where sql_header interacts with merge,120,3,False,0.9285714285714286,1,0.975,2.0,1.0,0.0,0.0,117,0.016667,0.95,0,0,0,120,122,7
autotraderuk__dbt-dry-run,2024-06-23T23:36:14,20189bc5a0c3103dadce189467d910fad2cfebae,fix: unrecognized _partitiontime for time ingestion partitioned models,121,3,False,0.9285714285714286,1,0.9752066115702479,2.0,1.0,0.0,0.0,118,0.016529,0.950413,0,0,0,121,123,7
autotraderuk__dbt-dry-run,2026-05-12T13:01:30,1637382028b2c3fa81d35e530389ced45b9a3b82,Release v0.9.0,125,3,False,0.9285714285714286,1,0.976,2.0,1.0,0.0,0.0,122,0.016,0.952,0,0,0,125,127,7
autotraderuk__dbt-dry-run,2026-06-29T23:25:59,071a027955d22add47890ab35666ca7f4045a19d,Don't add _PARTITIONTIME column when node config partition field is _PARTITIONTIME (#101),126,3,False,0.9285714285714286,1,0.9761904761904762,2.0,1.0,0.0,0.0,123,0.015873,0.952381,0,0,0,126,128,7
