project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
cagov__caldata-mdsa-caltrans-pems,2023-10-12T15:57:04,11a8c12479f5d3c60331e6aac740c28a29de8ba8,Initial commit,1,0,True,,,,,,,,1,1.0,1.0,0,0,0,1,1,1
cagov__caldata-mdsa-caltrans-pems,2024-02-06T17:53:55,0bc35853301c19ea648fef623700ef2611195f37,Rename int_pems__station_flow_by_date.sql to int_pems__stations_per_county_counted.sql,2,0,True,,,,,,,,2,0.5,1.0,1,1,0,0,2,1
cagov__caldata-mdsa-caltrans-pems,2024-03-08T22:15:51,b3bece534fe1da0fa30d9220cecf13d5d4f2c7e5,"added a group by to two CTES, when performing aggregations [like with COUNTIF()] we have to either group or aggregate th",11,7,False,0.6428571428571429,2,0.6303030303030303,0.3248691294333538,0.07708696758091495,0.2372071751928032,0.0,4,0.545455,0.181818,6,5,0,0,11,1
cagov__caldata-mdsa-caltrans-pems,2024-04-05T19:32:03,cc992738a426d9cc2a83fb529e7d017713a8b5ac,Updated code to eliminate an incorrect reference (thanks Ian!) and incorporate a new error type (district feed down) int,11,10,False,0.7142857142857143,3,0.3961038961038961,0.19806226419516185,0.03822161906271361,0.2857142857143217,0.09090909090909091,2,0.818182,0.0,3,8,0,0,11,1
cagov__caldata-mdsa-caltrans-pems,2024-05-09T09:20:02,d4b22c584dd3877f2ce308857d103ea0bc358b17,Update int_performance__max_capacity.sql,15,12,False,0.6428571428571429,3,0.5587301587301587,0.21368226527104775,0.04773586264439714,0.30573741538161964,0.0,3,0.533333,0.0,3,12,0,0,15,1
cagov__caldata-mdsa-caltrans-pems,2024-06-07T23:04:40,5be0ee4f9a01d3d61071ad4a3fbe1f5168a513a5,Merge branch 'main' of https://github.com/cagov/caldata-mdsa-caltrans-pems into Spatial_and_temporal_aggregation,27,29,False,0.8571428571428571,5,0.5684051398337112,0.050627114102385594,0.007873724804683437,0.6533908408309825,0.1111111111111111,1,1.0,0.0,3,24,0,0,27,1
cagov__caldata-mdsa-caltrans-pems,2024-07-06T01:13:10,3785d83192665660658bbb7c87e5c22a8ba3cfa3,Merge branch 'main' of https://github.com/cagov/caldata-mdsa-caltrans-pems into imputation_hard_code_replacement,40,44,False,0.6428571428571429,7,0.6105704697986577,0.09631461335202812,0.010359046734181903,0.559430726231976,0.2,4,0.875,0.05,9,31,0,0,40,1
cagov__caldata-mdsa-caltrans-pems,2024-08-06T23:19:52,0dadafb5ee49c82158d70677272da2a5abeee27f,removed trailing whitespace,45,50,False,0.8571428571428571,5,0.605119825708061,0.06658993518551164,0.006519955663793244,0.7785156104371508,0.24444444444444444,6,0.777778,0.022222,10,31,4,0,45,1
cagov__caldata-mdsa-caltrans-pems,2024-09-05T21:58:06,ffeacf13d3514ec41a965902d4651f084994966a,fix trailing space,56,61,False,0.9285714285714286,6,0.6596434870244394,0.045565906306421496,0.003926561970296452,0.8247102491153909,0.25,9,0.767857,0.071429,13,32,11,0,56,1
cagov__caldata-mdsa-caltrans-pems,2024-10-04T21:54:52,e94c6dd984b2a8f5973f8894a99ee28ccdcdba1e,Merge pull request #402 from cagov/386-speeds-and-g-factors,60,70,False,0.5714285714285714,6,0.6439393939393939,0.06608449271081468,0.005268933029576799,0.8952438180186291,0.3,8,0.833333,0.066667,13,34,13,0,60,1
cagov__caldata-mdsa-caltrans-pems,2024-11-04T16:10:14,a70e7f5d2745ce7ed0161cb04f84eafa3de8aa90,Merge pull request #461 from cagov/kg-station-level-martmodel,67,85,False,0.6428571428571429,8,0.6497838675475084,0.05902514782940266,0.004112838550021157,0.49772278833150185,0.373134328358209,7,0.865672,0.044776,13,37,17,0,67,1
cagov__caldata-mdsa-caltrans-pems,2024-12-02T21:53:49,66cf3516d007bdc7955fc5ea1b0a4856d73369dd,Change yml file based on Mintu's comment,69,87,False,0.6428571428571429,8,0.6593312680269202,0.059443877990255516,0.004140475478478311,0.5379150419548396,0.36231884057971014,7,0.869565,0.043478,13,37,19,0,69,1
cagov__caldata-mdsa-caltrans-pems,2025-01-02T07:50:32,ea1b09386b2a7c1566cbdf279cd4173a5f1d54a3,update imputation_detector_metrics_agg_five_minutes by removing outliers for flow and occupancy,69,88,False,0.6428571428571429,7,0.6492600260716203,0.05944518506844457,0.0041395625472611395,0.5381785939301061,0.37681159420289856,7,0.869565,0.043478,13,37,19,0,69,1
cagov__caldata-mdsa-caltrans-pems,2025-02-02T03:13:30,754b32536bd418ca45fce6e00bd7e6548d96fce4,Fix the unpivot function for bottlenecks,103,128,False,0.8571428571428571,10,0.7540958737864077,0.018771078474280906,0.0012267714558459352,0.8149644541950734,0.3106796116504854,7,0.912621,0.029126,13,40,50,0,103,1
cagov__caldata-mdsa-caltrans-pems,2025-03-04T19:18:12,9713969fdb217798fef06eeb8ffb2d2290e05aaa,partition weekly data by year,104,129,False,0.9285714285714286,10,0.7578264758497316,0.018236951405522374,0.0011918639334748452,0.8066695101465232,0.3076923076923077,7,0.913462,0.028846,13,40,51,0,104,1
cagov__caldata-mdsa-caltrans-pems,2025-04-03T18:35:05,e78cccfcee68d2c4a7597a254545266549d05285,fix issues,104,129,False,0.9285714285714286,10,0.7578264758497316,0.018236951405522374,0.0011918639334748452,0.8066696975947524,0.3076923076923077,7,0.913462,0.028846,13,40,51,0,104,1
cagov__caldata-mdsa-caltrans-pems,2025-04-07T19:14:27,5cf67293dbc63822c9e3a64cb62e5bee9653e243,trim whitespaces,104,129,False,0.9285714285714286,10,0.7578264758497316,0.018236951405522374,0.0011918639334748452,0.8066696731311623,0.3076923076923077,7,0.913462,0.028846,13,40,51,0,104,1
cagov__caldata-mdsa-caltrans-pems,2025-06-12T09:20:42,50c417fb6b3ee5571eee841519fb6eeff946240f,These tests have seemingly started failing because the uploader script within caltrans has stopped. Nobody is maintainin,104,129,False,0.9285714285714286,10,0.7578264758497316,0.018236951405522374,0.0011918639334748452,0.806669733766328,0.3076923076923077,7,0.913462,0.028846,13,40,51,0,104,1
cagov__caldata-mdsa-caltrans-pems,2025-07-23T12:40:12,4fba72fce96e53bb8ec99eb27895321972fb0827,Linter updates,104,129,False,0.9285714285714286,10,0.7578264758497316,0.018236951405522374,0.0011918639334748452,0.8066696384961077,0.3076923076923077,7,0.913462,0.028846,13,40,51,0,104,1
