project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
cal-itp__data-infra,2022-04-26T14:30:03,78551080c61bd8807616f368e41342f4fb9d4425,fix(gtfs schedule): suppress API keys in tables,74,105,False,0.5714285714285714,7,0.777260018639329,0.11961174483164097,0.005807862877015639,0.9129160439587782,0.47297297297297297,4,0.945946,0.027027,0,0,2,72,74,1,69,36,37,0,73,65,5,0.986486,0.878378
cal-itp__data-infra,2022-05-27T12:09:07,189a54d7974046183dec2308e5b8e3c0b925be13,missing comma and updated code descriptions,76,107,False,0.5,7,0.7713724920034893,0.11921986484724144,0.005788620570757194,0.9088859352779529,0.47368421052631576,5,0.934211,0.039474,0,0,2,74,76,1,71,36,37,0,75,67,5,0.986842,0.881579
cal-itp__data-infra,2022-06-24T18:25:06,a4959bfe68fecc7298f692fc9f0fdc74ca50cfb9,feat(schedule): track continuous download errors,82,115,False,0.7142857142857143,6,0.76729205753596,0.08215496658288673,0.003913702569664974,0.9296828091012694,0.5,8,0.902439,0.073171,4,0,2,76,82,1,79,36,37,0,79,72,9,0.963415,0.878049
cal-itp__data-infra,2022-07-26T13:15:41,2e2458a74a7b3551c3359c9f35ceb680b701b3f0,Merge pull request #1418 from cal-itp/payments-dbt-migration,151,181,False,0.5714285714285714,8,0.7574948372854803,0.05200100724273538,0.0024036019492464982,0.8208610442386809,0.3443708609271523,22,0.602649,0.119205,47,1,24,79,151,1,117,64,69,0,109,104,19,0.721854,0.688742
cal-itp__data-infra,2022-08-22T13:24:57,c5d95b8b2cb99c90fc65ebd5a8e6790dd79442fd,Created new row-level access policy macro and applied it to payments_rides (#1697),152,181,False,0.7142857142857143,8,0.7520242914979757,0.05199515109509271,0.002476927946555738,0.8168658321408941,0.3355263157894737,22,0.592105,0.118421,47,1,26,78,152,1,113,68,71,0,108,103,19,0.710526,0.677632
cal-itp__data-infra,2022-09-23T11:52:03,8b7b24ca280ceae9216d76277a13326ea53f7b61,temporarily add services.gtfs schedule quality column & add associated documentation (#1839),177,249,False,0.5714285714285714,8,0.7966175354856768,0.05215203474152875,0.002370468747157709,0.8975862851488817,0.5084745762711864,18,0.661017,0.084746,66,1,30,80,177,1,178,71,74,0,112,117,21,0.632768,0.661017
cal-itp__data-infra,2022-10-14T15:02:37,080c27b978ad8500479fdf2c3f3bda3ebf2e556e,Remaining base tables (#1902),232,306,False,0.5714285714285714,8,0.8059309309309309,0.05215203474152875,0.002370468747157709,0.8975823117489323,0.39655172413793105,18,0.50431,0.064655,92,3,56,81,232,1,235,71,74,0,166,172,26,0.715517,0.741379
cal-itp__data-infra,2022-11-23T12:06:39,f7c3471710e3f02a3e5381d5f7de8b84789a9983,Airtable schema updates (#2011),284,422,False,0.6428571428571429,7,0.7710297476783052,0.015704706012934767,0.0004896283185732439,0.846765151707046,0.5492957746478874,18,0.517606,0.049296,107,30,66,81,284,1,337,85,91,1,224,243,29,0.788732,0.855634
cal-itp__data-infra,2022-12-21T16:05:48,c2cd3736030179f1769538677ebab54f6c663503,Make fct_schedule_feed_files (#2097),308,483,False,0.7142857142857143,9,0.7453742818519771,0.018614961435282063,0.0005462172174402255,0.9043608604147767,0.6233766233766234,17,0.561688,0.045455,107,46,74,81,308,1,392,91,98,1,241,266,29,0.782468,0.863636
cal-itp__data-infra,2023-01-20T16:03:43,134063c710e0d1d3e8c03eb3e9d591167bc808ea,switch rt feed presence check to new daily rt url index (#2195),334,474,False,0.6428571428571429,10,0.7176728264749617,0.01657646209382032,0.0004591400912691877,0.9099407502442348,0.5089820359281437,30,0.694611,0.071856,89,73,105,67,334,1,418,56,85,0,271,254,29,0.811377,0.760479
cal-itp__data-infra,2023-02-17T15:24:48,7493b239b6bbe0be9ec650a7f9e27a8f02240f58,Add warehouse overview docs (#2293),375,561,False,0.8571428571428571,16,0.7398768800279818,0.01748935350870841,0.0005438465490426411,0.9222388980845169,0.5813333333333334,32,0.773333,0.069333,91,96,120,68,375,1,448,113,132,0,290,280,36,0.773333,0.746667
