project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
dagster-io__dagster,2020-08-18T18:11:46,7908089fdc2a704262b40371d8f8521c877e7ebe,scaffold and port dagster-dbt for rpc,4,3,True,,,,,,,,1,1.0,0.0,0,0,0,4,4,1,3,0,0,0,1,1,1,0.25,0.25
dagster-io__dagster,2022-02-23T18:33:09,5cec1c8a41c04ea9126ad428dd7997a129429ced,[dagster-dbt] fix issues with dbt asset integration (#6777),4,3,True,,,,,,,,1,1.0,0.0,0,0,0,4,4,1,3,0,0,0,1,1,1,0.25,0.25
dagster-io__dagster,2022-06-08T13:03:34,8e6b70f040f7e33ad6f9792f9806a5ab382efa20,[dagster-dbt] update dbt keys (#8228),4,3,True,,,,,,,,1,1.0,0.0,0,0,0,4,4,1,3,0,0,0,1,1,1,0.25,0.25
dagster-io__dagster,2022-08-03T20:58:26,2c821b4fa77f03b419af4552d73c6645e0d4d55b,3.14/n example overhaul: hacker_news_assets -> project_fully_featured  + recommended project layout (#9191),18,16,False,0.7857142857142857,3,0.6814814814814815,0.4023728380236242,0.056116075929443975,0.4161718688712039,0.1111111111111111,4,0.555556,0.055556,0,0,0,18,20,4,16,0,0,0,8,1,7,0.444444,0.055556
dagster-io__dagster,2022-08-25T15:05:07,fdaaedcef31c9a589617a06c63728908364dab5f,[dagster-dbt] allow dbt projects including metrics to be loaded (#9419),20,18,False,0.7857142857142857,3,0.6557142857142857,0.4023728380236242,0.056116075929443975,0.4161719670731303,0.1,4,0.5,0.05,0,0,0,20,22,4,18,0,0,0,8,1,7,0.4,0.05
dagster-io__dagster,2022-10-10T15:11:25,0035ebc50e1c19db3c16b0a9c81c32f507625763,Data pipeline smoke test example (#9945),22,19,False,0.7857142857142857,3,0.6641414141414141,0.40237283802362434,0.05611607592944401,0.41617186657781585,0.09090909090909091,5,0.454545,0.045455,0,0,0,22,24,5,19,0,0,0,8,1,8,0.363636,0.045455
dagster-io__dagster,2022-12-14T14:29:32,7d92ffc709d063a5ab0053315b0608ceecacadf1,[dagster-dbt] Enable setting FreshnessPolicies on dbt assets (#11103),22,19,False,0.7857142857142857,3,0.6641414141414141,0.40237283802362434,0.05611607592944401,0.41617187348539236,0.09090909090909091,5,0.454545,0.045455,0,0,0,22,24,5,19,0,0,0,8,1,8,0.363636,0.045455
dagster-io__dagster,2023-03-14T09:21:05,169777db06a94f9849577b2c141e3500b60d8b41,[dagster-dbt] add cron_schedule_timezone to set of properties parsed from dbt config (#12904),22,19,False,0.7857142857142857,3,0.6641414141414141,0.40237283802362434,0.05611607592944401,0.4161718532467361,0.09090909090909091,5,0.454545,0.045455,0,0,0,22,24,5,19,0,0,0,8,1,8,0.363636,0.045455
dagster-io__dagster,2023-05-09T09:45:53,91b12934e6a767d955e5b481b9deb971119df3fe,example: rename project_pypi_github to project_analytics (#14170),28,24,False,0.7857142857142857,3,0.6572948328267477,0.40237283802362434,0.05611607592944401,0.4161719555029856,0.07142857142857142,6,0.357143,0.035714,3,0,0,25,30,6,24,0,0,0,8,1,9,0.285714,0.035714
dagster-io__dagster,2023-06-26T13:20:18,01b398277ddf9f799fa02d481fcae5bd4d56f767,Enable upstream/downstream dbt deps (#14932),33,29,False,0.7857142857142857,3,0.6526806526806527,0.40237283802362434,0.05611607592944401,0.41617194966246013,0.09090909090909091,7,0.30303,0.030303,6,0,0,27,35,7,29,0,0,0,10,6,11,0.30303,0.181818
dagster-io__dagster,2023-07-13T16:50:01,fa5641583e4f2598049ae8ad10e44e7d34d54260,fix(dbt): ensure scaffold tests successfully run on clean build (#15281),33,29,False,0.7857142857142857,3,0.6526806526806527,0.40237283802362434,0.05611607592944401,0.4161719624888533,0.09090909090909091,7,0.30303,0.030303,6,0,0,27,35,7,29,0,0,0,10,6,11,0.30303,0.181818
dagster-io__dagster,2023-10-31T16:50:13,6fb1e8be26751fa22b7a65446be60b68531f690a,feat(dbt): allow self-dependencies to be specified in `+meta` (#17490),33,29,False,0.7857142857142857,3,0.6526806526806527,0.40237283802362434,0.05611607592944401,0.4161718534232397,0.09090909090909091,7,0.30303,0.030303,6,0,0,27,35,7,29,0,0,0,10,6,11,0.30303,0.181818
dagster-io__dagster,2023-11-29T21:15:21,d24a9ecb92a850fcc406899a6a3da9ca84d68f87,turn on prettier for .md files (other than docs) (#18342),33,29,False,0.7857142857142857,3,0.6526806526806527,0.40237283802362434,0.05611607592944401,0.4161718529840301,0.09090909090909091,7,0.30303,0.030303,6,0,0,27,35,7,29,0,0,0,10,6,11,0.30303,0.181818
dagster-io__dagster,2024-02-16T12:40:58,a118f1ab14fc7131955b62c425aad35f6453bfd9,test(dbt): move tests into `core/` and `legacy/` (#19849),27,24,False,0.7857142857142857,3,0.6464646464646465,0.40237283802362434,0.05611607592944401,0.4161718734129544,0.1111111111111111,6,0.37037,0.037037,6,0,0,21,29,6,24,0,0,0,9,5,10,0.333333,0.185185
dagster-io__dagster,2024-03-25T11:56:35,182f57d17a463e91ff73121026de0d5ba02a299e,fix(dbt): retrieve schema from sources to compute column lineage (#20682),28,25,False,0.7857142857142857,3,0.6279761904761905,0.40237283802362434,0.05611607592944401,0.41617195711547267,0.10714285714285714,6,0.357143,0.035714,6,0,0,22,30,6,25,0,0,0,9,5,11,0.321429,0.178571
dagster-io__dagster,2024-04-08T10:18:25,9ba265b3db07d29a0fc87306c46716b6db8fbe49,fix(dbt): mark implicitly aliased columns with an empty set of column dependencies (#21048),32,29,False,0.7857142857142857,3,0.6481854838709677,0.40237283802362434,0.05611607592944401,0.41617187785614074,0.09375,6,0.3125,0.03125,6,0,0,26,34,6,29,0,0,0,9,5,11,0.28125,0.15625
dagster-io__dagster,2024-06-13T13:59:06,70ac5e333c1bd70f280acf55832b30334dd219a9,add jaffle project clone to test profile vars (#22533),32,29,False,0.7857142857142857,3,0.6481854838709677,0.40237283802362434,0.05611607592944401,0.41617195596828066,0.09375,6,0.3125,0.03125,6,0,0,26,39,7,29,0,0,0,9,5,13,0.28125,0.15625
dagster-io__dagster,2024-07-16T11:20:27,c76651baad2f24a8f7ba2bcdbfa465bab59af8a2,feat(dbt): support column lineage for self-referential incremental models (#23024),32,29,False,0.7857142857142857,3,0.6481854838709677,0.40237283802362434,0.05611607592944401,0.41617196979788595,0.09375,6,0.3125,0.03125,6,0,0,26,39,7,29,0,0,0,9,5,13,0.28125,0.15625
dagster-io__dagster,2024-08-30T16:29:05,454f96610a762fd2d93ca53f6ac3944bcc52371e,Basic dbt integration guide (#24014),34,30,False,0.7857142857142857,3,0.6568627450980392,0.40237283802362434,0.05611607592944401,0.41617187829227725,0.08823529411764706,7,0.294118,0.029412,6,0,0,28,42,8,30,0,0,0,11,7,15,0.323529,0.205882
dagster-io__dagster,2024-10-10T10:37:08,0fc8dbb7830ed0730956b34af22deb77764a47f6,[dagster-dbt] Fix generating column metadata for models installed through dbt dependencies (#25185),35,31,False,0.7857142857142857,2,0.6729211087420043,0.3513205565442338,0.04354286840117838,0.4679919700715056,0.08571428571428572,7,0.314286,0.028571,6,0,0,29,43,9,30,1,2,0,12,7,16,0.342857,0.2
dagster-io__dagster,2024-11-13T15:44:33,dcdf6003ba21cba40dd1c1ca5fc0b1f4009168f4,[dagster-airlift][moves] airlift moves (#25832),36,31,False,0.7857142857142857,2,0.6820066334991708,0.3513205565442338,0.04354286840117838,0.467991970060133,0.08333333333333333,8,0.305556,0.055556,6,0,0,30,54,11,30,1,2,0,12,8,22,0.333333,0.222222
dagster-io__dagster,2024-12-30T11:44:11,f1955b3ab4a7fe670c00b7ede28dd1e7177128fa,[components] Consolidate code_locations and stub_code_locations in component tests (#26513),36,31,False,0.7857142857142857,2,0.6820066334991708,0.3513205565442338,0.04354286840117838,0.4679919700721798,0.08333333333333333,8,0.305556,0.055556,6,0,0,30,69,14,30,1,2,0,12,8,28,0.333333,0.222222
dagster-io__dagster,2025-02-21T12:01:54,3a4ecbeb7c0f86387d0e6c2ca3b601147cd060cc,[dagster-dbt] Fix profiles_dir with packaged_project_dir (#27970),36,31,False,0.7857142857142857,2,0.6820066334991708,0.3513205565442338,0.04354286840117838,0.467991970066967,0.08333333333333333,8,0.305556,0.055556,6,0,0,30,74,15,30,1,2,0,12,8,30,0.333333,0.222222
dagster-io__dagster,2025-02-27T17:00:30,12c46255dfc19a94ab17d3310e179e02b67b19e3,[components] Rename `components` dir to `defs` (#28108),36,31,False,0.7857142857142857,2,0.6820066334991708,0.3513205565442338,0.04354286840117838,0.46799197007140725,0.08333333333333333,8,0.305556,0.055556,6,0,0,30,64,13,30,1,2,0,12,8,26,0.333333,0.222222
dagster-io__dagster,2025-04-02T15:52:49,6d8a6b39f81221be360f9d5ca0ff5899892d1e42,[dg] Merge dagster_components into dagster (#28938),34,30,False,0.7857142857142857,2,0.6746880570409982,0.3513205565442338,0.04354286840117838,0.46799197006780957,0.08823529411764706,7,0.323529,0.058824,6,0,0,28,71,14,29,1,2,0,10,6,28,0.294118,0.176471
dagster-io__dagster,2025-09-03T08:59:48,2f36bf3f2b4ea08005fc5bf43a90d793b904f71a,[docs] dbt Project Example (#31411),38,33,False,0.7857142857142857,2,0.683066361556064,0.3513205565442338,0.04354286840117838,0.46799197007047,0.07894736842105263,8,0.289474,0.052632,8,0,2,28,80,16,32,1,2,0,12,7,31,0.315789,0.184211
dagster-io__dagster,2025-12-19T16:16:51,bef14f2e3c8c4f1b50703bc79977b828ad29b585,Noonan/data platfrom blog (#33083),41,35,False,0.7857142857142857,2,0.6808943089430894,0.3513205565442338,0.04354286840117838,0.4679919700693168,0.07317073170731707,9,0.268293,0.04878,8,0,2,31,83,17,34,1,2,0,12,7,31,0.292683,0.170732
dagster-io__dagster,2026-01-16T18:55:23,76e48e0d7444c19918e30144dfe531e9ac326454,Add support for dbt (udf) functions (#33245),50,45,False,0.7142857142857143,3,0.6715555555555556,0.3697542966400067,0.04548256404808183,0.5737275499183051,0.1,10,0.26,0.04,10,2,7,31,99,20,44,1,2,0,16,9,37,0.32,0.18
dagster-io__dagster,2026-04-16T15:44:13,b5d4bbd0d37857d4fee10268288279ef82ee2dd4,Fix stg_customers topological-order race by separating source and seed tables (#22803),50,45,False,0.7142857142857143,3,0.6715555555555556,0.3697542966400067,0.04548256404808183,0.5737274077423269,0.1,10,0.26,0.04,10,2,7,31,99,20,44,1,2,0,16,9,37,0.32,0.18
dagster-io__dagster,2026-05-20T16:42:09,f3320b7c073c977d96249864704a7f13feb42aab,Move dagster-cloud package to dagster-oss/python_modules (#20797),51,45,False,0.7142857142857143,3,0.677995642701525,0.3697542966400067,0.04548256404808183,0.5737275475839787,0.09803921568627451,11,0.254902,0.058824,10,2,7,32,116,23,44,1,2,0,16,10,43,0.313725,0.196078
