project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
dpguthrie__snowflake-dbt-demo-project,2020-10-29T23:07:25,ded26d188683623b00a8f6b8e29c628c650b2056,update fact --> fct,20,16,False,0.7142857142857143,3,0.586,0.1185553698735971,0.018920987058085408,0.43704517856562597,0.1,6,0.75,0.25,10,2,6,2,20,1,16,0,0,0,0,15,4,0.0,0.75
dpguthrie__snowflake-dbt-demo-project,2020-12-17T23:33:35,e08a0e8135fb11ba4e6e9dc1ec3c62306de8af32,limits selected columns to avoid soft limit,22,20,False,0.7142857142857143,3,0.5840909090909091,0.08916054322161326,0.01481606931034608,0.5442412729565059,0.18181818181818182,6,0.772727,0.227273,10,2,8,2,22,1,20,0,0,0,0,15,4,0.0,0.681818
dpguthrie__snowflake-dbt-demo-project,2021-01-21T04:32:24,41e9de412e4636b7195e1bd9cfaed6d393de3cc2,add space,23,21,False,0.7857142857142857,3,0.6105072463768116,0.08702417968354605,0.013136651799777983,0.5807413809822719,0.17391304347826086,6,0.782609,0.217391,10,2,8,3,23,1,21,0,0,0,0,15,6,0.0,0.652174
dpguthrie__snowflake-dbt-demo-project,2021-02-10T22:16:03,4e0d8d6df2b4776b3199917739990c71fe22630c,+ some spaces,23,21,False,0.7857142857142857,3,0.6105072463768116,0.08702417968354605,0.013136651799777983,0.580741478953117,0.17391304347826086,6,0.782609,0.217391,10,2,8,3,23,1,21,0,0,0,1,15,6,0.043478,0.652174
dpguthrie__snowflake-dbt-demo-project,2021-03-17T22:35:36,ed506cb1387a31926c7a3084cd4dc5c05b0ae42e,added some spaces,23,21,False,0.7857142857142857,3,0.6105072463768116,0.08702417968354605,0.013136651799777983,0.5807414795876251,0.17391304347826086,6,0.782609,0.217391,10,2,8,3,23,1,21,0,0,0,1,15,6,0.043478,0.652174
dpguthrie__snowflake-dbt-demo-project,2021-04-15T22:37:10,e36a286138bdf9147cedb81b3c1cd72760bcb1a4,test comment,23,21,False,0.7857142857142857,3,0.6105072463768116,0.08702417968354605,0.013136651799777983,0.5807414782214144,0.17391304347826086,6,0.782609,0.217391,10,2,8,3,23,1,21,0,0,0,11,17,7,0.478261,0.73913
dpguthrie__snowflake-dbt-demo-project,2021-05-18T17:01:08,b2533f624d7f4bf6ac825c9be0098e3deff91c4b,spaces in regions,23,21,False,0.7857142857142857,3,0.6105072463768116,0.08702417968354605,0.013136651799777983,0.5807414554951358,0.17391304347826086,6,0.782609,0.217391,10,2,8,3,23,1,21,0,0,0,11,17,8,0.478261,0.73913
dpguthrie__snowflake-dbt-demo-project,2021-06-17T15:55:49,43fbf64cca8ab925434815e7ca283e00eefa538b,remove customer snapshot specific to my schema,24,19,False,0.5714285714285714,4,0.6503623188405797,0.08236792205683224,0.012560024502781902,0.52378357807993,0.08333333333333333,7,0.75,0.25,10,2,8,4,24,1,19,0,0,0,11,17,8,0.458333,0.708333
dpguthrie__snowflake-dbt-demo-project,2021-07-06T21:18:40,0977bdcae5e784b77c565c5c6e453d866e7b16d5,changing fishtown to dbt labs,21,19,False,0.5714285714285714,4,0.6004140786749482,0.08236792205683224,0.012560024502781902,0.5237833965148059,0.09523809523809523,4,0.857143,0.142857,8,2,7,4,21,1,19,0,0,0,21,17,9,1.0,0.809524
dpguthrie__snowflake-dbt-demo-project,2021-08-16T11:36:56,f791373440f31330864e1994f6432e527c9641c7,Merge branch 'main' of https://github.com/dbt-labs/snowflake_dbt_demo_project into main,21,19,False,0.5714285714285714,4,0.6004140786749482,0.08236792205683224,0.012560024502781902,0.5237835457543447,0.09523809523809523,4,0.857143,0.142857,8,2,7,4,21,1,19,0,0,0,21,17,9,1.0,0.809524
dpguthrie__snowflake-dbt-demo-project,2021-09-14T15:15:49,83b55474b84d208f69e9149b8e24a4371c6bde35,useless comments,21,19,False,0.5714285714285714,4,0.6004140786749482,0.08236792205683224,0.012560024502781902,0.5237836083523794,0.09523809523809523,4,0.857143,0.142857,8,2,7,4,21,1,19,0,0,0,21,17,9,1.0,0.809524
dpguthrie__snowflake-dbt-demo-project,2022-02-15T04:07:32,9d7f0f7878ae0966e7be627dd4fc471d082d6246,test,22,19,False,0.5714285714285714,4,0.6185770750988142,0.08236792205683224,0.012560024502781902,0.5237834239858788,0.09090909090909091,5,0.818182,0.181818,8,2,8,4,22,1,19,0,0,0,21,17,9,0.954545,0.772727
dpguthrie__snowflake-dbt-demo-project,2022-03-04T19:14:18,ec6296fffbc37ce546bbaa55a8f272b6507007d8, added columns for orders dashboard,24,19,False,0.5714285714285714,4,0.6503623188405797,0.08236792205683224,0.012560024502781902,0.5237836025445709,0.08333333333333333,7,0.75,0.25,8,2,9,5,24,1,19,0,0,0,21,17,9,0.875,0.708333
dpguthrie__snowflake-dbt-demo-project,2022-03-30T20:45:22,e139fb534a21df067e3a148ebbe2785631bd1a8f,fct_ordres pipelie is ready,25,18,False,0.6428571428571429,4,0.6643478260869565,0.08236792205683247,0.012560024502781934,0.5237835949590687,0.04,8,0.72,0.28,8,2,9,6,25,1,18,0,0,0,21,17,9,0.84,0.68
dpguthrie__snowflake-dbt-demo-project,2022-04-17T20:54:23,55893de135515bbb2d4bd7c06ff8995a8928e061,confusing commas,25,18,False,0.6428571428571429,4,0.6643478260869565,0.08236792205683247,0.012560024502781934,0.5237836114056412,0.04,8,0.72,0.28,8,2,9,6,25,1,18,0,0,0,21,17,9,0.84,0.68
dpguthrie__snowflake-dbt-demo-project,2022-06-06T22:13:40,34fd0d3442c2d532ef4473089e1f05d0427a22f1,Use the url instead of the assets path,25,18,False,0.6428571428571429,4,0.6643478260869565,0.08236792205683247,0.012560024502781934,0.5237833980312925,0.04,8,0.72,0.28,8,2,9,6,25,1,18,0,0,0,21,17,9,0.84,0.68
dpguthrie__snowflake-dbt-demo-project,2022-07-11T15:48:46,da3fe459a65abd43a0e9692d2643ad4726fb7dcf,Add tableau exposures,24,18,False,0.6428571428571429,4,0.6503623188405797,0.08236792205683247,0.012560024502781934,0.5237833838368344,0.041666666666666664,7,0.75,0.25,8,2,8,6,24,1,18,0,0,0,21,17,10,0.875,0.708333
dpguthrie__snowflake-dbt-demo-project,2022-07-22T16:03:57,4103eb7b4d55c67dae76c3d1f71fcf9defdd57b9,Update fct_order_items.sql,24,18,False,0.6428571428571429,4,0.6503623188405797,0.08236792205683247,0.012560024502781934,0.523783549417751,0.041666666666666664,7,0.75,0.25,8,2,8,6,24,1,18,0,0,0,21,17,10,0.875,0.708333
dpguthrie__snowflake-dbt-demo-project,2022-08-31T11:32:07,3e0150770c6ddff3a3ec656da986dd814ae97255,Update stg_tpch_customers.sql,24,18,False,0.6428571428571429,4,0.6503623188405797,0.08236792205683247,0.012560024502781934,0.5237835855457535,0.041666666666666664,7,0.75,0.25,8,2,8,6,24,1,18,0,0,0,21,17,10,0.875,0.708333
dpguthrie__snowflake-dbt-demo-project,2022-10-11T18:23:03,98bc18c26e47dc704bcd18cc57034b6916f38626,test,21,19,False,0.5714285714285714,4,0.6004140786749482,0.08236792205683224,0.012560024502781902,0.523783602192806,0.09523809523809523,4,0.857143,0.142857,8,2,7,4,21,1,19,0,0,0,21,17,11,1.0,0.809524
dpguthrie__snowflake-dbt-demo-project,2022-11-03T20:42:11,d35e036f2d0de06fee73e8cfd09f90676cd01301,update exposure,21,19,False,0.5714285714285714,4,0.6004140786749482,0.08236792205683224,0.012560024502781902,0.5237834201963009,0.09523809523809523,4,0.857143,0.142857,8,2,7,4,21,1,19,0,0,0,21,17,11,1.0,0.809524
dpguthrie__snowflake-dbt-demo-project,2022-12-09T15:16:43,17fd90b75cadaaccf56a8a01a7734ee453394df7,Make trivial change,21,19,False,0.5714285714285714,4,0.6004140786749482,0.08236792205683224,0.012560024502781902,0.5237833951017391,0.09523809523809523,4,0.857143,0.142857,8,2,7,4,21,1,19,0,0,0,21,17,11,1.0,0.809524
dpguthrie__snowflake-dbt-demo-project,2023-01-04T17:14:53,357397c4551f2590f497cbc69edc52bf20096275,Update URL for tableau exposure,30,19,False,0.5714285714285714,4,0.7202898550724638,0.08236792205683224,0.012560024502781902,0.5237836104675775,0.06666666666666667,13,0.6,0.4,14,5,7,4,30,1,19,0,0,0,21,17,13,0.7,0.566667
dpguthrie__snowflake-dbt-demo-project,2023-01-25T21:50:30,ae31ddfcf8b6137204424debdcdd3547f1255988,"Adding elementary, removing dbt_constraints and artifacts",30,19,False,0.5714285714285714,4,0.7202898550724638,0.08236792205683224,0.012560024502781902,0.5237834288687956,0.06666666666666667,13,0.6,0.4,14,5,7,4,30,1,19,0,0,0,21,17,12,0.7,0.566667
dpguthrie__snowflake-dbt-demo-project,2023-03-09T10:49:41,ceee1fefe81bcece851cc60051ba6cec9af42a1f,Remove model,31,20,False,0.6428571428571429,4,0.727741935483871,0.07616120249242352,0.011599809379339581,0.5099236323547655,0.06451612903225806,13,0.612903,0.387097,14,5,8,4,31,1,19,1,2,0,20,17,12,0.645161,0.548387
dpguthrie__snowflake-dbt-demo-project,2023-04-07T16:54:22,36d29fb7f6073b3cac839acae1a7f1bb9d037e50,stupid,31,20,False,0.6428571428571429,4,0.727741935483871,0.07616120249242352,0.011599809379339581,0.5099236398363707,0.06451612903225806,13,0.612903,0.387097,14,5,8,4,31,1,19,1,2,0,20,17,12,0.645161,0.548387
dpguthrie__snowflake-dbt-demo-project,2023-04-26T15:53:11,df22e906eaf40d71b5af8aed3ca99c57680e6128,Update models/marts/core/fct_orders.sql,31,20,False,0.6428571428571429,4,0.727741935483871,0.07616120249242352,0.011599809379339581,0.5099234885218887,0.06451612903225806,13,0.612903,0.387097,14,5,8,4,31,1,19,1,2,0,20,17,12,0.645161,0.548387
dpguthrie__snowflake-dbt-demo-project,2023-06-22T21:32:25,171661715b8b0b38db85ba50ada911574ca75204,update metrics filename to get around ad blocker,31,20,False,0.6428571428571429,4,0.727741935483871,0.07616120249242352,0.011599809379339581,0.509923605001244,0.06451612903225806,13,0.612903,0.387097,14,5,8,4,31,1,19,1,2,0,20,17,12,0.645161,0.548387
dpguthrie__snowflake-dbt-demo-project,2023-07-28T19:48:38,f1dac884ff140fbeff3d937b1e88d8d181914ff4,testing ads,33,20,False,0.6428571428571429,4,0.7442424242424243,0.07616120249242352,0.011599809379339581,0.5099235016249891,0.06060606060606061,15,0.575758,0.424242,14,5,10,4,33,1,19,1,2,0,20,17,12,0.606061,0.515152
dpguthrie__snowflake-dbt-demo-project,2023-08-12T06:17:06,8e626c5bf41dd281a1e52b10641bd6ec8b411001,Update dim_customers.sql,33,20,False,0.6428571428571429,4,0.7442424242424243,0.07616120249242352,0.011599809379339581,0.5099236595480213,0.06060606060606061,15,0.575758,0.424242,14,5,10,4,33,1,19,1,2,0,20,17,12,0.606061,0.515152
