project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
dracotrid__soa-analytics-dbt,2025-05-19T21:06:04,18d50f3c97f7c02665e10329a2af841da8134e94,SOA-24 (#4),12,0,False,,,0.0,0.0,0.0,0.0,0.0,12,0.083333,1.0,0,10,0,2,12,1
dracotrid__soa-analytics-dbt,2025-06-19T20:18:54,28afd79d23ac4b00e7243ceda7351a0aa37a8103,SOA-58 Adjusted models naming conventions,35,0,False,,,0.0,0.0,0.0,0.0,0.0,35,0.028571,1.0,0,27,0,8,35,1
dracotrid__soa-analytics-dbt,2025-07-19T17:25:38,6aaba4bff9401178849e40aa6095e47d6050d22b,SOA-57: Fixed %ВідВартості usage (#28),35,0,False,,,0.0,0.0,0.0,0.0,0.0,35,0.028571,1.0,0,27,0,8,35,1
dracotrid__soa-analytics-dbt,2025-08-16T15:35:35,ab9516284582fda32b4b8b36e09875d467770915,SOA-70: Add warn tests for exfiltrated fields in parsed files,41,0,False,,,0.0,0.0,0.0,0.0,0.0,41,0.02439,1.0,0,33,0,8,41,1
dracotrid__soa-analytics-dbt,2025-09-16T18:42:10,ee8b6ab7f4e684b9879a5d058263bc6ea8d1156b,SOA-82: Hot fix parsed_service_sales,60,0,False,,,0.0,0.0,0.0,0.0,0.0,60,0.016667,1.0,0,38,0,22,60,1
dracotrid__soa-analytics-dbt,2025-10-18T20:36:38,6a7c431f8d6ceb295c4110d079b5bf4bf0d7bd24,SOA-96:Migrate Certificates to files,62,0,False,,,0.0,0.0,0.0,0.0,0.0,62,0.016129,1.0,0,40,0,22,62,1
dracotrid__soa-analytics-dbt,2025-11-16T13:00:33,e18852851ff3addc59429a53de57b38207c942b6,SOA-112: Fix discount for VIP (#61),63,0,False,,,0.0,0.0,0.0,0.0,0.0,63,0.015873,1.0,0,41,0,22,63,1
dracotrid__soa-analytics-dbt,2025-12-06T10:50:39,0892e85f1a6bd0603c8a1da87a09064821ed47f9,SOA-117: Fix bag in table ds_cleverbox__interm__bonus_goods_sales (#66),67,0,False,,,0.0,0.0,0.0,0.0,0.0,67,0.014925,1.0,0,42,0,25,67,1
dracotrid__soa-analytics-dbt,2025-12-29T17:53:56,feec13656ccdba85106ee1c73e4b40e11cd1876c,SOA-118: Create report 'Cleverbox incom check' (#69),68,0,False,,,0.0,0.0,0.0,0.0,0.0,68,0.014706,1.0,0,40,0,28,68,1
dracotrid__soa-analytics-dbt,2026-02-14T15:27:04,e96966bc6a70921df6007d9e7b2a65d007299e11,SOA-122 (#71),103,0,False,,,0.0,0.0,0.0,0.0,0.0,103,0.009709,1.0,0,62,0,41,103,1
dracotrid__soa-analytics-dbt,2026-03-08T17:40:02,a8e46d0bc6eafdfcaade4ac70ccbfc0af9e3c197,SOA-126: Add table 'Services' to dm_reports (#75),116,0,False,,,0.0,0.0,0.0,0.0,0.0,116,0.008621,1.0,0,69,0,47,116,1
dracotrid__soa-analytics-dbt,2026-04-03T15:10:44,a747abfc9b98c60b01f45e25c7c08d07730646ab,SOA-129: Change field is_first_visit on visit_number (#78),117,0,False,,,0.0,0.0,0.0,0.0,0.0,117,0.008547,1.0,0,70,0,47,117,1
dracotrid__soa-analytics-dbt,2026-05-03T09:57:37,20eb80ffa7965456db05fe93198a13e61865e764,SOA-130: Use base bonus for calculation bonus_cleverbox (#80),121,0,False,,,0.0,0.0,0.0,0.0,0.0,121,0.008264,1.0,0,72,0,49,121,1
dracotrid__soa-analytics-dbt,2026-06-12T20:16:08,62897c74b214dce6849498b9f8b3dd021c747273,"SOA-138: Add field ""Client_code"" to all tables (#89)",128,0,False,,,0.0,0.0,0.0,0.0,0.0,128,0.007812,1.0,0,75,0,53,128,1
dracotrid__soa-analytics-dbt,2026-07-15T14:24:40,a0a03e4b42f458ab2007bd6ba75ca5ef65d9a729,"SOA-141: Add field ""Goods_code"" to goods_sales (#93)",132,0,False,,,0.0,0.0,0.0,0.0,0.0,132,0.007576,1.0,0,76,0,56,132,1
dracotrid__soa-analytics-dbt,2026-08-03T18:11:53,e59c0c965da5316c18cdc7153c59343b1aa01bcc,SOA-144: Integrate Incorrect Visits into Report | Bonuses (#95),134,0,False,,,0.0,0.0,0.0,0.0,0.0,134,0.007463,1.0,0,77,0,57,134,1
