project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
duneanalytics__spellbook,2022-09-22T16:45:03,88b845dba0c0f58b11ca4a55aded904c1e7da589,temporarily removing ovm1 (#1610),180,219,False,0.5714285714285714,10,0.7909593043974057,0.0316195530308554,0.0014862305568202774,0.9005181042973976,0.35,24,0.822222,0.111111,0,0,0,180,180,1
duneanalytics__spellbook,2022-10-21T22:45:59,4e870b552e4f19467b67ce0b3f744190b8859599,Defiswap ethereum integration (#1760),294,353,False,0.9285714285714286,11,0.8129982818725927,0.018755852612413776,0.0006667883849145183,0.34896806752850573,0.3163265306122449,34,0.789116,0.085034,0,0,0,294,294,1
duneanalytics__spellbook,2022-11-22T15:01:11,30b766c4fc6fa25b09658476ec8f697d5c7e65d4,Remove TBTC due to price anomaly (#2052),392,469,False,1.0,13,0.8363036835613367,0.020317389142102706,0.0003441842443134594,0.9345165298208127,0.32908163265306123,52,0.793367,0.109694,0,0,0,392,392,1
duneanalytics__spellbook,2022-12-22T15:15:51,04393b131da281729f2d86a4ee760bf2245e5f3b,rename element base sources (#2354),537,579,False,0.8571428571428571,15,0.8860144131925383,0.02135932311673014,0.0002399500990545481,0.9448949923823009,0.28677839851024206,112,0.664804,0.171322,0,0,1,536,537,1
duneanalytics__spellbook,2023-01-20T11:51:14,05c73083ccc052bd34c565a97187c59d1f8be7ea,Add 0x zeroex Fantom (#2448),592,626,False,0.7857142857142857,16,0.9016807034664177,0.04581611497925343,0.0004404866565783715,0.5811130350194635,0.28885135135135137,137,0.638514,0.192568,0,0,1,591,592,1
duneanalytics__spellbook,2023-02-19T17:32:35,8f1bf80bc6f3627296959c109720d4d429e61b4b,[Easy] Fix Blur (#2740),707,719,False,0.9285714285714286,15,0.9197812480321934,0.04610355918319834,0.0003365033313478023,0.5626332218201187,0.26449787835926447,175,0.632249,0.213579,0,0,1,706,707,1
duneanalytics__spellbook,2023-03-21T15:39:29,b63642c74b580095eb7632c3ea6280ccfcc8c5b1,zeroex multi-chain api_fills deduped (#2958),891,928,False,0.9285714285714286,18,0.9270066424858986,0.041878936228621905,0.00022394508295207405,0.7780991116896426,0.2940516273849607,225,0.62963,0.210999,0,0,1,890,891,1
duneanalytics__spellbook,2023-04-21T03:03:12,300a4570970077eeeda2d46d724fbac3b1afdc0f,Add Sushiswap trades on BNB chain and Polygon (#2960),1109,1145,False,0.8571428571428571,20,0.9211106779515646,0.011498350742332665,5.5815926467542305e-05,0.969554864409408,0.29125338142470697,287,0.61587,0.22633,0,0,1,1108,1109,1
duneanalytics__spellbook,2023-05-18T16:56:43,7846dca0981664f0d40384827ddf76cec9e2ae35,lido accounting revenue fixes (#3361),1130,1107,False,0.8571428571428571,19,0.9425106574784625,0.011067691266172665,4.8329751948253275e-05,0.9697670950132151,0.27699115044247785,336,0.569027,0.261062,0,0,1,1129,1130,1
duneanalytics__spellbook,2023-06-19T21:36:14,45d544cebbf76b2295e8951cbec55c3ce1ac9ef0,remove unused models (#3568),1278,1177,False,0.9285714285714286,18,0.9493717547419184,0.01632137290932851,7.034949110718767e-05,0.7512883112604773,0.2347417840375587,401,0.550861,0.269171,0,0,1,1277,1278,1
