project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
elementary-data__dbt-data-reliability,2022-01-23T18:25:23,458d8c1b1129420e52eab84d0e4a4bad7181c5a9,documentation yml,7,6,False,0.7142857142857143,2,0.2571428571428571,0.2679491924311226,0.06070145647576512,0.27436208305927334,0.0,1,1.0,0.0,0,0,0,7,7,1,6,0,0,0,7,3,2,1.0,0.428571
elementary-data__dbt-data-reliability,2022-03-08T21:00:46,17ad5ff919dfb8403bdca9ae0cf179827ed0476a,improved performance for data monitoring,26,29,False,0.6428571428571429,5,0.4420814479638009,0.03815471278461877,0.006206110822345951,0.6673320481818956,0.19230769230769232,2,0.961538,0.038462,0,0,0,26,26,1,29,0,0,17,7,3,3,0.269231,0.115385
elementary-data__dbt-data-reliability,2022-03-20T14:05:51,697e71b8b56f6cb77d856b782b053a1d7cbedd41,replaced dbt_utils.dateadd with new timestamp_add to prevent casting issues,17,14,False,0.7857142857142857,2,0.5533769063180828,0.5857864376269046,0.12379124008768967,0.18181818181818285,0.11764705882352941,5,0.352941,0.117647,0,0,0,17,17,1,14,0,0,2,0,0,1,0.0,0.0
elementary-data__dbt-data-reliability,2022-05-08T15:16:10,4bac17eef0fa51915b790aeec640d2167f9e112e,"Added operational monitoring and enriched alerts, changed ID to be the test execution id",20,14,False,0.7142857142857143,2,0.6195652173913043,0.829913513373966,0.1851991806327452,0.2542669514443802,0.1,8,0.25,0.2,0,0,0,20,20,1,14,0,0,1,0,0,1,0.0,0.0
elementary-data__dbt-data-reliability,2022-05-30T15:08:20,19e4e3f9900d49b365c602eec57fda569c6d93b3,"feat: rename anomaly_threshold to sensitivity, update config var name",19,13,False,0.7142857142857143,2,0.631578947368421,0.829913513373966,0.1851991806327452,0.2542669520709889,0.10526315789473684,8,0.263158,0.263158,0,0,0,19,19,1,13,0,0,1,0,0,1,0.0,0.0
elementary-data__dbt-data-reliability,2022-07-07T18:37:09,785cbb7e36a7d363c9e877b0fedf208ab5d775be,Created a new model - model_run_results.,25,18,False,0.7142857142857143,2,0.6370370370370371,0.829913513373966,0.1851991806327452,0.2542669500028932,0.08,9,0.2,0.16,0,0,0,25,25,1,18,0,0,0,0,0,0,0.0,0.0
elementary-data__dbt-data-reliability,2022-08-05T15:46:53,fc7a249fa567d8f894aa74e51252181cd92cb066,databricks support for artifacts,19,9,False,0.7857142857142857,1,0.7602339181286549,1.0,0.25000000000000006,0.12010621932835369,0.0,10,0.210526,0.368421,0,0,0,19,19,1,9,0,0,0,0,0,0,0.0,0.0
elementary-data__dbt-data-reliability,2022-08-30T15:04:35,40501c1d34dffaec8db2bcf2d1f5a596f35eb0e8,trying to make databricks run table anomalies,21,12,False,0.7142857142857143,2,0.7083333333333334,0.585786437626905,0.12379124008768974,0.18181818181818277,0.047619047619047616,10,0.285714,0.333333,0,0,0,21,21,1,12,0,0,0,0,0,0,0.0,0.0
elementary-data__dbt-data-reliability,2022-10-04T11:40:40,96c203f8f94a44be2942ffef440f743f29b25750,Changed 'success' to 'pass'.,23,14,False,0.7142857142857143,2,0.6763285024154589,0.585786437626905,0.12379124008768974,0.1818181818181844,0.043478260869565216,10,0.26087,0.26087,0,0,0,23,23,1,14,0,0,0,21,0,4,0.913043,0.0
elementary-data__dbt-data-reliability,2022-11-04T12:37:05,1a53cabf285949f1319b69de88a1ccbd7027a5f8,Update models/edr/run_results/model_run_results.sql,24,14,False,0.7142857142857143,2,0.6898148148148148,0.585786437626905,0.12379124008768974,0.18181818181818285,0.041666666666666664,11,0.25,0.291667,0,0,0,24,24,1,14,0,0,0,21,0,4,0.875,0.0
elementary-data__dbt-data-reliability,2022-12-02T18:47:32,4d345bc8bd236bca459ba23caef2072488c58845,group by column and rs,25,15,False,0.7142857142857143,2,0.6736842105263158,0.585786437626905,0.12379124008768974,0.18181818181818354,0.04,11,0.24,0.24,0,0,0,25,25,1,15,0,0,0,22,0,4,0.88,0.0
