project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
fivetran__dbt_asana,2020-07-02T16:30:17,391519aa42b2217ca8d08d9fea9c9547650b95e9,added docs for daily metrics,19,24,False,0.7142857142857143,4,0.44298245614035087,0.36584818626702875,0.026032675280902275,0.6283075176328377,0.3157894736842105,1,1.0,0.0,0,13,0,6,19,1,24,0,0,0,19,19,2,1.0,1.0
fivetran__dbt_asana,2020-07-08T17:37:15,9c0b1f68ea4830d07c2f78ef38c9feb3e4114600,final changes,18,22,False,0.7142857142857143,3,0.4393939393939394,0.36988793769125394,0.02834260397125758,0.5954289704613576,0.2777777777777778,1,1.0,0.0,0,12,0,6,18,1,22,0,0,0,18,18,2,1.0,1.0
fivetran__dbt_asana,2020-10-29T10:36:10,7722904bc77d0d229ea3fe01238468c5eba5aae4,added coalesces,18,22,False,0.7142857142857143,3,0.4393939393939394,0.36988793769125394,0.02834260397125758,0.595429109560292,0.2777777777777778,1,1.0,0.0,0,12,0,6,18,1,22,0,0,0,18,18,2,1.0,1.0
fivetran__dbt_asana,2021-03-22T18:28:22,eb58d852c0c2109c0c4f2cd26adc9e89c14c6953,package updates,18,22,False,0.7142857142857143,3,0.4393939393939394,0.36988793769125466,0.028342603971257634,0.5954291083771492,0.2777777777777778,1,1.0,0.0,0,12,0,6,18,1,22,0,0,0,18,18,2,1.0,1.0
fivetran__dbt_asana,2022-09-19T09:20:38,e35e9f525d89f673334287f52653595ac81c7dfd,add some column descriptions,18,22,False,0.7142857142857143,3,0.4393939393939394,0.36988793769125466,0.028342603971257634,0.5954291410635707,0.2777777777777778,1,1.0,0.0,0,12,0,6,18,1,22,0,0,0,18,18,2,1.0,1.0
fivetran__dbt_asana,2022-10-13T15:42:58,d8a61a132b959f3e89b3dab954efb6a8d5f860e0,Updates for dbt-utils to dbt-core cross-db macro migration,18,22,False,0.7142857142857143,3,0.4393939393939394,0.36988793769125466,0.028342603971257634,0.5954289503606641,0.2777777777777778,1,1.0,0.0,0,12,0,6,18,1,22,0,0,0,18,18,2,1.0,1.0
fivetran__dbt_asana,2023-03-28T15:31:44,6afe6b27784fceb417fda4757e8d15ae07b78232,Got this working,18,22,False,0.7142857142857143,3,0.4393939393939394,0.36988793769125466,0.028342603971257634,0.5954289806447166,0.2777777777777778,1,1.0,0.0,0,12,0,6,18,1,22,0,0,0,18,18,2,1.0,1.0
fivetran__dbt_asana,2023-07-19T16:45:07,edfd31a73c81e4d8593c2608344faf043bb6453f,update changelog and regen docs,18,22,False,0.7142857142857143,3,0.4393939393939394,0.36988793769125466,0.028342603971257634,0.5954289954316223,0.2777777777777778,1,1.0,0.0,0,12,0,6,18,1,22,0,0,0,18,18,2,1.0,1.0
fivetran__dbt_asana,2023-07-20T00:48:22,dfaec2941b96e056e62e70bf6449accc71376e13,Update int_asana__task_projects.sql,18,22,False,0.7142857142857143,3,0.4393939393939394,0.36988793769125466,0.028342603971257634,0.5954291202168241,0.2777777777777778,1,1.0,0.0,0,12,0,6,18,1,22,0,0,0,18,18,2,1.0,1.0
fivetran__dbt_asana,2025-02-18T13:29:50,902af7e16cb6180296ca7d309edff2aa301f61f0,[Feature] Create option for customers to disable `tag` and `task_tag` source dependency models using variable configurat,18,22,False,0.7142857142857143,3,0.4393939393939394,0.36988793769125466,0.028342603971257634,0.5954291370129141,0.2777777777777778,1,1.0,0.0,0,12,0,6,18,1,22,0,0,0,18,18,2,1.0,1.0
fivetran__dbt_asana,2025-08-14T19:00:55,be5d6f189b348dc7588fdb8ec63fd56e82be1e05,Consolidate source + remove tests (#44),40,59,False,0.7857142857142857,5,0.36483050847457626,0.20902333526957603,0.014762263785765322,0.44154559886334804,0.5,1,1.0,0.0,22,12,0,6,40,1,59,0,0,0,29,27,4,0.725,0.675
fivetran__dbt_asana,2025-11-06T11:25:56,6b872e970492d218510657f0277457f86fa28b6c,feature/union-data (#48),40,59,False,0.7857142857142857,5,0.36483050847457626,0.20902333526957603,0.014762263785765322,0.44154381763917067,0.5,1,1.0,0.0,22,12,0,6,40,1,59,0,0,0,29,26,4,0.725,0.65
fivetran__dbt_asana,2026-06-22T19:40:46,3a3ef622ddddbe0f43d155c55f3f0e69b7189b63,Standardize unioning macros to use fivetran_utils versions (#56),40,59,False,0.7857142857142857,5,0.36483050847457626,0.20902333526957603,0.014762263785765322,0.4415437570435578,0.5,1,1.0,0.0,22,12,0,6,40,1,59,0,0,0,29,26,4,0.725,0.65
