project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
fivetran__dbt_pinterest_source,2020-08-16T16:10:33,6d73f760aa961a3253fa67340bd9dd2c70b34f30,Adding docs,4,0,True,,,,,,,,4,0.25,1.0,4,0,0,0,4,1
fivetran__dbt_pinterest_source,2020-11-16T14:04:38,53ebb0f5821aa634014b15eecd0c5a5e63c84188,best practices,8,4,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,4,0.25,0.0,8,0,0,0,8,1
fivetran__dbt_pinterest_source,2021-01-06T11:16:38,cdb0384e388f93211463aac92de717026a88633b,passthrough test,4,0,True,,,,,,,,4,0.25,1.0,4,0,0,0,4,1
fivetran__dbt_pinterest_source,2021-04-16T15:12:16,9c0568d5947aa512955595d1c53ee9c06b7eb368,Spark compatibility,8,4,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,4,0.25,0.0,8,0,0,0,8,1
fivetran__dbt_pinterest_source,2021-06-08T11:02:25,8a5acfd5fd4cb723838187f3a1e60c31006fe489,revert complexity variable update,8,4,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,4,0.25,0.0,8,0,0,0,8,1
fivetran__dbt_pinterest_source,2022-07-05T11:06:28,2f121f684c235f48e5e98789d615c89378281273,moving postgres back temporarily,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2022-07-20T14:21:58,14b521c15053a0e0ea73f80ede76c254c25c73e0,after review notes update and docs generation,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2022-08-30T13:43:17,81e33a3ab9cf2d244e9bbac219de7627ed5f46c4,updating date_trunc,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2022-10-13T16:02:32,b0441cd8cdb8ef49cd31a16fdc92574aa8eb3072,Updates for dbt-utils to dbt-core cross-db macro migration,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2022-10-26T16:20:09,50d757de546de9b45f60ec248970ee4bdefe2666,pr updates,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2023-02-16T10:01:02,dc1844c2464cf51164a5cd5def754ec6fb26a450,Update stg_pinterest_ads.yml,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2023-05-24T08:51:38,84be2fccc67fcb3bd0b87110d4e3dfe109fd3d1e,feature/keywords-variable-addition,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2023-07-14T14:59:26,493e8c3dd32dfac65b193349ca1aca73521477b9,update docs and rename seeds,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2023-09-06T15:03:26,eed902a039f4f2f03ccf707cfc0c7d5f1238eada,updates,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2023-10-09T16:25:44,00d7382ff24933b989d9581da98b3f487cf978dd,update variables,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2023-12-11T11:22:19,b44b6c883074a701ceadf80931443ef29c7d7c25,Update package to use the package extract_url_parameter macro,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2024-09-03T15:53:22,4d60143ba29f5ad3422009732e618d9a1965943a,cast all ids as strings for safe measure,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2024-09-20T15:41:35,d766f07e89922d2e20ef609aa5950b1840f5eaad,coalesce,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1
fivetran__dbt_pinterest_source,2025-04-30T07:38:16,c35c6380c853622eeeac231099c73f5705de33da,feature/geo-reports (#39),26,13,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,13,0.076923,0.0,26,0,0,0,26,1
fivetran__dbt_pinterest_source,2025-06-25T14:34:11,61e4647785fede487eb2992f6290671995963a4d,update freshness config (#40),26,13,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,13,0.076923,0.0,26,0,0,0,26,1
