project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
fivetran__dbt_recharge,2023-04-05T14:18:26,9cf58b202dc71256e93d850a849fb59938389e1f,updates,7,9,False,0.5714285714285714,2,0.3492063492063492,0.665585781661023,0.12477204701742711,0.44153298606262037,0.42857142857142855,1,1.0,0.0,0,3,0,4,7,1,9,0,0,0,0,0,1,0.0,0.0
fivetran__dbt_recharge,2023-04-26T15:03:31,2623b490f9ad66e78d7048a9eef4f863909ea5cd,regen docs,9,8,False,0.6428571428571429,3,0.49382716049382713,0.6638136896666731,0.12513781672724097,0.42087782384079997,0.2222222222222222,3,0.777778,0.222222,0,3,0,6,9,1,8,0,0,0,9,6,2,1.0,0.666667
fivetran__dbt_recharge,2023-05-30T17:22:45,28f1d8c3db9d37e566cbb75efda090724cb31e9f,api updates,9,8,False,0.6428571428571429,3,0.49382716049382713,0.6638136896666731,0.12513781672724097,0.4208777040208005,0.2222222222222222,3,0.777778,0.222222,0,3,0,6,9,1,8,0,0,0,9,6,2,1.0,0.666667
fivetran__dbt_recharge,2023-09-07T20:23:44,d28e6dd30665203f35e64a9e0c186a5ca67c02e1,feature/update-joins,9,8,False,0.6428571428571429,3,0.49382716049382713,0.6638136896666731,0.12513781672724097,0.4208778287734122,0.2222222222222222,3,0.777778,0.222222,0,3,0,6,9,1,8,0,0,0,9,6,2,1.0,0.666667
fivetran__dbt_recharge,2024-08-14T13:52:09,e9e85ff1a35447259e46e186f9900cdc294e8d02,Feature/cdm line item (#17),10,8,False,0.6428571428571429,3,0.5444444444444444,0.6638136896666731,0.12513781672724097,0.42087781970526317,0.2,4,0.7,0.3,0,3,0,7,10,1,8,0,0,0,10,7,3,1.0,0.7
fivetran__dbt_recharge,2025-04-04T16:57:16,fc2760ddc0e6dfcf13182a940f8228df5529550c,update charge line item history model,10,8,False,0.6428571428571429,3,0.5444444444444444,0.6638136896666731,0.12513781672724097,0.42087783626929565,0.2,4,0.7,0.3,0,3,0,7,10,1,8,0,0,0,10,7,3,1.0,0.7
fivetran__dbt_recharge,2025-05-28T14:25:11,67f51c3aedb143edb57da30b5b8a2427e58f487e,features/enable-std-billing-model (#28),10,8,False,0.6428571428571429,3,0.5444444444444444,0.6638136896666731,0.12513781672724097,0.42087770320907647,0.2,4,0.7,0.3,0,3,0,7,10,1,8,0,0,0,10,7,3,1.0,0.7
fivetran__dbt_recharge,2025-07-14T15:38:18,e93c3bed8605ee0cc749d43f9617264648e487d9,bugfix/is-prepaid-fix (#31),10,8,False,0.6428571428571429,3,0.5444444444444444,0.6638136896666731,0.12513781672724097,0.42087783445472476,0.2,4,0.7,0.3,0,3,0,7,10,1,8,0,0,0,10,7,3,1.0,0.7
fivetran__dbt_recharge,2025-08-14T17:22:35,a28ec5c9087f682998fe1a0474d0ff9c601b18e3,Consolidate source + remove tests (#34),44,45,False,0.6428571428571429,5,0.5345246356696738,0.16771277464622367,0.019028578494014577,0.5724820313861663,0.18181818181818182,7,0.727273,0.0,34,3,0,7,44,1,45,0,0,0,27,21,5,0.613636,0.477273
fivetran__dbt_recharge,2025-09-10T11:22:17,a1698b74ee08eb730da3de4dfd4bcb71898c251a,update/order-source-sunset (#35),44,45,False,0.6428571428571429,5,0.5345246356696738,0.16771277464622367,0.019028578494014577,0.5724820995140011,0.18181818181818182,7,0.727273,0.0,34,3,0,7,44,1,45,0,0,0,27,21,5,0.613636,0.477273
fivetran__dbt_recharge,2025-11-11T15:28:16,1d585e769fee49137e84fd80257d819654d94644,feature/union-data (#41),44,46,False,0.7857142857142857,6,0.5378787878787878,0.1996200980159139,0.022640941596388877,0.5145202532884952,0.20454545454545456,7,0.727273,0.0,34,3,0,7,44,1,46,0,0,0,27,21,5,0.613636,0.477273
fivetran__dbt_recharge,2026-06-22T19:54:24,d50142fbefdd38bd8f5110bdf4731ac080b48fcb,Standardize unioning macros to use fivetran_utils versions (#49),44,46,False,0.7857142857142857,5,0.5408407382091592,0.2058805303356332,0.022845257366892895,0.4965826476481571,0.20454545454545456,7,0.727273,0.0,34,3,0,7,44,1,46,0,0,0,27,21,5,0.613636,0.477273
