project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
fivetran__dbt_recurly,2022-10-12T18:49:33,f803e3649609e4bc5fd28d5bde0cb74a5c0f7f5d,syntax,10,14,False,0.6428571428571429,3,0.5580645161290323,0.3959041083298203,0.061088585867426506,0.65282219824832,0.5,1,1.0,0.0,0,4,0,6,10,1,14,0,0,0,10,6,1,1.0,0.6
fivetran__dbt_recurly,2022-10-31T20:59:39,294cee0ed7f71a3b29d1facb79403da0e7fe8e25,Buildkite integration and dbt package compatibility updates,10,14,False,0.6428571428571429,3,0.5580645161290323,0.3959041083298203,0.061088585867426506,0.6528222139753513,0.5,1,1.0,0.0,0,4,0,6,10,1,14,0,0,0,10,6,1,1.0,0.6
fivetran__dbt_recurly,2022-12-28T18:00:06,f013aeb6a7d1b580f3dae18e2135d8398bd41684,Generate docs + update dbt_utils macros,12,16,False,0.5714285714285714,4,0.5398550724637681,0.3718272518529032,0.05678443844049691,0.6979405835585909,0.4166666666666667,1,1.0,0.0,0,6,0,6,12,1,16,0,0,0,12,6,1,1.0,0.5
fivetran__dbt_recurly,2023-03-10T14:06:08,298c74298cfee34a532be09cc3a044307a94eaf8,"Update current_timestamp_backcompat macro, update changelog, regen docs",12,16,False,0.5714285714285714,4,0.5398550724637681,0.3718272518529032,0.05678443844049691,0.6979406036269065,0.4166666666666667,1,1.0,0.0,0,6,0,6,12,1,16,0,0,0,12,6,1,1.0,0.5
fivetran__dbt_recurly,2024-05-30T16:38:20,8efa48162ed2a20f8ba203f4ba88de3cd007b8c6,naming and ordering,13,16,False,0.5714285714285714,4,0.5752508361204013,0.3718272518529032,0.05678443844049691,0.6979408724266696,0.38461538461538464,2,0.923077,0.076923,0,6,0,7,13,1,16,0,0,0,12,6,1,0.923077,0.461538
fivetran__dbt_recurly,2024-06-21T10:49:16,6d439ce6cf6cab9f9b2ce14e58b6da8c67ae6574,concat addition,13,16,False,0.5714285714285714,4,0.5752508361204013,0.3718272518529032,0.05678443844049691,0.6979408555513557,0.38461538461538464,2,0.923077,0.076923,0,6,0,7,13,1,16,0,0,0,12,6,1,0.923077,0.461538
fivetran__dbt_recurly,2024-08-06T14:16:40,b1dbf91e87a193c7ab790a03bc66fe7cd242fc21,disable by default and documentation updates,13,16,False,0.5714285714285714,4,0.5752508361204013,0.3718272518529032,0.05678443844049691,0.6979408517689821,0.38461538461538464,2,0.923077,0.076923,0,6,0,7,13,1,16,0,0,0,13,7,2,1.0,0.538462
fivetran__dbt_recurly,2025-05-28T14:25:21,ebb30efa28c902db48b676bd7b18939a6c0aea8d,Features/enable std billing model (#33),13,16,False,0.5714285714285714,4,0.5752508361204013,0.3718272518529032,0.05678443844049691,0.6979408438722415,0.38461538461538464,2,0.923077,0.076923,0,6,0,7,13,1,16,0,0,0,13,7,2,1.0,0.538462
fivetran__dbt_recurly,2025-08-14T19:15:40,dd8415a0dbecfc3b1f886cc3c43cc1491118f8de,Consolidate source + remove tests (#37),49,47,False,0.7142857142857143,5,0.6624442880600516,0.3191369124358373,0.034118808853496135,0.39856399753768224,0.22448979591836735,13,0.510204,0.0,36,6,0,7,49,1,47,0,0,0,31,24,4,0.632653,0.489796
fivetran__dbt_recurly,2025-11-12T13:12:24,bd6195ff5b6ed5318fac2e6c81215ec63ee01a27,feature-union-data (#40),49,47,False,0.7142857142857143,5,0.6624442880600516,0.3191369124358373,0.034118808853496135,0.3985645314019295,0.22448979591836735,13,0.510204,0.0,36,6,0,7,49,1,47,0,0,0,31,23,4,0.632653,0.469388
fivetran__dbt_recurly,2026-03-13T13:16:21,8e49f280be5090f2938a8d9ab4abf3ba508b9568,Datatype numeric/float update (#45),49,47,False,0.7142857142857143,5,0.6624442880600516,0.3191369124358373,0.034118808853496135,0.39856405079433416,0.22448979591836735,13,0.510204,0.0,36,6,0,7,49,1,47,0,0,0,31,23,4,0.632653,0.469388
fivetran__dbt_recurly,2026-06-22T19:55:03,b8b545c7fe0e2078a6c946b20c0ed01d5905e332,Standardize unioning macros to use fivetran_utils versions (#47),49,47,False,0.7142857142857143,5,0.6624442880600516,0.3191369124358373,0.034118808853496135,0.3985645511053102,0.22448979591836735,13,0.510204,0.0,36,6,0,7,49,1,47,0,0,0,31,23,4,0.632653,0.469388
