project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
fivetran__dbt_sage_intacct,2022-03-03T12:46:27,bee915f354839d8261c8f30cd8745c716f367851,cleanup,8,7,False,0.6428571428571429,2,0.5,0.3403209584817712,0.07303527892146124,0.2686552486744011,0.125,2,0.875,0.125,0,3,0,5,8,1,7,0,0,0,0,0,1,0.0,0.0
fivetran__dbt_sage_intacct,2022-03-31T22:53:05,c05d28163d1a157692b61ecf17bddcbf9fe02dd9,feat(sage_intacct__using_invoices): new var,8,7,False,0.6428571428571429,2,0.5,0.3403209584817712,0.07303527892146124,0.26865525038184485,0.125,2,0.875,0.125,0,3,0,5,8,1,7,0,0,0,8,2,1,1.0,0.25
fivetran__dbt_sage_intacct,2022-04-21T11:59:03,daba9951032f0388def2a3ba481b0f5e2d088ad3,move retained earnings away to other branch,8,7,False,0.6428571428571429,2,0.5,0.3403209584817712,0.07303527892146124,0.26865524941095364,0.125,2,0.875,0.125,0,3,0,5,8,1,7,0,0,0,8,5,1,1.0,0.625
fivetran__dbt_sage_intacct,2022-05-13T14:24:26,c94f571e5eaeb65a153c58778f3e21d63a871eb5,add retaiend earnings to yml,9,9,False,0.7857142857142857,2,0.5042735042735043,0.3030415357144462,0.05732557620709403,0.32197536673756927,0.2222222222222222,2,0.888889,0.111111,0,4,0,5,9,1,9,0,0,0,9,5,1,1.0,0.555556
fivetran__dbt_sage_intacct,2022-10-13T16:04:11,d64516bce63e34e56e6bb2525e2211449614f309,Updates for dbt-utils to dbt-core cross-db macro migration,9,9,False,0.7857142857142857,2,0.5042735042735043,0.3030415357144462,0.05732557620709403,0.32197536668647103,0.2222222222222222,2,0.888889,0.111111,0,4,0,5,9,1,9,0,0,0,9,5,1,1.0,0.555556
fivetran__dbt_sage_intacct,2023-06-06T16:33:39,a9265b1b4df27d424fd30ba58527aa6539a6ac23,add null to coalesce,9,9,False,0.7857142857142857,2,0.5042735042735043,0.3030415357144462,0.05732557620709403,0.32197536661855997,0.2222222222222222,2,0.888889,0.111111,0,4,0,5,9,1,9,0,0,0,9,5,1,1.0,0.555556
fivetran__dbt_sage_intacct,2023-12-01T10:17:53,26852e05043ff34ae73a8b6640410249d097d23d,final updates and docs generation,10,10,False,0.7142857142857143,2,0.4696969696969697,0.259912455922661,0.04802939738365788,0.35783011085602334,0.2,2,0.9,0.1,0,5,0,5,10,1,10,0,0,0,10,5,1,1.0,0.5
fivetran__dbt_sage_intacct,2024-05-15T14:33:40,241050f77b95f5dd49d2d4fa1b8e98718e745458,Bugfix/union data type comp (#22),10,10,False,0.7142857142857143,2,0.4696969696969697,0.259912455922661,0.04802939738365788,0.35783011164256584,0.2,2,0.9,0.1,0,5,0,5,10,1,10,0,0,0,10,5,1,1.0,0.5
fivetran__dbt_sage_intacct,2024-07-29T20:54:14,7b73bf9e57df54f1ce420b46951cfbdb913a6468,Update the datespine model to handle empty general ledger table,10,10,False,0.7142857142857143,2,0.4696969696969697,0.259912455922661,0.04802939738365788,0.3578301116214159,0.2,2,0.9,0.1,0,5,0,5,10,1,10,0,0,0,10,5,1,1.0,0.5
fivetran__dbt_sage_intacct,2025-02-04T03:23:40,b323600405319e93807b2d33c576b636985965ce,Final PR changes,10,10,False,0.7142857142857143,2,0.4696969696969697,0.259912455922661,0.04802939738365788,0.3578301113856814,0.2,2,0.9,0.1,0,5,0,5,10,1,10,0,0,0,10,5,1,1.0,0.5
fivetran__dbt_sage_intacct,2025-08-14T19:08:17,c8a91afd085dfb9ffb29f47db81a0bf82676cbfd,Consolidate source + remove tests (#37),24,24,False,0.7142857142857143,4,0.4565972222222222,0.13362306146813563,0.024071152704798267,0.41534727419762724,0.08333333333333333,2,0.625,0.0,14,5,0,5,24,1,24,0,0,0,17,9,3,0.708333,0.375
fivetran__dbt_sage_intacct,2025-11-06T15:32:27,8baf748af96776afec8ce311ebc45fbeb0c8fdd2,feature/union_data (#38),24,24,False,0.7142857142857143,4,0.4565972222222222,0.13362306146813563,0.024071152704798267,0.4153472812172977,0.08333333333333333,2,0.625,0.0,14,5,0,5,24,1,24,0,0,0,17,9,3,0.708333,0.375
fivetran__dbt_sage_intacct,2026-06-22T19:55:57,b3aa7165e419065a75820b248fd46954bb20973c,Standardize unioning macros to use fivetran_utils versions (#43),24,24,False,0.7142857142857143,4,0.4565972222222222,0.13362306146813563,0.024071152704798267,0.41534726249853693,0.08333333333333333,2,0.625,0.0,14,5,0,5,24,1,24,0,0,0,17,9,3,0.708333,0.375
