project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
fivetran__dbt_salesforce_source,2020-05-08T09:46:16,8b6bc8fb97479a3029989134269805ffc9d3ef7a,initial models,4,0,True,,,,,,,,4,0.25,1.0,4,0,0,0,4,1
fivetran__dbt_salesforce_source,2020-10-23T11:16:16,3ed7952d471626e4128b8eae8c690252239aa05c,file structure clean up,4,0,True,,,,,,,,4,0.25,1.0,4,0,0,0,4,1
fivetran__dbt_salesforce_source,2020-11-30T13:01:27,b1e1c2be173c1494e436d6a36879c80ebd12f995,post review changes,8,4,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,4,0.25,0.0,8,0,0,0,8,1
fivetran__dbt_salesforce_source,2021-05-28T17:54:05,4e2c394154b1d36db27028fb1231b22e3a3899f0,dbt run -m stg_salesforce__item,12,6,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,6,0.166667,0.0,12,0,0,0,12,1
fivetran__dbt_salesforce_source,2021-06-04T15:10:54,993ec028e14ecfb338c19cdf7cf83b96e36def59,Subscription units c (#5),14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1
fivetran__dbt_salesforce_source,2021-08-12T13:48:16,a6f268e232331e88a8a7b5802261f1ccf759bdec,final review notes,8,4,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,4,0.25,0.0,8,0,0,0,8,1
fivetran__dbt_salesforce_source,2021-10-04T14:37:58,667aec5a3376b175d91ebeb03fb20f3129bf3966,Merge branch 'master' of https://github.com/fivetran/dbt_salesforce_source into fivetran-master,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1
fivetran__dbt_salesforce_source,2022-01-20T09:23:09,8cc21a4995c0096436f3ac45ea5224ccda133447,type numeric,8,4,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,4,0.25,0.0,8,0,0,0,8,1
fivetran__dbt_salesforce_source,2022-01-26T15:17:43,51b8ca45f0004f6309fbd8ae56cc29fe0ad547a9,added user role test to circleci,8,4,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,4,0.25,0.0,8,0,0,0,8,1
fivetran__dbt_salesforce_source,2022-03-02T08:32:20,7424b8edd8520b909ba5687bd5804cff7e1c3ab7,bugfix/timestamp_cast,8,4,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,4,0.25,0.0,8,0,0,0,8,1
fivetran__dbt_salesforce_source,2022-06-23T14:07:52,06c3e7ec427ece47e99624237360d0909e86c8ae,update columns,22,11,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,11,0.090909,0.0,22,0,0,0,22,1
fivetran__dbt_salesforce_source,2022-06-30T16:28:11,35aff4f2802a40687336dd5e646c5e06d0d39dfe,add enable/disable configs,22,11,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,11,0.090909,0.0,22,0,0,0,22,1
fivetran__dbt_salesforce_source,2022-10-17T10:40:57,809877c98aea15e84289fefcf176ca76c961e09d,Updates for dbt-utils to dbt-core cross-db macro migration,22,11,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,11,0.090909,0.0,22,0,0,0,22,1
fivetran__dbt_salesforce_source,2022-10-25T17:01:16,841aaf4716bd53e1e62c84e3750e4fffe42bcabf,jm review updates,22,11,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,11,0.090909,0.0,22,0,0,0,22,1
fivetran__dbt_salesforce_source,2023-04-30T22:27:49,e7b272cf81ba73839920aca61dc7ef0b41dd62b3,get updated,22,11,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,11,0.090909,0.0,22,0,0,0,22,1
fivetran__dbt_salesforce_source,2023-09-06T13:26:15,1a82a3bb18ba4669368a93fa467493d90b089912,"update seed files, regen docs",38,19,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,19,0.052632,0.0,38,0,0,0,38,1
fivetran__dbt_salesforce_source,2023-10-16T00:38:20,1625140585f691c91c4ddbdc72181596ad53a07c,"update with filter variables, documetnation updates",42,21,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,21,0.047619,0.0,42,0,0,0,42,1
fivetran__dbt_salesforce_source,2023-10-29T22:29:05,e4e3ba65427b2cab708f6aaaae608d2b406a751c,review/jm-final-adjustments,14,0,False,,,0.0,0.0,0.0,0.0,0.0,14,0.071429,1.0,14,0,0,0,14,1
fivetran__dbt_salesforce_source,2024-04-15T09:27:16,22b744c8514a35b3c9bb570158265cd76c3b6202,add missing salesforce_history src version tag (#44),14,0,False,,,0.0,0.0,0.0,0.0,0.0,14,0.071429,1.0,14,0,0,0,14,1
fivetran__dbt_salesforce_source,2024-07-15T09:38:54,197838b81810a58bba5215a93e47d55fd65df075,Bug/renamed columns option3 (#48),14,0,False,,,0.0,0.0,0.0,0.0,0.0,14,0.071429,1.0,14,0,0,0,14,1
fivetran__dbt_salesforce_source,2025-06-26T11:02:24,e3ed6add3f7e75adc6195dd6f30e7355ab4dc869,feature/freshness-updates (#57),14,0,False,,,0.0,0.0,0.0,0.0,0.0,14,0.071429,1.0,14,0,0,0,14,1
