project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
fivetran__dbt_tiktok_ads_source,2021-11-24T16:43:46,6c964833018ea66df07a83c2585cc9a5f739a340,fix adgroup,20,10,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,10,0.1,0.0,20,0,0,0,20,1,10,0,0,0,10,10,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2021-12-17T15:39:45,eeb873c5d35f16992dc68574d0ec06baa4b6b535,update ymls,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2022-01-06T13:45:42,29df2a078ef429739b1ba76cf529ae61746b6fcd,remove white space,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2022-08-01T20:07:06,1bba2adcaa60ba8de73e9568ae3511e62ef18443,formatting,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2022-08-26T15:04:29,16e8ce0075f88edd2dd8cb7994c022484f832881,additional before merge updates and corrections,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2022-10-25T12:06:06,05bd6a3846f406a6e1908dd4286e39118f98fe66,jm review and docs regen,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2023-07-24T11:45:47,907606f5959da0a8b84e84f3479d3feb58954f59,PR fixes,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2023-09-15T16:33:33,ce5295599df73be48857c4c9bb6b4582dc7077fd,update adgroups,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2023-09-29T16:38:34,b4b7b654773c360a7f6dcceff73289d5d9f69b20,update identifiers,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2023-12-11T12:42:09,96e091af1bc5e99399f2f231817f773d4fb56275,Update package to use the package extract_url_parameter macro,14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2024-10-21T15:05:15,ef98cc3c72560681d7fde260bd353a44769e078a,[Feature] Add conversion metrics (#23),14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2024-12-09T17:50:31,389c54970d35aefeb4d08680ac4ad6af227f6418,feature/remove-age (#28),14,7,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,7,0.142857,0.0,14,0,0,0,14,1,7,0,0,0,7,7,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2025-04-30T07:01:02,4a6b699cb3e834e14eea32c2b413bc9c68554678,feature/country-report (#30),16,8,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,8,0.125,0.0,16,0,0,0,16,1,8,0,0,0,8,8,2,0.5,0.5
fivetran__dbt_tiktok_ads_source,2025-06-17T15:17:56,129d4e683c9026e028696493aaf6c0871583e9c5,Feature/update freshness config (#31),16,8,False,0.9285714285714286,1,0.5,2.0,1.0,0.0,0.0,8,0.125,0.0,16,0,0,0,16,1,8,0,0,0,8,8,2,0.5,0.5
