project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
gnosischain__dbt-cerebro,2024-09-25T11:34:52,f90c1ce6b53b525bd1e92df64a1b90ce9182aec7,Configs,18,7,False,0.7857142857142857,1,0.6574074074074074,0.9999999999999999,0.14285714285714285,0.20640693661403267,0.0,11,0.388889,0.5,0,0,0,18,18,1
gnosischain__dbt-cerebro,2024-10-23T11:18:02,cc504db50a843b9918f44c8e0943247a4edfb95f,add grafana dashboards,25,11,False,0.7857142857142857,1,0.6776470588235294,0.9999999999999999,0.14285714285714285,0.23440905113495594,0.0,14,0.28,0.44,0,0,0,25,25,1
gnosischain__dbt-cerebro,2024-11-02T13:39:56,02a41ce33327aaf33d30cb4e5a42af915cc789ce,models updated,11,5,False,0.7857142857142857,1,0.8363636363636363,1.0,0.25,0.12546387155400143,0.0,6,0.363636,0.363636,0,0,0,11,11,1
gnosischain__dbt-cerebro,2025-04-17T20:32:20,3182778241687bc6139500450c625aab879ff413,update: new models. fix incremental macro,21,17,False,0.7857142857142857,2,0.6666666666666666,0.14943000726744113,0.01860635724328274,0.5165811402794371,0.0,4,0.619048,0.047619,0,0,0,21,21,1
gnosischain__dbt-cerebro,2025-05-21T21:42:50,f2c01eaf78536025844c5c98aab6e870854c8452,add circles contracts,41,19,False,0.7857142857142857,2,0.7907573812580231,0.14943000726744216,0.01860635724328287,0.5165811402809873,0.0,22,0.317073,0.439024,0,0,0,41,41,1
gnosischain__dbt-cerebro,2025-06-06T12:08:20,8bca48b94197cc6b3cef92905da22f539d51ad61,new models. dbt docs,55,21,False,0.7857142857142857,2,0.8363636363636363,0.13648343079672726,0.016973079385213405,0.5236567337230141,0.0,34,0.254545,0.527273,0,0,0,55,55,1
gnosischain__dbt-cerebro,2025-08-22T17:39:15,58bea6699306cf8e8ad9bffed36cb82050d2fdc6,update models and decoding,132,109,False,0.8571428571428571,7,0.7624807395993837,0.02558928429550013,0.0027441485988241453,0.6773927266186098,0.08333333333333333,34,0.484848,0.159091,29,29,55,19,132,1
gnosischain__dbt-cerebro,2025-09-04T08:45:40,358247819ccb97522aca8f243d0e52d78cab4137,update esg model and ymls,178,145,False,0.6428571428571429,8,0.803475016155594,0.026739444255535944,0.002215348255746256,0.8232650774470398,0.10112359550561797,51,0.460674,0.202247,26,39,75,38,178,1
gnosischain__dbt-cerebro,2025-10-23T12:23:45,e5521fb7a01b1162c05bc01df08d13e502ed3b92,in to fct,231,201,False,0.7142857142857143,7,0.8117084868083536,0.0265032549753389,0.002195780056841314,0.8279979361700377,0.09090909090909091,51,0.359307,0.151515,29,45,119,38,231,1
gnosischain__dbt-cerebro,2025-11-21T11:06:27,e44b1fe4b9a4d5c11b2af2b8ced17825ddaf7e0f,add daily token value table,249,216,False,0.7857142857142857,8,0.8160621488578987,0.031053299167857033,0.002878620057114409,0.8061775590847877,0.08433734939759036,54,0.2249,0.144578,31,49,131,38,249,1
gnosischain__dbt-cerebro,2025-12-18T14:40:25,0371331238ab1a296dde0f9503838b8d7beb46ae,incremental fixed,259,228,False,0.7857142857142857,9,0.8076664665991812,0.020032393210187235,0.0018569892042983025,0.7951840679717068,0.08494208494208494,53,0.258687,0.135135,31,51,139,38,259,1
gnosischain__dbt-cerebro,2026-01-21T15:26:43,cfb95b12f4e2db093124e8da7638ece9ba35f8fd,enforce whitelist version windows,285,256,False,0.7857142857142857,9,0.8133023321355598,0.03441630783803967,0.0026277571968270574,0.7185998486823042,0.0912280701754386,55,0.284211,0.119298,35,55,151,44,285,1
gnosischain__dbt-cerebro,2026-02-13T15:09:13,5d56a12f4abc1405a883b664f95ee429939973b6,prepare modelss for unit toggle,338,324,False,0.7142857142857143,11,0.8424049606873633,0.02113678971900977,0.0014660024145031689,0.8989087976494993,0.11538461538461539,53,0.440828,0.100592,34,61,199,44,338,1
gnosischain__dbt-cerebro,2026-03-19T15:29:07,b30d166c6f15e4a88e80b3869bda18ae502771c9,LVR,417,428,False,0.9285714285714286,12,0.8699876855272539,0.017102821482704724,0.0007393630555834017,0.4339199076672089,0.15347721822541965,53,0.546763,0.081535,36,73,263,45,417,1
gnosischain__dbt-cerebro,2026-04-21T13:49:39,668539bb8f938a0a124e941aed7f911b34211313,add trades models,692,770,False,0.9285714285714286,14,0.8685836851658928,0.017132555829480183,0.0007403399811077811,0.8234778350785171,0.23699421965317918,86,0.680636,0.095376,57,139,399,97,692,1
gnosischain__dbt-cerebro,2026-05-21T14:47:43,eee63889313594ab16d3e070b0e229ee8ee6f7d5,move old vs new eure mapping into ubo directly,1032,1254,False,0.7142857142857143,18,0.8886548672512069,0.020748478451841766,0.000754695351681055,0.15904547861400323,0.3071705426356589,95,0.790698,0.069767,59,221,650,102,1032,1
gnosischain__dbt-cerebro,2026-06-19T02:30:08,267e04bf382d12af8dcbab5d503b399ac03f6c7f,fix: insert_overwrite,1076,1434,False,0.7857142857142857,18,0.9096162398630364,0.02267956759518237,0.0006291885853772598,0.6302994287923995,0.4163568773234201,90,0.80948,0.067844,59,241,673,103,1076,1
gnosischain__dbt-cerebro,2026-07-18T22:22:15,9fab7917baf6b71efa82415b5eeb49de041a2b8b,"agent-ready hardening: schema-v2 context accuracy, staged-strategy/api-naming/meta gates with ratchets, run_all two-tier",1247,1709,False,0.8571428571428571,21,0.9116137645542589,0.02306951523862191,0.0006226497714924875,0.595648932368175,0.4450681635926223,93,0.789094,0.059342,75,267,798,107,1247,1
