project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
google__fhir-dbt-analytics,2022-10-18T16:25:46,2e9d2d34898d954be6480e1af11538eba9109156,Initial commit,79,83,False,0.6428571428571429,20,0.9009009009009009,0.26794919243112325,0.005952349966761604,0.07947122152739226,0.08860759493670886,3,0.886076,0.012658,0,0,0,79,79,1
google__fhir-dbt-analytics,2022-12-16T08:20:28,73af566cadcbf5890db19d997ff51ec772cd9289,Use `ref` in fhir_resource_table_expression,79,105,False,0.7142857142857143,16,0.742879746835443,0.340489923127655,0.0075638017784304444,0.12574006843778435,0.3670886075949367,3,0.886076,0.012658,0,0,0,79,79,1
google__fhir-dbt-analytics,2023-01-13T09:27:19,7a3b7706f6c86b7d862856760aff96a1adc83f62,Add MedicationDispense to available fhir resources,148,206,False,0.7857142857142857,14,0.872999212805038,0.2860326418104172,0.0060752515206876,0.3063373645273725,0.43243243243243246,6,0.939189,0.027027,0,0,0,148,148,1
google__fhir-dbt-analytics,2023-02-13T06:41:09,4703b0cfa37c6620db1a84fdccc9c6f99338d43d,Update metric views,150,206,False,0.7857142857142857,14,0.8746925566343042,0.2860326418104172,0.0060752515206876,0.30633745218015246,0.4266666666666667,8,0.926667,0.04,0,0,0,150,150,1
google__fhir-dbt-analytics,2023-03-15T08:05:04,509f4d61e0a4fec62beec3920d3e38040e1eeb0a,Add 14 data completeness metrics,179,205,False,0.9285714285714286,13,0.8850797111323069,0.09308621194598422,0.0019773886770319063,0.8748949348938168,0.18994413407821228,8,0.921788,0.03352,0,0,0,179,179,1
google__fhir-dbt-analytics,2023-04-13T08:07:55,88f9fc8f8f22982eed7dd18a4dfc4f99ffd32e46,Spark: Replace SAFE_OFFSET by macro,193,219,False,0.9285714285714286,13,0.8932737123524263,0.08762685956779737,0.0018610434116853518,0.8719334230945356,0.18134715025906736,9,0.917098,0.036269,0,0,0,193,193,1
google__fhir-dbt-analytics,2023-05-06T03:26:56,a6af886d13c45eec733f583aa261f6686a327da9,Modify patient_missing_mrn and patient_testpatient for Spark,220,262,False,0.8571428571428571,13,0.9052394170714781,0.1366720283180401,0.0029004888781535526,0.963515045158626,0.2318181818181818,9,0.927273,0.031818,0,0,0,220,220,1
google__fhir-dbt-analytics,2023-05-24T15:46:57,6b762e03bd8ccd2b52038035fbf7130dcdcad5b2,Fix https://github.com/google/fhir-dbt-analytics/issues/2 by updating dbt_utils to 1.0.0,220,262,False,0.8571428571428571,13,0.9052394170714781,0.1366720283180401,0.0029004888781535526,0.9635149829273782,0.2318181818181818,9,0.927273,0.031818,0,0,0,220,220,1
google__fhir-dbt-analytics,2023-07-14T09:36:46,d315865d30925a268d90e2dd06796fbbc2cb53eb,Add get_column_or_default wrapper around serviceProvider field,220,262,False,0.8571428571428571,13,0.9052394170714781,0.1366720283180401,0.0029004888781535526,0.9635178389502341,0.2318181818181818,9,0.927273,0.031818,0,0,0,220,220,1
google__fhir-dbt-analytics,2023-08-04T08:59:07,e0d3c5a7e9f0fd9a87ab082a87b9e21cd01e9650,Add Apache License to all files,220,262,False,0.8571428571428571,13,0.9052394170714781,0.1366720283180401,0.0029004888781535526,0.9635149675952795,0.2318181818181818,9,0.927273,0.031818,0,0,0,220,220,1
google__fhir-dbt-analytics,2023-09-07T17:51:35,c2a08610a5d6c3759e1e5e6ade2b09290f2bb240,Corrects date column for Coverage view,222,265,False,0.7857142857142857,13,0.9053374128845827,0.1366539495694089,0.002782690728628674,0.9635967043263223,0.23423423423423423,9,0.927928,0.031532,0,0,0,222,222,1
google__fhir-dbt-analytics,2023-10-13T13:40:42,f432b12963bb336f412638aa4c92cda0f5bb64d6,Patient panel condition model fix,233,284,False,0.7142857142857143,14,0.8934594692619234,0.1360851044843243,0.0027708906505788753,0.9695110087823187,0.2575107296137339,9,0.93133,0.030043,0,0,0,233,233,1
google__fhir-dbt-analytics,2023-10-30T09:50:54,b7e604495c4aead55555a17fda87ae8d9f80f6cb,Various clean-ups and simplifications,213,238,False,0.6428571428571429,14,0.9305252485177103,0.09594699877610496,0.003600594939687931,0.6539833152680791,0.1596244131455399,9,0.924883,0.032864,0,0,0,213,213,1
google__fhir-dbt-analytics,2023-11-22T08:12:22,148a3d82d8891ef6daa8445bdd498c646e18bef0,Update fhir_dbt_analytics to read from fhir_dbt_utils package,187,28,False,0.7142857142857143,3,0.9247375717963954,0.23194834090005884,0.028365481032308296,0.4693113734929937,0.03208556149732621,165,0.080214,0.871658,0,0,0,187,187,1
google__fhir-dbt-analytics,2024-01-12T04:36:11,5959606f911af83157f77ee1774dfbb1bdd2ea85,"Turn ""print_why_metric_empty"" on by default because it's quite useful to see which metrics are ignored. Also mark two me",187,28,False,0.7142857142857143,3,0.9247375717963954,0.23194834090005884,0.028365481032308296,0.4693113719829953,0.03208556149732621,165,0.080214,0.871658,0,0,0,187,187,1
google__fhir-dbt-analytics,2024-12-10T09:17:49,80414cad9779ebe483f5feb4171fdc3b2464767b,Fix incorrect references in patient panel models,187,28,False,0.7142857142857143,3,0.9247375717963954,0.23194834090005884,0.028365481032308296,0.4693113733516352,0.03208556149732621,165,0.080214,0.871658,0,0,0,187,187,1
