project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
intelmercbernoulli__dbt,2024-11-14T18:27:33,5a59ea4c784013483c3a2cdff976e022510692ba,Descrição das alterações,5,1,False,0.9285714285714286,1,0.8,2.0,1.0,0.0,0.0,4,0.4,0.6,0,0,0,5,7,2,1,0,0,0,5,3,2,1.0,0.6
intelmercbernoulli__dbt,2025-03-14T12:11:24,c9b3b36fc8bed96b7c3764453214785a0aa88fd3,Atualização do projeto,28,24,False,0.7142857142857143,6,0.8322510822510822,0.28743787818385647,0.020463592550907322,0.5892670748029823,0.07142857142857142,6,0.785714,0.142857,0,0,0,28,28,2,24,0,0,0,26,3,4,0.928571,0.107143
intelmercbernoulli__dbt,2025-06-09T23:02:16,1097b59567270c485cf8a2f655e0bb4d127e7623,Atualização,33,23,False,0.7142857142857143,4,0.8552188552188552,0.27090225128288464,0.02246411085035272,0.4786867157252005,0.12121212121212122,14,0.575758,0.363636,0,0,0,33,33,2,20,3,4,0,15,3,4,0.454545,0.090909
intelmercbernoulli__dbt,2025-07-10T17:42:35,f6aeac7fd46e0d25f12c41f31fa03e6a4408e116,Atualização,43,29,False,0.6428571428571429,5,0.8725843432689159,0.27084267299831544,0.019280403414213915,0.4896785014380658,0.09302325581395349,18,0.511628,0.348837,0,0,0,43,43,2,26,3,4,1,26,2,4,0.604651,0.046512
intelmercbernoulli__dbt,2025-08-07T15:20:55,0a8cb293bdc8b34c48e90ba0437038986909e0e3,Atualização,45,30,False,0.6428571428571429,5,0.8804804804804804,0.2708325944110572,0.018006799985496764,0.48957065631706265,0.08888888888888889,19,0.511111,0.355556,0,0,0,45,45,2,27,3,4,1,26,2,4,0.577778,0.044444
intelmercbernoulli__dbt,2025-09-10T13:36:00,f97a1e4749b154733844e7e97bf918ce81aad3ba,Atualização,49,32,False,0.6428571428571429,5,0.8938775510204081,0.27081255255864456,0.015901590353950296,0.4898977902612713,0.08163265306122448,21,0.510204,0.367347,0,0,0,49,49,2,29,3,4,1,28,2,4,0.571429,0.040816
intelmercbernoulli__dbt,2025-10-02T17:56:49,54b0fccac1a31868d47489d7379c7de2b69140d8,Atualização,50,32,False,0.6428571428571429,5,0.896,0.27081255255864456,0.015901590353950296,0.48989768800029143,0.08,22,0.5,0.38,0,0,0,50,50,2,29,3,4,1,29,2,4,0.58,0.04
intelmercbernoulli__dbt,2025-10-30T17:55:32,a89caf42486b795734e7fde69cf8fda8160d7648,Atualização,54,37,False,0.7857142857142857,5,0.8967300633967301,0.21572658451667698,0.012657083977736431,0.4088623102863563,0.09259259259259259,22,0.537037,0.351852,0,0,0,54,54,2,34,3,4,1,30,2,4,0.555556,0.037037
intelmercbernoulli__dbt,2025-11-26T10:08:16,dc5062d3170be59e4ce9c17441b22580b62fdd21,Atualização,61,40,False,0.7857142857142857,5,0.9057026761944795,0.16632383646069918,0.009220590503098803,0.668914562640176,0.08196721311475409,26,0.52459,0.377049,0,0,0,61,61,2,37,3,4,1,35,2,4,0.57377,0.032787
intelmercbernoulli__dbt,2026-01-30T14:36:23,f1b674cb40d5af23fa7c52ee9034851ff90ba322,Atualização da tabela do ranking do inep.,75,58,False,0.8571428571428571,7,0.8869333333333334,0.05834466218975592,0.003234465058427934,0.6421657325875378,0.14666666666666667,28,0.613333,0.333333,0,0,0,75,75,2,55,3,4,1,45,2,4,0.6,0.026667
intelmercbernoulli__dbt,2026-02-23T17:12:01,e1e24d397961faeed0879ed76a7e6791d1f63151,Atualização,78,63,False,0.7857142857142857,6,0.8924807299040428,0.055905216648491234,0.0027903728964782603,0.6598523241178915,0.14102564102564102,26,0.641026,0.282051,0,0,0,78,78,2,60,3,4,0,45,2,4,0.576923,0.025641
intelmercbernoulli__dbt,2026-03-25T14:37:01,43d62135b5ed7df48ec96314a59f36e855120291,Alteração da tabela slv_pedidos_base adicionando a nova coluna de expedição.,87,67,False,0.7857142857142857,6,0.89272030651341,0.055905216648491234,0.0027903728964782603,0.6598523136249795,0.12643678160919541,31,0.574713,0.298851,0,0,0,87,89,4,64,3,4,0,48,2,6,0.551724,0.022989
