project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
patkearns10__dbt_workspace,2021-02-06T19:36:24,bf1548de569e765cafd7123570d9da5f97c2de00,adding custom schemas,6,1,False,0.9285714285714286,1,0.8333333333333334,2.0,1.0,0.0,0.0,5,0.333333,0.666667,2,0,0,4,6,1,1,0,0,0,0,0,1,0.0,0.0
patkearns10__dbt_workspace,2021-02-18T21:02:49,ace7da36cfd657409e947e16b58681db30239a1d,added the switch mechanism for bigquery vs snowflake augmented snapshots,8,1,False,0.9285714285714286,1,0.875,2.0,1.0,0.0,0.0,7,0.25,0.75,2,0,0,6,8,1,1,0,0,0,0,1,2,0.0,0.125
patkearns10__dbt_workspace,2021-03-17T17:47:53,532571256d11c121c86d64e7b6994a70a49c463c,added json unpacking in snowflake + demo files,10,2,False,0.9285714285714286,1,0.8,2.0,1.0,0.0,0.0,8,0.2,0.6,2,0,0,8,10,1,2,0,0,0,0,1,2,0.0,0.1
patkearns10__dbt_workspace,2021-06-04T14:18:46,681db1fd14b9510ff43742d7c1166564d369690d,model and column naming conventions validation (#31),14,4,False,0.8571428571428571,1,0.8214285714285714,0.9999999999999997,0.3333333333333332,0.0,0.0,10,0.214286,0.5,2,0,0,12,14,1,4,0,0,0,0,1,2,0.0,0.071429
patkearns10__dbt_workspace,2021-06-17T17:20:02,c9777833c387e8ec4287123aee1e41ea7c384ae1,added hello world (#36),18,5,False,0.8571428571428571,1,0.8111111111111111,0.9999999999999997,0.3333333333333332,0.0,0.0,13,0.166667,0.5,2,0,0,16,18,1,4,1,2,0,0,1,2,0.0,0.055556
patkearns10__dbt_workspace,2021-07-27T13:38:23,f207ebac42347c7b4497d2c572282c22b0983fa6,added third model (#42),22,7,False,0.8571428571428571,1,0.7727272727272727,0.9999999999999997,0.3333333333333332,0.0,0.0,15,0.136364,0.5,3,0,0,19,22,1,6,1,2,0,0,1,3,0.0,0.045455
patkearns10__dbt_workspace,2021-09-09T17:01:36,1c87aa89bdc48e421e0f376505b0d42ad89e3129,added landing materialization and demo (#44),23,7,False,0.8571428571428571,1,0.782608695652174,0.9999999999999997,0.3333333333333332,0.0,0.0,16,0.130435,0.521739,3,0,0,20,23,1,6,1,2,0,0,1,3,0.0,0.043478
patkearns10__dbt_workspace,2021-12-22T08:24:33,d13d59b5fab1812d8e980cbf8a257b0465258de7,add helpful snowflake commands,23,7,False,0.8571428571428571,1,0.782608695652174,0.9999999999999997,0.3333333333333332,0.0,0.0,16,0.130435,0.521739,3,0,0,20,23,1,6,1,2,0,0,1,3,0.0,0.043478
patkearns10__dbt_workspace,2022-04-06T09:17:38,58eecdd1c2541d8f1d43c817c0c1685fa65456bd,folder movement,23,7,False,0.8571428571428571,1,0.782608695652174,0.9999999999999997,0.3333333333333332,0.0,0.0,16,0.130435,0.521739,3,0,0,20,23,1,6,1,2,0,0,1,3,0.0,0.043478
patkearns10__dbt_workspace,2022-05-07T05:47:03,e491bd23bf9efd41375f9155d2bf92ffeb589f94,skip incremental list,26,9,False,0.8571428571428571,1,0.7735042735042735,0.9999999999999997,0.3333333333333332,0.0,0.0,17,0.115385,0.461538,3,0,0,23,26,1,6,3,5,0,0,2,4,0.0,0.076923
patkearns10__dbt_workspace,2022-07-02T04:49:50,e30a767d3c3cfa5574216019fbbf01db85bdf9d2,works as a list created by the macro,31,11,False,0.8571428571428571,1,0.7557603686635944,0.9999999999999997,0.3333333333333332,0.0,0.0,20,0.096774,0.451613,5,1,0,25,31,1,8,3,5,0,0,2,4,0.0,0.064516
patkearns10__dbt_workspace,2022-07-26T00:10:28,77e74b603a2a6191343483ee0511062a111637de,create incremental that autoincrements,43,21,False,0.5714285714285714,2,0.7259136212624585,0.43304903380028664,0.08169734561666807,0.401382425569346,0.046511627906976744,24,0.162791,0.372093,8,1,3,31,43,1,18,3,5,0,4,6,9,0.093023,0.139535
patkearns10__dbt_workspace,2022-08-24T01:13:59,2555c4b32a494c8188cf7de14f2670576e7aa276,fix broken test,46,22,False,0.5714285714285714,2,0.7488755622188905,0.43304903380028664,0.08169734561666807,0.4013823836999312,0.043478260869565216,26,0.152174,0.391304,8,1,3,34,46,1,18,4,7,0,4,6,9,0.086957,0.130435
