project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
prefeitura-rio__pipelines_rj_smtr,2023-12-13T17:39:45,d48614dc80267cf288a295f42026a377c01c4821,fix subsidio schema,120,154,False,0.9285714285714286,7,0.6458278291501541,0.018151130319465844,0.0013774763807465132,0.5431757291564445,0.43333333333333335,18,0.7,0.116667,14,0,1,105,120,1
prefeitura-rio__pipelines_rj_smtr,2024-03-15T16:32:48,f79d4a578c17288200e8497e023d9d75860f0697,alterar dataset dicionario,19,4,False,0.7857142857142857,2,0.868421052631579,0.3819660112501052,0.10557280900008412,0.1538461538461436,0.0,15,0.263158,0.736842,16,0,0,3,19,1
prefeitura-rio__pipelines_rj_smtr,2024-06-19T15:54:20,fe6f8b3b4244b532af1cf069669f5d8b9fc5d4f4,HOTFIX - Remove filtro de gratuidade da tabela transacao (#69),187,264,False,0.9285714285714286,10,0.6471313215702386,0.01278879811817287,0.000790404802562012,0.7603690115557322,0.5080213903743316,18,0.860963,0.058824,36,0,1,150,187,1
prefeitura-rio__pipelines_rj_smtr,2024-07-18T10:51:37,0358a8610e8364c87a8710cbf08dfae86ba01d68,Adiciona transações de Van na tabela passageiros_hora (#110),204,293,False,0.9285714285714286,10,0.6301059883412825,0.01293590506019742,0.0007969861875665259,0.8882211782710698,0.5441176470588235,22,0.852941,0.073529,50,0,1,153,204,1
prefeitura-rio__pipelines_rj_smtr,2024-08-13T18:06:00,fea62255916394d9b4ea35f3a814a38418ccccf9,Adicionado filtro para remover viagens do serviço SE001 da apuração do subsídio (#144),209,301,False,0.9285714285714286,10,0.6157363104731526,0.013576836527658115,0.0008365884984536362,0.9409950120680048,0.5550239234449761,24,0.842105,0.076555,51,0,1,157,209,1
prefeitura-rio__pipelines_rj_smtr,2024-09-17T19:34:52,e0cfb90b56a5af2fdf409151bc2d77cafd0c72b1,corrige tratamento de viagens (#234),224,339,False,0.7142857142857143,9,0.6398117626648161,0.014438511467546938,0.000837273214908921,0.9447255464516159,0.6339285714285714,27,0.834821,0.080357,55,0,1,168,224,1
prefeitura-rio__pipelines_rj_smtr,2024-10-17T11:47:45,9dc7041c74a8cc525a59da872a48d2691c79b764,remove a coluna sentido de sumario_servico_dia_tipo (#275),226,340,False,0.8571428571428571,11,0.6447706069981054,0.014439447125577775,0.0008373272998309288,0.944918968946326,0.6283185840707964,28,0.827434,0.079646,56,0,1,169,226,1
prefeitura-rio__pipelines_rj_smtr,2024-11-14T13:58:50,e433d0b7f8ac611f8c694309550b666c17258be5,[HOTFIX] Corrige referência nas colunas do modelo `calendario` (#328),236,354,False,0.9285714285714286,9,0.65319786496863,0.022321562884018993,0.0011634789309992672,0.8884693095540005,0.6271186440677966,30,0.826271,0.084746,61,0,1,174,236,1
prefeitura-rio__pipelines_rj_smtr,2024-12-16T17:56:12,bfdc2497ddb37406d67ca96fa97cb2c90148696e,Desativa temporariamente o modelo `viagem_planejada_planejamento` (#364),243,368,False,0.8571428571428571,10,0.6485835121435457,0.02769747254633638,0.0014388467221003816,0.824600705137351,0.6460905349794238,32,0.823045,0.090535,67,0,1,175,243,1
prefeitura-rio__pipelines_rj_smtr,2025-01-13T09:29:59,e7fed7b013fced26a435914fc66cc25360123e44,corrige deduplicação (#385),248,371,False,0.7857142857142857,9,0.6547692056093871,0.028832928673620306,0.001497731383652791,0.8058113302196388,0.6330645161290323,34,0.818548,0.096774,67,0,1,180,248,1
