project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
prefeitura-rio__queries-rj-iplanrio,2025-04-16T11:19:36,d95c0ddfdb3e513d3083d71b491f03d9cb7ee97c,chore: Add .gitkeep file to models/mart directory,2,0,True,,,,,,,,2,0.5,1.0,0,0,0,2,2,1
prefeitura-rio__queries-rj-iplanrio,2025-05-23T15:54:43,9966dc7a793fbac2123881b8dd610e338e274540,Merge branch 'master' of https://github.com/prefeitura-rio/queries-rj-iplanrio,18,4,False,0.7857142857142857,1,0.7777777777777778,1.0,0.2,0.15315014903385174,0.0,14,0.277778,0.722222,4,4,1,9,18,1
prefeitura-rio__queries-rj-iplanrio,2025-06-16T16:42:38,0b1f5d8494d9b9be68a7d27f7616d3580fb6d605,refactor: remove unidades administrativas staging source and update related SQL model,19,4,False,0.7857142857142857,1,0.7894736842105263,1.0,0.2,0.19481329944311312,0.0,15,0.263158,0.736842,4,4,1,10,19,1
prefeitura-rio__queries-rj-iplanrio,2025-07-22T05:37:19,5a9c73be4535c94c63f4d5420d133085af6f2fd5,refactor: enhance raw_bcadastro_cnpj model by updating descriptions,19,7,False,0.6428571428571429,3,0.706766917293233,0.3819660112501054,0.0739635307602976,0.22222222222225305,0.0,12,0.368421,0.526316,4,0,1,14,19,1
prefeitura-rio__queries-rj-iplanrio,2025-08-22T15:06:53,92e6a76a27653cb26cf332b4c9d166b0c5264f49,Update setur,212,100,False,0.7142857142857143,4,0.7647941680960549,0.33388607118273805,0.026295189645823783,0.5741329386151338,0.10377358490566038,134,0.122642,0.551887,4,1,23,184,212,1
prefeitura-rio__queries-rj-iplanrio,2025-09-19T20:39:04,8b768e029e79ac134030002e54d450561f119836,Merge branch 'master' of https://github.com/prefeitura-rio/queries-rj-iplanrio into fix/bcadastro-cnpj-parse,242,102,False,0.7142857142857143,4,0.7922166029357346,0.34011750515948413,0.025303726447962957,0.6273192728506661,0.09504132231404959,163,0.107438,0.603306,4,1,24,213,242,1
prefeitura-rio__queries-rj-iplanrio,2025-10-20T16:32:40,bd37bcf405a34a0212fe04ae1b02421679d47458,Merge branch 'staging/tool_equipamentos_smas',277,118,False,0.7142857142857143,4,0.7780845190061584,0.34011750515948413,0.025303726447962957,0.627319281162048,0.08303249097472924,182,0.093863,0.566787,4,1,25,247,277,1
prefeitura-rio__queries-rj-iplanrio,2025-11-19T17:56:35,00f444de689814a3172e96703d42c2862edefcbf,Merge branch 'master' into feat/add-unidade_administrativa,319,147,False,0.7142857142857143,4,0.7568205096371706,0.34011750515948413,0.025303726447962957,0.6273192809846438,0.0877742946708464,200,0.081505,0.514107,4,1,27,287,319,1
prefeitura-rio__queries-rj-iplanrio,2025-12-18T12:41:07,6f54b40f5a3e3a6c80c9955b26f71b8dad3e1cf9,Merge branch 'master' into feat/add-sicop_new,334,173,False,0.7142857142857143,4,0.7429708484266035,0.34011750515948413,0.025303726447962957,0.6273195766995051,0.11077844311377245,198,0.077844,0.479042,4,1,32,297,334,1
prefeitura-rio__queries-rj-iplanrio,2026-01-12T14:40:16,efa013a1cdb8265c5050990c2d1bad5300fbd830,add schema in dbt_project.yml and remove .claude,339,175,False,0.7142857142857143,4,0.7448558184335681,0.34011750515948413,0.025303726447962957,0.6273192361420703,0.10914454277286136,201,0.076696,0.480826,4,1,32,302,339,1
prefeitura-rio__queries-rj-iplanrio,2026-02-11T16:29:04,f9817f649285fead85e7d9fbaf80fdfcaeaeb4e3,"Altera materialização de views para tables nos modelos de municípios, unidades federativas, sexos e CBOs",357,175,False,0.7142857142857143,4,0.7577202309495227,0.34011750515948413,0.025303726447962957,0.6273195446081264,0.10364145658263306,219,0.072829,0.507003,4,1,32,320,357,1
prefeitura-rio__queries-rj-iplanrio,2026-03-20T15:11:02,269e6428fb91915174a33a204b92f7fcb28039e4,fix: add table alias prefixes to selected columns for clarity in SQL queries,414,241,False,0.7142857142857143,11,0.8025464668795546,0.18272945971665489,0.010706962734650912,0.7622216473071823,0.11352657004830918,220,0.089372,0.42029,4,1,47,362,414,1
prefeitura-rio__queries-rj-iplanrio,2026-04-17T07:06:05,5cfcd7d5b6de60442c7bfe9729e11283fc1e0ab6,Fix identification of equipment by updating id_equipe to id_ine in the SQL query,415,241,False,0.7142857142857143,11,0.8030222585256279,0.18272945971665344,0.010706962734650825,0.7622216473074425,0.11325301204819277,221,0.089157,0.421687,4,1,73,337,415,1
prefeitura-rio__queries-rj-iplanrio,2026-05-19T13:13:37,e0db84237d5a05859c7d35b9b298c348e8cc13b2,feat: add QMD mission details model with incremental processing and comprehensive metadata,440,256,False,0.7142857142857143,11,0.8007188160676533,0.18272945971665344,0.010706962734650825,0.7622216473066586,0.11363636363636363,234,0.084091,0.425,4,1,75,360,440,1
prefeitura-rio__queries-rj-iplanrio,2026-06-16T18:25:29,29c98073454870d4e60aaaafa998b76efd5102ad,fix(sme) fix query avaliacao_bimestral_2021_a_2026 (#273),527,275,False,0.7142857142857143,11,0.8265891312340727,0.18272945971665344,0.010706962734650825,0.7622216473072421,0.11195445920303605,311,0.070209,0.500949,4,1,79,443,527,1
prefeitura-rio__queries-rj-iplanrio,2026-07-16T17:33:03,c1cd086cb1549094bfb133e329a26aa972605a7e,fix(mart): add 2026 in table claro (#286),535,282,False,0.7142857142857143,11,0.8224954910641089,0.18272945971665344,0.010706962734650825,0.7622216473074775,0.11214953271028037,313,0.069159,0.495327,4,1,80,450,535,1
prefeitura-rio__queries-rj-iplanrio,2026-08-04T16:04:35,874f335db068bb1b7cae8f7bec73c5164fe5ed5a,add(dbt): activate  model dialogflowcx (#290),538,286,False,0.7142857142857143,11,0.8195583899500064,0.18272945971665344,0.010706962734650825,0.7622216473068076,0.11152416356877323,312,0.068773,0.490706,4,1,85,448,538,1
