project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects
prefeitura-rio__queries-rj-sms,2022-10-18T16:32:24,d9e23d694a88142439427a22918f07389b3ddc85,initial commit,2,1,True,,,,,,,,1,1.0,0.0,0,0,0,2,2,1
prefeitura-rio__queries-rj-sms,2022-11-25T11:14:52,ca386af9ab8a1d35fb2fb53dd2ced49c1e2d0bb0,feat: cast types and rename columns for `srag`,3,1,True,,,,,,,,2,0.666667,0.333333,0,0,0,3,3,1
prefeitura-rio__queries-rj-sms,2023-01-15T15:45:50,a5d78ecc471a7218ba9770f54c8d8d9bff6ef3a5,Update srag.sql,3,1,True,,,,,,,,2,0.666667,0.333333,0,0,0,3,3,1
prefeitura-rio__queries-rj-sms,2023-10-13T11:36:37,769a40a86625ea1d005fa5e6567020bf5a283d79,add new models,5,2,False,0.8571428571428571,1,0.6,0.9999999999999997,0.3333333333333332,0.0,0.0,3,0.6,0.4,0,0,0,5,5,1
prefeitura-rio__queries-rj-sms,2023-11-06T19:13:03,d70ce8d6e8ddfbca9aaabd9a51a19f01f573fda9,Update SQL queries to include mes_particao column,26,31,False,0.7142857142857143,5,0.49633699633699635,0.44957945303561786,0.046045911515608925,0.3555308885289013,0.34615384615384615,4,0.884615,0.115385,0,8,6,12,26,1
prefeitura-rio__queries-rj-sms,2023-12-04T16:04:03,98d020efbc7a302d338b44154a8521290caed502,Update dimension and mart schema names,33,49,False,0.6428571428571429,4,0.521984551396316,0.4561137491125236,0.03646223882707988,0.4047545075693109,0.6060606060606061,4,0.909091,0.090909,0,13,7,13,33,1
prefeitura-rio__queries-rj-sms,2024-01-11T06:25:46,55889bc6225a90ad40b3b70c7fe5068c5a346537,Add two new SQL scripts for inventory analysis,43,63,False,0.7142857142857143,4,0.6127722406792174,0.46182947485121917,0.030115003703469985,0.7791952977652922,0.6976744186046512,10,0.790698,0.209302,0,15,11,17,43,1
prefeitura-rio__queries-rj-sms,2024-02-09T06:37:29,99a2d0f1bfd0c589c749c7b8343e5e431432dcbd,"Change materialized property to ""incremental"" in reprocessamento__brutos_prontuario_vitacare__estoque_movimento.sql",50,79,False,0.6428571428571429,5,0.6053164556962025,0.4157772063142201,0.025218383438746956,0.684972203403424,0.74,8,0.86,0.14,0,18,13,19,50,1
prefeitura-rio__queries-rj-sms,2024-03-04T17:01:51,e5c6e9b7482a681f03a437c1f337e31777aee1f2,fix cardinality issue,55,87,False,0.6428571428571429,5,0.6332288401253918,0.3616999651918036,0.020805284276434015,0.8895335538873462,0.7272727272727273,8,0.872727,0.127273,0,18,18,19,55,1
prefeitura-rio__queries-rj-sms,2024-04-02T16:51:10,755c85ba53dfe5dacf3ae423f918076e66f45af9,Fix remume list for APS units,53,79,False,0.6428571428571429,5,0.6166706472414617,0.3619132459244791,0.021977373719230864,0.8825373371667505,0.6415094339622641,8,0.867925,0.132075,0,16,18,19,53,1
prefeitura-rio__queries-rj-sms,2024-05-10T06:54:43,30d445d23f0e8a7a2df645a87882bdf979b21adf,Refactor table aliases in fct_estoque_movimento.sql and fct_estoque_posicao.sql,49,72,False,0.7142857142857143,4,0.5929705215419501,0.3605755803080698,0.02338817949845947,0.8873304063500547,0.6326530612244898,8,0.857143,0.142857,0,15,15,19,49,1
prefeitura-rio__queries-rj-sms,2024-06-07T16:09:32,15f7b41289cbbaadcacf82b25862bd3422078a6d,Merge branch 'tabela_profissionais' of https://github.com/prefeitura-rio/queries-rj-sms into tabela_profissionais,63,88,False,0.7857142857142857,5,0.6181566181566182,0.09997101570224225,0.00576606587397914,0.9319697769706862,0.5396825396825397,9,0.857143,0.111111,0,16,19,28,63,1
prefeitura-rio__queries-rj-sms,2024-07-09T16:29:13,4370a69e75fd13163e204f9d5c9fdaf4da8e0ca6,refactor: Standardize inventory movements in fct_estoque_movimento.sql,64,91,False,0.6428571428571429,5,0.6171548117154811,0.13778612269484133,0.007550776738250228,0.902243035121343,0.5625,9,0.84375,0.109375,0,16,20,28,64,1
prefeitura-rio__queries-rj-sms,2024-08-08T15:25:36,1ab9cb7f60adb2c65772cee056c965866090b109,feat: Add tipo field to prontuario_vitacare schema and update paciente vitacare model,105,111,False,0.7857142857142857,5,0.7316762909030045,0.14549593224416643,0.0075609994283452504,0.8648629120219554,0.38095238095238093,34,0.6,0.285714,0,25,26,54,105,1
prefeitura-rio__queries-rj-sms,2024-09-07T16:30:37,7503c02b1d05b1ecfdd997626d82ee330c0d5470,Merge branch 'fix/hci/paciente-cardinalidade-equipe',137,185,False,0.8571428571428571,7,0.6508556231862971,0.1632119112622864,0.006007882616878464,0.7176123613104792,0.5401459854014599,26,0.766423,0.167883,4,29,36,68,137,1
prefeitura-rio__queries-rj-sms,2024-10-07T15:35:12,9b5ad7404ed34e689075748964da852c3f3754e7,add vitai rules,143,208,False,0.7142857142857143,7,0.6406093906093906,0.17443029768639967,0.005982344468891003,0.6887595179558414,0.6363636363636364,26,0.776224,0.160839,4,33,37,69,143,1
prefeitura-rio__queries-rj-sms,2024-11-05T18:47:26,97b34e5bf895e58c4b038804ebab8ce5167de54f,feat: adding schema and table label configuration,176,270,False,0.7857142857142857,7,0.6929019855947051,0.1082381324091729,0.0034689561055325758,0.8232510936495491,0.6988636363636364,29,0.818182,0.147727,4,41,49,82,176,1
prefeitura-rio__queries-rj-sms,2024-12-06T15:22:54,793f16b0b6196cf87fcf6d17ca63a2287bf0c15e,typo,191,286,False,0.8571428571428571,8,0.6976989748779093,0.07279732594640184,0.0023325578552204755,0.7515815104159542,0.6596858638743456,31,0.832461,0.151832,4,45,57,85,191,1
prefeitura-rio__queries-rj-sms,2025-01-03T16:56:37,ead7a631da148160e9fce848add5950955302031,fix: fixing filter of expected units,194,297,False,0.8571428571428571,8,0.7031870234457549,0.0809333584948449,0.0025141829857712183,0.7501213688838458,0.6958762886597938,32,0.829897,0.154639,4,46,58,86,194,1
prefeitura-rio__queries-rj-sms,2025-02-04T12:54:35,f5ef0df3134bf7885d932c6099a809984ba1e6b8,debugging,200,311,False,0.7142857142857143,7,0.7055553145336225,0.10212703710387966,0.0031711432754054944,0.8030696895133664,0.72,33,0.82,0.15,6,46,60,88,200,1
prefeitura-rio__queries-rj-sms,2025-02-27T18:57:55,7602af2f9eed69b8f5914b7a664fdb0ee4c7bbe0,fix: removes partition (date column is a string for ~just for now),215,322,False,0.8571428571428571,7,0.7242514563194753,0.10673087119910016,0.0032136904189729257,0.7878457893092694,0.6883720930232559,41,0.795349,0.176744,6,48,61,100,215,1
prefeitura-rio__queries-rj-sms,2025-04-03T16:10:02,2c4739bb4014a939b38295e15038b58dab558669,[HCI] Add raw models for aplicacao_hci with source configurations and SQL transformations,228,330,False,0.7857142857142857,8,0.7233539657677719,0.1044842094281899,0.0030546971816480823,0.8210319951779003,0.6491228070175439,46,0.785088,0.188596,8,48,62,110,228,1
prefeitura-rio__queries-rj-sms,2025-04-30T14:03:08,982d5132ba5cda5d41d7f37c5871364569b8f610,fix: type conversion,240,339,False,0.8571428571428571,9,0.7364917269906929,0.09611055405825354,0.00280879306117782,0.7984444110966274,0.625,51,0.775,0.2,9,48,71,112,240,1
prefeitura-rio__queries-rj-sms,2025-06-04T16:09:25,43e5dbfcfd6c07b86eccde4be4a2d28a89edf8d7,fix: remove .0 from int column,275,353,False,0.7857142857142857,8,0.7665013774104683,0.07906669010913528,0.002310695324117774,0.6560871953617432,0.5563636363636364,75,0.698182,0.258182,10,48,73,144,275,1
prefeitura-rio__queries-rj-sms,2025-07-03T17:39:21,e4cf733836d4e535b554532c69c35fa9fcaeff86,Merge pull request #334 from prefeitura-rio/hci/change-updated-at,307,424,False,0.9285714285714286,7,0.7573866352667735,0.07536305426601209,0.002026798735360245,0.8755818864016296,0.6156351791530945,72,0.762215,0.228013,10,48,84,165,307,1
prefeitura-rio__queries-rj-sms,2025-08-02T10:47:21,7eea51dfe3e06203912a996eb8eded5e8e8656fb,fix: incorrect naming in schemas,415,453,False,0.7142857142857143,9,0.8185598847356893,0.07284905646470592,0.0017291828401314886,0.9174654355605153,0.472289156626506,158,0.6,0.368675,7,53,97,258,415,1
