project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
re-data__dbt-re-data,2021-06-08T12:06:56,7010bbf49660a2a93ddbb5fdf293700e9938f230,Updates to naming of models in the package,18,7,False,0.7142857142857143,2,0.7626262626262627,0.8299135133739665,0.18519918063274535,0.2542669515420847,0.05555555555555555,12,0.277778,0.5,0,2,0,16,18,1,7,0,0,2,15,1,5,0.833333,0.055556
re-data__dbt-re-data,2021-07-03T14:15:41,fb83c7a492db6e721eb7ac43823fb4a5039c195c,Fix typo,18,5,False,0.7857142857142857,1,0.7698412698412699,1.0,0.25000000000000006,0.12459599787623933,0.0,13,0.222222,0.555556,0,2,0,16,18,1,5,0,0,2,18,7,5,1.0,0.388889
re-data__dbt-re-data,2021-07-29T06:33:38,5ec571bcae401354d89f8e57a083274e6fc4f120,Update union type,20,8,False,0.7857142857142857,1,0.725,1.0,0.25000000000000006,0.08563621444708001,0.05,13,0.2,0.5,0,2,0,18,20,1,8,0,0,2,18,7,5,0.9,0.35
re-data__dbt-re-data,2021-09-05T11:53:03,6cd64bbcdd03de7fb3a12183b1350535b11f30ba,new logic and code,29,8,False,0.7857142857142857,2,0.8488063660477454,0.6972243622680049,0.1620406037800089,0.14054054054054116,0.034482758620689655,22,0.172414,0.689655,9,0,0,20,29,1,8,0,0,13,17,6,5,0.586207,0.206897
re-data__dbt-re-data,2021-10-01T11:22:38,904e21fb09198cbad697f48a030bb3c13512579d,Add possibly to specify columns for which to compute metrics,32,9,False,0.7857142857142857,2,0.84375,0.6972243622680049,0.1620406037800089,0.1405405405405417,0.03125,24,0.15625,0.65625,9,0,0,23,32,1,9,0,0,13,17,6,5,0.53125,0.1875
re-data__dbt-re-data,2021-10-21T11:13:22,ffe832c175557b1af1ed0d127302d8e353ff9700,"ensure docs can be generated for every change, serving as a type of test (#31)",31,7,False,0.7857142857142857,1,0.8093841642228738,1.0,0.25000000000000006,0.093066268138851,0.0,24,0.129032,0.677419,9,0,0,22,31,1,7,0,0,13,16,5,5,0.516129,0.16129
re-data__dbt-re-data,2021-12-20T07:42:55,d3fa56d1982d5a371841d0cfb02f915d9e06d418,All frontend changes required for frontend (#42),20,7,False,0.7857142857142857,1,0.7045454545454546,1.0,0.25000000000000006,0.08231598748564634,0.0,13,0.2,0.5,9,0,0,11,20,1,7,0,0,13,6,5,4,0.3,0.25
re-data__dbt-re-data,2022-01-31T22:23:39,a66e9931457ae2ea4f9f9d36518e7b52c32b7068,Feature/dbt config support (#54),21,9,False,0.7142857142857143,3,0.6666666666666666,0.13919414688829684,0.03234985009854394,0.3437976665182833,0.0,12,0.428571,0.47619,9,0,0,12,21,1,9,0,0,14,4,4,3,0.190476,0.190476
re-data__dbt-re-data,2022-03-23T12:16:27,cf39124e5d8bf3dcfaee5c586a11211cbc5216ac,fix bug in schema changes (#66),21,11,False,0.7142857142857143,3,0.680952380952381,0.26349369859656635,0.05229426220807023,0.3658760369054913,0.09523809523809523,12,0.428571,0.47619,9,0,0,12,21,1,11,0,0,14,4,4,3,0.190476,0.190476
re-data__dbt-re-data,2022-04-13T18:53:04,8ec3e39f734d94bdde66d59cc6f4ee2a5976b51e,Feature/better tests support (#68),22,13,False,0.5714285714285714,4,0.6570247933884298,0.2358500831423995,0.044912666321997,0.43675886325416186,0.09090909090909091,11,0.5,0.409091,9,0,0,13,22,1,12,1,2,14,0,0,0,0.0,0.0
