project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
rittmananalytics__ra_data_warehouse,2020-06-14T16:32:29,9b46ffe5018d414d4ff23229402fbb1afb04d069,Update wh_timesheet_rpt.sql,140,102,False,0.8571428571428571,7,0.6382007233273056,0.06589095524601295,0.007699237340495452,0.34735167974832476,0.09285714285714286,51,0.285714,0.307143,85,28,0,27,140,1,101,1,2,0,17,29,13,0.121429,0.207143
rittmananalytics__ra_data_warehouse,2020-06-28T22:52:11,9ddf84bf14a512a75dd3f1862a67faad62efb2d0,added client events fact,153,116,False,0.8571428571428571,9,0.6268167644416257,0.06757691184074595,0.007173958449837534,0.7690585444659868,0.1111111111111111,54,0.27451,0.294118,91,31,0,31,153,1,115,1,2,0,17,29,13,0.111111,0.189542
rittmananalytics__ra_data_warehouse,2020-08-11T20:59:34,bf8788c083c9b317949f9d0ecbac30fde515d03f,attribution split-out,146,133,False,0.7142857142857143,8,0.5837172407480855,0.054978582050953864,0.006916015364523315,0.6855010581513632,0.13013698630136986,32,0.335616,0.171233,76,35,0,35,146,1,129,4,6,0,17,29,13,0.116438,0.19863
rittmananalytics__ra_data_warehouse,2020-09-04T19:47:25,93ee29cf53125348314cfa42e291b83628fb1aa9,Merge branch 'master' of github.com:rittmananalytics/ra_data_warehouse into dbt_upgrade_17_1,144,131,False,0.42857142857142855,7,0.5774769585253456,0.056800213874544384,0.007145494789411459,0.6553503363657789,0.13194444444444445,32,0.326389,0.173611,75,35,0,34,144,1,127,4,6,0,17,29,13,0.118056,0.201389
rittmananalytics__ra_data_warehouse,2020-10-12T00:33:07,e968931d501949c2aff9968732abd876b8162515,ad changes,144,131,False,0.42857142857142855,7,0.5774769585253456,0.056800213874544384,0.007145494789411459,0.6553499710311672,0.13194444444444445,32,0.326389,0.173611,75,35,0,34,144,1,127,4,6,0,17,29,13,0.118056,0.201389
rittmananalytics__ra_data_warehouse,2020-11-12T12:50:54,78a7ecfed8934241e58d3a741ee5458120e10868,added delivery tasks,146,136,False,0.8571428571428571,10,0.5786195087387813,0.06586166407479249,0.006387749276026895,0.8211585840741269,0.13013698630136986,29,0.356164,0.164384,75,36,0,35,146,1,132,4,6,0,16,28,13,0.109589,0.191781
rittmananalytics__ra_data_warehouse,2020-12-12T13:57:45,55f4c14bdfc791a4ae26f322c463d529bf651941,more campaigns,159,155,False,1.0,12,0.5840634399781242,0.01007039077157145,0.0008244589304598238,0.7860375698124169,0.1320754716981132,25,0.81761,0.138365,85,37,0,37,159,1,152,3,4,0,16,26,12,0.100629,0.163522
rittmananalytics__ra_data_warehouse,2021-01-09T23:51:30,d77e248c59c617452826f29f4164ec1cbd296007,Update int_web_events_sessions_initial.sql,157,96,False,0.9285714285714286,10,0.7993338397709344,0.02270683597541468,0.00201451033627115,0.8012754759418698,0.11464968152866242,79,0.43949,0.458599,88,35,0,34,216,1,93,3,4,0,21,31,28,0.133758,0.197452
rittmananalytics__ra_data_warehouse,2021-01-22T20:56:42,b5964abfd79cb219889c0642b6a4f79fef046b85,fixed issue with facebook ads stitch source,157,96,False,0.9285714285714286,10,0.7993338397709344,0.02270683597541468,0.00201451033627115,0.8012753691155782,0.11464968152866242,79,0.43949,0.458599,88,35,0,34,216,1,93,3,4,0,21,31,28,0.133758,0.197452
rittmananalytics__ra_data_warehouse,2021-03-09T19:41:50,d51967d07a98f938a8a346fdb2020054df5c2ec9,"added customer and contact audiences, events and segments",164,119,False,0.6428571428571429,10,0.7618286018925763,0.06324096220770378,0.004349268623086251,0.6313161081212995,0.21341463414634146,80,0.457317,0.445122,88,35,0,41,223,1,116,3,4,0,21,31,28,0.128049,0.189024
rittmananalytics__ra_data_warehouse,2021-03-15T00:00:55,43d508684498c52921ec6f74271400cf9a571232,Update wh_contacts_influencers_xa.sql,164,119,False,0.6428571428571429,10,0.7618286018925763,0.06324096220770378,0.004349268623086251,0.6313160037223269,0.21341463414634146,80,0.457317,0.445122,88,35,0,41,223,1,116,3,4,0,21,31,28,0.128049,0.189024
rittmananalytics__ra_data_warehouse,2021-08-28T10:39:19,2aa42ce69caf8c1bcb79c4d2d0a8dc9ec919808d,more rationalisation,202,138,False,0.7142857142857143,10,0.7849337945842777,0.04939681014515724,0.003216795460922703,0.6797914290589518,0.1782178217821782,100,0.445545,0.450495,108,43,0,51,240,1,135,3,4,0,27,39,35,0.133663,0.193069
rittmananalytics__ra_data_warehouse,2021-09-13T22:12:50,d619fcd76ad103dbf1b8f01159427c10cd12a609,source fixes,196,134,False,0.7857142857142857,11,0.7844294196896362,0.04913922514769568,0.003200021133950047,0.6670651052168785,0.17857142857142858,97,0.454082,0.454082,102,43,0,51,223,1,131,3,4,0,27,39,36,0.137755,0.19898
rittmananalytics__ra_data_warehouse,2021-11-07T13:50:25,9b9c136348ec295571f8e131b535fda557d7d763,reintroduced deleted modules,240,176,False,0.7142857142857143,11,0.7278314917127072,0.011407964170998262,0.0007912621738942116,0.9149793734769245,0.15,100,0.3625,0.366667,136,52,0,52,279,1,172,4,6,0,39,45,42,0.1625,0.1875
rittmananalytics__ra_data_warehouse,2021-11-14T21:52:23,0fbacf3faae3752cb8d57c6049ea5b9ecc76e435,added appsflyer and snowplow as sources,242,176,False,0.7142857142857143,11,0.7300808182274782,0.011407964170998262,0.0007912621738942116,0.9149794879885217,0.1487603305785124,102,0.359504,0.371901,138,52,0,52,281,1,172,4,6,0,39,45,44,0.161157,0.18595
rittmananalytics__ra_data_warehouse,2022-01-15T01:05:49,537ab2951abda0904cc514e5422905a5099ffd48,fixed hubspot fivetran issues,242,176,False,0.7142857142857143,11,0.7300808182274782,0.011407964170998262,0.0007912621738942116,0.9149793786500263,0.1487603305785124,102,0.359504,0.371901,138,52,0,52,281,1,172,4,6,0,39,45,44,0.161157,0.18595
rittmananalytics__ra_data_warehouse,2022-02-14T08:37:51,d8dc7bd1c008ca79f9d09c909734e28a66ef6366,more updates,241,173,False,0.7857142857142857,11,0.7360201468761356,0.011448275722592268,0.0008413146641108326,0.9133414056973728,0.13692946058091288,101,0.356846,0.365145,138,52,0,51,284,1,169,4,6,0,39,45,44,0.161826,0.186722
