project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
snowplow__dbt-snowplow-mobile,2021-12-06T22:49:53,2a5729b65e33e4a4065710ba49e9e4231eb50fee,Add support for Redshift (Close #2),24,35,False,0.7857142857142857,5,0.5350378787878788,0.13663599115707004,0.012117265901490261,0.6895610811521602,0.5,1,1.0,0.0,11,0,0,13,24,2,27,8,10,0,24,23,11,1.0,0.958333
snowplow__dbt-snowplow-mobile,2022-02-23T14:33:00,b244247a82660862cd4e6faf0ad269b91e489873,Update datediff based filters to timestamp based (Close #11),24,35,False,0.7857142857142857,5,0.5350378787878788,0.13663599115707004,0.012117265901490261,0.6895610532777364,0.5,1,1.0,0.0,11,0,0,13,30,2,27,8,10,0,24,23,11,1.0,0.958333
snowplow__dbt-snowplow-mobile,2022-03-11T09:28:00,474b0b1bb0dd86147e6beb34fa656f62915eefb4,Clean up incremental manifest varchar logic (Close #20),25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078819922660371,0.48,1,1.0,0.0,11,0,0,14,31,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2022-04-26T22:17:27,e23fd757471f3930f5ffbcf267b103471689e214,Add `query_tag` to Snowflake queries (Close #22),25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078817753720182,0.48,1,1.0,0.0,11,0,0,14,31,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2022-06-14T10:10:03,bc607dc3367d921bb9ea3b9f6ca8be37835e9005,Add support for Databricks (Close #28),25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078817446656911,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2022-07-28T09:16:51,0b38a130aadeb47bc0567236ec3a65a7b769fc50,Fix unstruct_events (Close #34),25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.707881945838993,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2022-08-26T14:43:08,e1b2a331538c255bfbe3056c2e3e2eeac6e9c6e8,Optimize performance in Databricks for incremental models (Close #40),25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078819653662086,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2022-10-26T10:05:44,3e945b25f219da8fdf1729c474a87e7077546501,Drop support for dbt versions below 1.3 (Close #49),25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078820134440234,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2022-12-13T12:48:07,81061d8555389c7a7a1301cd80cefbfc150c73dc,"Add new context fields to int tests, and select all columns",25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078818099231965,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2023-01-11T16:07:06,229886c6244a184aea0d51078718717abb004949,Fix databricks geolocation aliasing (Close #57),25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.707881782374945,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2023-02-21T13:16:33,dc7f933ccaaafdb89c8d9a22850fd6c743e85faa,reduce previous_session_id test severity to warn (Close #62),25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078817680381166,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2023-03-17T12:29:47,eb28d2076fb1e9fa6b58bfef27483d4f2a47c073,Change dedupe logic for Redshift and Postgres to include all events,25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078817839465329,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2023-06-24T10:56:10,3d52d145db909b635d284efec1fbaeb19061e9d1,Add dedupe count to allow joining of multi-valued contexts,25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078817275686643,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2023-09-26T08:15:18,1f68ec3ed2ba3ae536bad7e47635ca75feb41e8f,Remove snowplow_is_incremental reference,25,36,False,0.8571428571428571,5,0.5540106951871657,0.13477238342708167,0.01103854375598623,0.7078819643159406,0.48,1,1.0,0.0,11,0,0,14,33,2,28,8,10,0,25,24,12,1.0,0.96
snowplow__dbt-snowplow-mobile,2023-10-13T16:20:55,e316c8757aeb1a1c2bb9afd81f11475904a52b01,Implement new base macros throughout package and passthrough fields,19,21,False,0.5714285714285714,3,0.592797783933518,0.48625076443280135,0.07577808872018667,0.2380185461338989,0.3157894736842105,4,0.526316,0.052632,5,0,0,14,25,2,20,1,2,0,19,18,12,1.0,0.947368
snowplow__dbt-snowplow-mobile,2023-11-22T11:04:37,1cfc4f3f6a20dfdb239bed1ed8b278ae654be04f,Update license,19,21,False,0.5714285714285714,3,0.592797783933518,0.48625076443280135,0.07577808872018667,0.23801858871704595,0.3157894736842105,4,0.526316,0.052632,5,0,0,14,25,2,20,1,2,0,19,18,12,1.0,0.947368
