project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
snowplow__dbt-snowplow-unified,2023-09-12T11:29:34,a30bf3547a78cbfa2d50c3bfffc739b333b1d172,Unify web and mobile model,32,34,False,0.7857142857142857,5,0.7065972222222222,0.06998671387496734,0.0076765529342254476,0.4875903883993861,0.21875,5,0.84375,0.09375,7,0,0,25,41,1,32,2,4,0,31,27,14,0.96875,0.84375
snowplow__dbt-snowplow-unified,2023-11-03T13:54:55,5a3ad14e331f76306bed91a7736ccaf265c99412,Prepare for release,32,34,False,0.7857142857142857,5,0.7065972222222222,0.06998671387496734,0.0076765529342254476,0.48759045813202684,0.21875,5,0.84375,0.09375,7,0,0,25,41,1,32,2,4,0,31,27,14,0.96875,0.84375
snowplow__dbt-snowplow-unified,2024-02-08T14:50:47,36bbde78aaa41cf1018ec62fbd135ea7425b0d2d,Use macros for field lists where possible (Close #27),36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937320212950875,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,45,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2024-03-07T19:14:44,451ed1fd5650d6865d63c702451b951cf9deb95a,Remove not null test on conversions table,36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937320231054114,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,45,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2024-03-20T11:44:10,716e095497a84788a5c36d2dda267c42a08ddb67,Add new conversions unique key,36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937320208692748,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,45,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2024-05-09T14:37:36,fd7fee9491f04bfb64f2eeefda8fbdc4ed0b88ac,Add option to use refer in channel classification if mkt is null (#42),36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937321070606973,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,45,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2024-06-25T19:16:11,aaa0edb6c9302d7c1de5c586a89066a5fbe3fdee,Remove complexity from window,36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937320249642316,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,45,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2024-07-17T15:51:36,391c615799e995e7c92076c9ca1a1951bc8a7dcd,Add support for allow_null_dvce_tstamps var,36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937321065761345,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,45,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2024-08-30T19:11:51,dbce4f1bfe6da8ccb1b1b1934c367eff558da0db,Add support for Spark Iceberg,36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937321052182399,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,46,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2024-09-10T00:28:58,dd539fcc54640092d333994141b13ac582e8391b,Add ISO-639-2 and ISO-639-3 language mapping codes (#76),36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937321052192642,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,46,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2024-10-14T12:35:00,32c292c2657a73bea4b8e5dd9e0c037aa1b1d9b1,Rework filter bots macro,36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937321063515388,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,46,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2025-02-24T15:45:50,c8760f7dc9cd3cca6fd666f67c80c844e1e06dea,Deduplicate iso_639_3 seed (Close #99),36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.593732111457422,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,46,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2025-05-23T20:02:06,1ddaa98aa26d04f341305bbea8d19ea7d2d67eeb,Remove duplicate description key (#105),36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937320975947197,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,46,1,39,2,4,0,35,31,15,0.972222,0.861111
snowplow__dbt-snowplow-unified,2026-01-19T15:54:21,d55fb7923cc0d70b84b9d93225e2709a80ca340f,Update package yml for v1.0.0 and bump dbt requirement,36,41,False,0.9285714285714286,5,0.6870816599732262,0.06549285246879988,0.005907751225824783,0.5937320266726439,0.2777777777777778,5,0.861111,0.083333,7,0,0,29,46,1,39,2,4,0,35,31,15,0.972222,0.861111
