project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
thegoodparty__gp-data-platform,2025-03-26T15:57:29,554ec51020a7c312c6d867bcfa6eb838aec50629,fix: filing_period schema on empty incremental loads (#28),15,1,False,0.9285714285714286,1,0.9333333333333333,2.0,1.0,0.0,0.0,14,0.133333,0.866667,14,1,0,0,15,1,1,0,0,0,15,15,6,1.0,1.0
thegoodparty__gp-data-platform,2025-04-28T17:59:26,f8c9050770f9020fcca4cf48d88e27a07f5e76a0,"[WEB-4100, WEB-4104] fix: handle position-place by rolling up to parent (#41)",37,27,False,0.5,3,0.7505538325210457,0.5734930533901966,0.06803227008147825,0.43554182317901025,0.2972972972972973,21,0.432432,0.513514,23,11,3,0,37,1,27,0,0,0,36,36,9,0.972973,0.972973
thegoodparty__gp-data-platform,2025-05-24T18:53:16,87cccd23f3bb8a8508f7704e14b71475a71969bf,perf: add `loaded_at` to l2 data sets (#53),243,32,False,0.7142857142857143,4,0.9547325102880658,0.2770363718044711,0.029821674046634668,0.7225714390649072,0.053497942386831275,224,0.078189,0.91358,228,10,5,0,243,1,32,0,0,0,243,141,11,1.0,0.580247
thegoodparty__gp-data-platform,2025-06-26T15:40:22,a9c9049278b47851a0e2fc193029a323e900ecde,[DT-119] general mart: candidacy v0 (#64),350,38,False,0.7142857142857143,4,0.9604571428571429,0.2770363718044711,0.029821674046634668,0.7225715596889883,0.037142857142857144,325,0.054286,0.92,332,12,6,0,350,1,38,0,0,0,348,195,14,0.994286,0.557143
thegoodparty__gp-data-platform,2025-07-25T10:52:29,1c2481e03e7dd082e820ad85f1b57340ad80d119,[DT-178] use data from gp app when available for candidacy mart (#70),357,50,False,0.7142857142857143,4,0.9496029816885432,0.2770363718044711,0.029821674046634668,0.7225715772970246,0.04201680672268908,322,0.053221,0.893557,332,18,7,0,357,1,50,0,0,0,353,200,16,0.988796,0.560224
thegoodparty__gp-data-platform,2025-08-22T14:40:36,b78890b0267b2157c5e4ce65a6b98fead020e14f,[DT-253] keep 2 years of past election races (#81),370,60,False,0.6428571428571429,5,0.9379108838568299,0.07157848374203443,0.00770371213983834,0.7673485953369634,0.043243243243243246,326,0.07027,0.872973,340,19,11,0,370,1,60,0,0,0,366,213,19,0.989189,0.575676
thegoodparty__gp-data-platform,2025-09-24T14:02:38,edbcce18d72302d6887b4022e4e0d58ba604ed22,[DATA-1196] add Amplitude data to dbt (#100),395,87,False,1.0,7,0.9207418310273771,0.01681356556787869,0.0017863719467536517,0.7396692507227987,0.06329113924050633,333,0.156962,0.837975,351,29,15,0,395,1,87,0,0,2,390,237,27,0.987342,0.6
thegoodparty__gp-data-platform,2025-10-24T14:38:06,b95a89d13986d0a688903b4a738c607ec04dfee3,[DATA-1224] hot fix: use correct candidate_id reference (#115),425,88,False,0.8571428571428571,5,0.9253284093906621,0.018142777409469804,0.0019275908938173117,0.650055692170075,0.0611764705882353,363,0.145882,0.849412,381,28,16,0,425,1,88,0,0,2,421,268,28,0.990588,0.630588
thegoodparty__gp-data-platform,2025-11-19T16:42:13,439b08ab06be315ba54a2a899e841211629447e8,[DATA-1339] add domain and website tables from gp-api db (#125),435,105,False,0.5,4,0.9283632831471588,0.047235887030320216,0.0035595400252608615,0.7159482965596585,0.0896551724137931,369,0.087356,0.841379,387,26,22,0,435,1,105,0,0,2,429,276,28,0.986207,0.634483
thegoodparty__gp-data-platform,2025-12-23T22:48:31,79b4c0e36609c7e3dde4d6991049c14d7d3e9d58,hotfix: update tcr stg table schema (#145),441,110,False,0.6428571428571429,6,0.9313316131050121,0.05085937643750085,0.003798481389458409,0.8058783432336492,0.08843537414965986,370,0.095238,0.829932,391,25,25,0,441,1,110,0,0,2,438,285,29,0.993197,0.646259
