project_id,date,sha,commit_msg,N,M,too_small,D1_csi,D1_n_comm,D2_max_gini,D3_alg_conn,D3_norm_gap,D3_fiedler_bim,D4_cycle_rank_norm,n_components,giant_component_frac,isolated_frac,n_staging,n_intermediate,n_mart,n_unclassified,n_sql_files,n_dbt_projects,M_strict,M_recovered_by_permissive,nodes_touched_by_recovered,edges_dropped_as_commented_out,n_documented,n_tested,n_yaml_files,doc_rate,test_rate
tuva-health__tuva-core,2021-11-26T08:52:21,fcc6274dd508f01b242b422148ca1120b08877e4,updated abstractions for source data,13,22,False,0.6428571428571429,3,0.4930966469428008,0.3052218733290569,0.03506245003830549,0.7315515002873276,0.7692307692307693,1,1.0,0.0,4,0,0,9,13,2,22,0,0,0,13,4,14,1.0,0.307692
tuva-health__tuva-core,2022-02-05T15:42:41,cb9a587b8abfeb044915a744cb0b3a04b7a84a86,added tests for core tables,18,28,False,0.7142857142857143,3,0.572463768115942,0.29492799101628614,0.031655982787367684,0.8080137297569414,0.6666666666666666,2,0.888889,0.0,5,0,0,13,18,2,28,0,0,0,5,5,6,0.277778,0.277778
tuva-health__tuva-core,2022-03-07T09:30:39,060c4aa7b7f63205e82119ff7a1875ae47785b28,adding encounter overlap analytics,24,47,False,0.5,4,0.5115248226950354,0.5895111265777289,0.04449629295548002,0.4304050101774171,1.0,1,1.0,0.0,4,0,0,20,24,2,47,0,0,0,3,0,4,0.125,0.0
tuva-health__tuva-core,2022-04-08T21:48:12,eaf9b2a6cff6ff5bf574219aba37df8bca4be26d,major updates for next release,12,0,False,,,0.0,0.0,0.0,0.0,0.0,12,0.083333,1.0,0,0,0,12,12,2,0,0,0,0,12,0,13,1.0,0.0
tuva-health__tuva-core,2023-05-05T09:58:34,b66ad6a9ee5dcba2a2952b6fd58ff857a5f0adf8,removed the parent folders anaytics and preprocessing (#76),75,146,False,0.6428571428571429,6,0.6418092428711898,0.1434287776570285,0.007137693453189997,0.7775291953995439,0.96,1,1.0,0.0,0,50,8,17,75,2,146,0,0,0,50,10,8,0.666667,0.133333
tuva-health__tuva-core,2023-06-01T15:58:45,33de6bdbaf85cc06b76fc32df1c73c6d706b6347,Added Staging to Layer to Data Marts (#107),140,215,False,0.7142857142857143,10,0.6162696382900986,0.015546238903080621,0.0005167271987537677,0.6175476306351058,0.5857142857142857,7,0.8,0.035714,19,86,8,27,140,2,212,3,5,0,90,13,11,0.642857,0.092857
tuva-health__tuva-core,2023-06-19T15:06:03,03cf2a291265bf651deb31d9762a062d540de747,updated acute inpatient yml (#166),158,241,False,1.0,8,0.6744960748584888,0.010820597550461363,0.0003596559648925891,0.5024753985803421,0.5822784810126582,9,0.797468,0.037975,25,96,8,29,158,2,238,3,5,0,105,17,12,0.664557,0.107595
tuva-health__tuva-core,2023-07-10T14:20:18,b3d878ac3cc55b2c01646585897c4a3a93fc5cac,Terminology dupes (#174),162,246,False,1.0,8,0.6727501010666418,0.010820597550461363,0.0003596559648925891,0.5024751746416197,0.5740740740740741,9,0.777778,0.037037,25,100,8,29,162,2,243,3,5,0,105,17,12,0.648148,0.104938
tuva-health__tuva-core,2023-08-31T11:13:50,3676a26861b403fa6bfa1c69e01cc87c458d92de,Clinical support (#188),200,308,False,0.8571428571428571,10,0.6994717768504283,0.011069854303624218,0.00036794068497652556,0.4856158623315144,0.59,10,0.795,0.02,47,109,12,32,200,2,305,3,5,0,136,16,9,0.68,0.08
tuva-health__tuva-core,2023-10-02T22:44:25,2b1e1be0fd458070c93bc3363d03d144bea45abc,Revise serv cat (#249),227,361,False,0.7857142857142857,11,0.7222886198727976,0.01601134431422064,0.0005151707371688527,0.500739893379741,0.6123348017621145,5,0.863436,0.008811,54,118,12,43,227,2,358,3,5,0,164,22,11,0.722467,0.096916
tuva-health__tuva-core,2023-11-01T15:02:37,579b314d2b60fd367a7faa933dd07872a1e63728,"Bug fixes for Breast Cancer Screening and CMS HCC, and improvements for quality measure performance periods (#273)",236,419,False,0.8571428571428571,10,0.7063858986363835,0.02901570294453859,0.0009334790041250771,0.8121253426532502,0.7923728813559322,4,0.877119,0.008475,54,130,12,40,236,2,418,1,2,0,175,20,11,0.741525,0.084746
tuva-health__tuva-core,2023-11-30T10:03:48,d9114731027124a12c8be972abe944b4313017b4,Minor updates to yml documentation for Core and Chronic Conditions (#295),235,418,False,0.7857142857142857,10,0.7058106698037674,0.02907578351288683,0.000935411886785758,0.8116459899637722,0.7957446808510639,4,0.876596,0.008511,53,130,12,40,235,2,417,1,2,0,184,20,11,0.782979,0.085106
tuva-health__tuva-core,2023-12-21T18:36:18,04fd65ed54f738127fc16465cb3a9d42903ba047,Normalization fixes 2 (#320),279,514,False,0.6428571428571429,11,0.6669296328728795,0.03839144344420995,0.0011415333807232387,0.4321953492489677,0.8458781362007168,1,1.0,0.0,59,165,12,43,279,2,513,1,2,9,187,25,12,0.670251,0.089606
tuva-health__tuva-core,2024-01-30T13:29:44,4a68dd741ed64bfa9bc4b1deb0ed898cbd60cacc,config,283,517,False,0.8571428571428571,12,0.6710494544791327,0.03814701563281873,0.0011342656113419135,0.4425381049029164,0.833922261484099,2,0.996466,0.003534,60,166,12,45,283,2,516,1,2,9,191,27,14,0.674912,0.095406
tuva-health__tuva-core,2024-02-23T16:02:12,402071e920535ca42d6831fc19473f7433fd6e17,added comma to select statement (#397),295,555,False,0.8571428571428571,11,0.6741093554244463,0.037104331360426644,0.0011032623723273775,0.5132372127685916,0.888135593220339,2,0.99661,0.00339,60,177,12,46,295,2,554,1,2,10,203,27,14,0.688136,0.091525
tuva-health__tuva-core,2024-03-29T11:33:55,30944bfd29502089f0e841b22246620aad014fbb,Add observation suspecting logic for HCC 48 - Morbid Obesity (#429),310,607,False,1.0,11,0.68158207607871,0.035596893548830194,0.0010584401195121438,0.6077942416478962,0.964516129032258,2,0.996774,0.003226,61,190,12,47,310,2,606,1,2,10,218,27,14,0.703226,0.087097
tuva-health__tuva-core,2024-04-29T13:15:35,e3bc58a859384600255720f9e5007638362e578d,Added tuva prefix to schema name (#450),324,647,False,1.0,12,0.6894626576548123,0.034685266971276336,0.0010313337561810695,0.666816651325097,1.0030864197530864,2,0.996914,0.003086,64,200,12,48,324,2,646,1,2,10,232,27,15,0.716049,0.083333
tuva-health__tuva-core,2024-05-21T17:23:55,ec12783b3d1a5ebbe48fc7dc4df37adc572a977a,Add seed documentation (#478),371,752,False,0.8571428571428571,13,0.7163177913615697,0.0327803631648009,0.0009746931348784571,0.7247002623859055,1.0323450134770888,2,0.997305,0.002695,73,226,12,60,371,2,751,1,2,9,280,27,17,0.754717,0.072776
tuva-health__tuva-core,2024-06-27T16:47:44,221aad121127141ad463af75d44ca0d94be7c6f1,Merge branch 'main' into bugfix-schema-prefix,356,755,False,0.7857142857142857,12,0.6938763256025148,0.03561271879337139,0.001106905831684772,0.7691221212707339,1.1264044943820224,2,0.997191,0.002809,75,219,13,49,356,2,745,10,12,0,298,35,16,0.837079,0.098315
tuva-health__tuva-core,2024-07-25T17:43:38,1a239177fc8727ea11c968c8d767b01997910edc,using dbt utils tests for safer compatibility (#554),673,1112,False,0.9285714285714286,13,0.756684566329775,0.036566902107622874,0.0010972205568122043,0.7696907930668578,0.6671619613670133,10,0.564636,0.011887,75,504,35,59,673,2,1101,11,13,0,303,34,18,0.450223,0.05052
tuva-health__tuva-core,2024-08-28T06:00:06,0f855aa4888e5f023f90252c063c7403551a3d14,New Quality Measure CQM 130: Documentation of Current Medications in the Medical Record (#576),684,1145,False,0.9285714285714286,12,0.7600336105205895,0.03605328047180676,0.000941853347102626,0.7784476995066112,0.6885964912280702,10,0.571637,0.011696,75,515,35,59,684,2,1132,13,15,0,314,34,18,0.459064,0.049708
tuva-health__tuva-core,2024-09-24T14:27:29,af81e97dd24ecee770049af357816dd5a104cabf,Encounters and Service Categories (#585),803,1537,False,0.7857142857142857,11,0.7187822347810062,0.02572969691564648,0.0002736640404098231,0.8388991478307027,0.9265255292652553,10,0.635118,0.009963,79,611,35,78,803,2,1445,92,98,2,364,39,20,0.4533,0.048568
